channel_id,product_id,size,forecast_ensemble,category_group
Amsterdam,KBG0WAZV9P,onesize,12,accessories
Amsterdam,KBX5F1FCPW,onesize,26,accessories
Berlin,KBG0WAZV9P,onesize,19,accessories
Berlin,KBX5F1FCPW,onesize,20,accessories
Brussels,KBG0WAZV9P,onesize,40,accessories
Brussels,KBX5F1FCPW,onesize,22,accessories
Copenhagen,KBG0WAZV9P,onesize,33,accessories
Copenhagen,KBX5F1FCPW,onesize,44,accessories
Helsinki,KBG0WAZV9P,onesize,35,accessories
Helsinki,KBX5F1FCPW,onesize,48,accessories
Madrid,KBG0WAZV9P,onesize,25,accessories
Madrid,KBX5F1FCPW,onesize,45,accessories
Paris,KBG0WAZV9P,onesize,30,accessories
Paris,KBX5F1FCPW,onesize,26,accessories
Platform,KBG0WAZV9P,onesize,11,accessories
Platform,KBX5F1FCPW,onesize,4,accessories
Rome,KBG0WAZV9P,onesize,14,accessories
Rome,KBX5F1FCPW,onesize,14,accessories
Stockholm,KBG0WAZV9P,onesize,38,accessories
Stockholm,KBX5F1FCPW,onesize,46,accessories
Webshop,KBG0WAZV9P,onesize,80,accessories
Webshop,KBX5F1FCPW,onesize,111,accessories
