channel_id,size,forecast_ensemble,size_share
Amsterdam,XXS,29,0.2047
Amsterdam,XS,43,0.3027
Amsterdam,S,35,0.246
Amsterdam,M,17,0.1203
Amsterdam,L,11,0.0778
Amsterdam,XL,7,0.0485
Berlin,XXS,20,0.1483
Berlin,XS,40,0.2973
Berlin,S,38,0.282
Berlin,M,18,0.1342
Berlin,L,10,0.0783
Berlin,XL,8,0.0599
Brussels,XXS,36,0.1886
Brussels,XS,61,0.317
Brussels,S,53,0.2738
Brussels,M,24,0.1264
Brussels,L,11,0.0586
Brussels,XL,7,0.0355
Copenhagen,XXS,73,0.2216
Copenhagen,XS,104,0.3167
Copenhagen,S,75,0.2291
Copenhagen,M,39,0.1198
Copenhagen,L,24,0.072
Copenhagen,XL,13,0.0407
Helsinki,XXS,48,0.1859
Helsinki,XS,72,0.2787
Helsinki,S,69,0.2642
Helsinki,M,35,0.1344
Helsinki,L,19,0.0746
Helsinki,XL,16,0.0622
Madrid,XXS,29,0.1601
Madrid,XS,62,0.3433
Madrid,S,43,0.2354
Madrid,M,25,0.1404
Madrid,L,13,0.0703
Madrid,XL,9,0.0505
Paris,XXS,25,0.1512
Paris,XS,52,0.3178
Paris,S,45,0.2762
Paris,M,22,0.1337
Paris,L,15,0.0899
Paris,XL,5,0.0312
Platform,XXS,7,0.1258
Platform,XS,18,0.3232
Platform,S,16,0.2855
Platform,M,8,0.1489
Platform,L,3,0.0619
Platform,XL,3,0.0547
Rome,XXS,15,0.1916
Rome,XS,24,0.3065
Rome,S,21,0.2607
Rome,M,9,0.1118
Rome,L,6,0.0719
Rome,XL,5,0.0576
Stockholm,XXS,56,0.1825
Stockholm,XS,98,0.3196
Stockholm,S,84,0.2738
Stockholm,M,36,0.1171
Stockholm,L,21,0.0687
Stockholm,XL,12,0.0383
Webshop,XXS,88,0.1702
Webshop,XS,164,0.3167
Webshop,S,138,0.2657
Webshop,M,61,0.118
Webshop,L,41,0.0783
Webshop,XL,27,0.0511
