channel_id,product_id,size,forecast_ensemble,category_group
Amsterdam,0Z6K6Y21KR,L,3,dress women
Amsterdam,0Z6K6Y21KR,M,2,dress women
Amsterdam,0Z6K6Y21KR,S,7,dress women
Amsterdam,0Z6K6Y21KR,XL,0,dress women
Amsterdam,0Z6K6Y21KR,XS,7,dress women
Amsterdam,0Z6K6Y21KR,XXS,6,dress women
Amsterdam,AVGFALJGZU,L,2,dress women
Amsterdam,AVGFALJGZU,M,3,dress women
Amsterdam,AVGFALJGZU,S,4,dress women
Amsterdam,AVGFALJGZU,XL,1,dress women
Amsterdam,AVGFALJGZU,XS,8,dress women
Amsterdam,AVGFALJGZU,XXS,5,dress women
Amsterdam,DVAZLH292T,L,1,dress women
Amsterdam,DVAZLH292T,M,4,dress women
Amsterdam,DVAZLH292T,S,7,dress women
Amsterdam,DVAZLH292T,XL,1,dress women
Amsterdam,DVAZLH292T,XS,4,dress women
Amsterdam,DVAZLH292T,XXS,5,dress women
Amsterdam,F58Y8I60TY,L,2,dress women
Amsterdam,F58Y8I60TY,M,2,dress women
Amsterdam,F58Y8I60TY,S,6,dress women
Amsterdam,F58Y8I60TY,XL,1,dress women
Amsterdam,F58Y8I60TY,XS,7,dress women
Amsterdam,F58Y8I60TY,XXS,7,dress women
Amsterdam,UKDVICMCMI,L,5,dress women
Amsterdam,UKDVICMCMI,M,7,dress women
Amsterdam,UKDVICMCMI,S,10,dress women
Amsterdam,UKDVICMCMI,XL,1,dress women
Amsterdam,UKDVICMCMI,XS,13,dress women
Amsterdam,UKDVICMCMI,XXS,7,dress women
Berlin,0Z6K6Y21KR,L,1,dress women
Berlin,0Z6K6Y21KR,M,6,dress women
Berlin,0Z6K6Y21KR,S,8,dress women
Berlin,0Z6K6Y21KR,XL,1,dress women
Berlin,0Z6K6Y21KR,XS,8,dress women
Berlin,0Z6K6Y21KR,XXS,2,dress women
Berlin,AVGFALJGZU,L,2,dress women
Berlin,AVGFALJGZU,M,3,dress women
Berlin,AVGFALJGZU,S,6,dress women
Berlin,AVGFALJGZU,XL,0,dress women
Berlin,AVGFALJGZU,XS,14,dress women
Berlin,AVGFALJGZU,XXS,10,dress women
Berlin,DVAZLH292T,L,3,dress women
Berlin,DVAZLH292T,M,5,dress women
Berlin,DVAZLH292T,S,5,dress women
Berlin,DVAZLH292T,XL,2,dress women
Berlin,DVAZLH292T,XS,2,dress women
Berlin,DVAZLH292T,XXS,3,dress women
Berlin,F58Y8I60TY,L,2,dress women
Berlin,F58Y8I60TY,M,1,dress women
Berlin,F58Y8I60TY,S,8,dress women
Berlin,F58Y8I60TY,XL,0,dress women
Berlin,F58Y8I60TY,XS,5,dress women
Berlin,F58Y8I60TY,XXS,4,dress women
Berlin,UKDVICMCMI,L,3,dress women
Berlin,UKDVICMCMI,M,3,dress women
Berlin,UKDVICMCMI,S,7,dress women
Berlin,UKDVICMCMI,XL,1,dress women
Berlin,UKDVICMCMI,XS,9,dress women
Berlin,UKDVICMCMI,XXS,4,dress women
Brussels,0Z6K6Y21KR,L,2,dress women
Brussels,0Z6K6Y21KR,M,5,dress women
Brussels,0Z6K6Y21KR,S,10,dress women
Brussels,0Z6K6Y21KR,XL,1,dress women
Brussels,0Z6K6Y21KR,XS,14,dress women
Brussels,0Z6K6Y21KR,XXS,7,dress women
Brussels,AVGFALJGZU,L,1,dress women
Brussels,AVGFALJGZU,M,2,dress women
Brussels,AVGFALJGZU,S,14,dress women
Brussels,AVGFALJGZU,XL,0,dress women
Brussels,AVGFALJGZU,XS,14,dress women
Brussels,AVGFALJGZU,XXS,10,dress women
Brussels,DVAZLH292T,L,1,dress women
Brussels,DVAZLH292T,M,7,dress women
Brussels,DVAZLH292T,S,5,dress women
Brussels,DVAZLH292T,XL,1,dress women
Brussels,DVAZLH292T,XS,9,dress women
Brussels,DVAZLH292T,XXS,2,dress women
Brussels,F58Y8I60TY,L,3,dress women
Brussels,F58Y8I60TY,M,5,dress women
Brussels,F58Y8I60TY,S,5,dress women
Brussels,F58Y8I60TY,XL,2,dress women
Brussels,F58Y8I60TY,XS,9,dress women
Brussels,F58Y8I60TY,XXS,9,dress women
Brussels,UKDVICMCMI,L,1,dress women
Brussels,UKDVICMCMI,M,10,dress women
Brussels,UKDVICMCMI,S,18,dress women
Brussels,UKDVICMCMI,XL,2,dress women
Brussels,UKDVICMCMI,XS,15,dress women
Brussels,UKDVICMCMI,XXS,9,dress women
Copenhagen,0Z6K6Y21KR,L,3,dress women
Copenhagen,0Z6K6Y21KR,M,5,dress women
Copenhagen,0Z6K6Y21KR,S,16,dress women
Copenhagen,0Z6K6Y21KR,XL,2,dress women
Copenhagen,0Z6K6Y21KR,XS,17,dress women
Copenhagen,0Z6K6Y21KR,XXS,11,dress women
Copenhagen,AVGFALJGZU,L,2,dress women
Copenhagen,AVGFALJGZU,M,4,dress women
Copenhagen,AVGFALJGZU,S,11,dress women
Copenhagen,AVGFALJGZU,XL,2,dress women
Copenhagen,AVGFALJGZU,XS,33,dress women
Copenhagen,AVGFALJGZU,XXS,19,dress women
Copenhagen,DVAZLH292T,L,3,dress women
Copenhagen,DVAZLH292T,M,7,dress women
Copenhagen,DVAZLH292T,S,12,dress women
Copenhagen,DVAZLH292T,XL,2,dress women
Copenhagen,DVAZLH292T,XS,11,dress women
Copenhagen,DVAZLH292T,XXS,8,dress women
Copenhagen,F58Y8I60TY,L,4,dress women
Copenhagen,F58Y8I60TY,M,11,dress women
Copenhagen,F58Y8I60TY,S,11,dress women
Copenhagen,F58Y8I60TY,XL,6,dress women
Copenhagen,F58Y8I60TY,XS,27,dress women
Copenhagen,F58Y8I60TY,XXS,20,dress women
Copenhagen,UKDVICMCMI,L,8,dress women
Copenhagen,UKDVICMCMI,M,13,dress women
Copenhagen,UKDVICMCMI,S,20,dress women
Copenhagen,UKDVICMCMI,XL,2,dress women
Copenhagen,UKDVICMCMI,XS,26,dress women
Copenhagen,UKDVICMCMI,XXS,12,dress women
Helsinki,0Z6K6Y21KR,L,2,dress women
Helsinki,0Z6K6Y21KR,M,4,dress women
Helsinki,0Z6K6Y21KR,S,11,dress women
Helsinki,0Z6K6Y21KR,XL,4,dress women
Helsinki,0Z6K6Y21KR,XS,12,dress women
Helsinki,0Z6K6Y21KR,XXS,6,dress women
Helsinki,AVGFALJGZU,L,2,dress women
Helsinki,AVGFALJGZU,M,4,dress women
Helsinki,AVGFALJGZU,S,9,dress women
Helsinki,AVGFALJGZU,XL,3,dress women
Helsinki,AVGFALJGZU,XS,17,dress women
Helsinki,AVGFALJGZU,XXS,16,dress women
Helsinki,DVAZLH292T,L,3,dress women
Helsinki,DVAZLH292T,M,9,dress women
Helsinki,DVAZLH292T,S,10,dress women
Helsinki,DVAZLH292T,XL,3,dress women
Helsinki,DVAZLH292T,XS,19,dress women
Helsinki,DVAZLH292T,XXS,6,dress women
Helsinki,F58Y8I60TY,L,1,dress women
Helsinki,F58Y8I60TY,M,9,dress women
Helsinki,F58Y8I60TY,S,15,dress women
Helsinki,F58Y8I60TY,XL,1,dress women
Helsinki,F58Y8I60TY,XS,12,dress women
Helsinki,F58Y8I60TY,XXS,11,dress women
Helsinki,UKDVICMCMI,L,7,dress women
Helsinki,UKDVICMCMI,M,7,dress women
Helsinki,UKDVICMCMI,S,25,dress women
Helsinki,UKDVICMCMI,XL,6,dress women
