channel_id,size,forecast_ensemble,size_share
Amsterdam,XS,7,0.0586
Amsterdam,S,17,0.1349
Amsterdam,M,38,0.2994
Amsterdam,L,34,0.2726
Amsterdam,XL,22,0.174
Amsterdam,XXL,8,0.0605
Berlin,XS,9,0.0632
Berlin,S,18,0.1285
Berlin,M,39,0.2837
Berlin,L,41,0.2992
Berlin,XL,21,0.1523
Berlin,XXL,10,0.073
Brussels,XS,10,0.0494
Brussels,S,30,0.1543
Brussels,M,56,0.2835
Brussels,L,56,0.2833
Brussels,XL,33,0.1674
Brussels,XXL,12,0.062
Copenhagen,XS,14,0.0521
Copenhagen,S,37,0.1334
Copenhagen,M,81,0.2925
Copenhagen,L,79,0.2876
Copenhagen,XL,46,0.1681
Copenhagen,XXL,18,0.0665
Helsinki,XS,25,0.0803
Helsinki,S,37,0.1213
Helsinki,M,83,0.2686
Helsinki,L,85,0.2766
Helsinki,XL,54,0.1748
Helsinki,XXL,24,0.0784
Madrid,XS,13,0.0723
Madrid,S,21,0.1147
Madrid,M,42,0.2345
Madrid,L,59,0.3268
Madrid,XL,34,0.1889
Madrid,XXL,11,0.0628
Paris,XS,9,0.0589
Paris,S,19,0.1344
Paris,M,39,0.2714
Paris,L,42,0.2881
Paris,XL,25,0.1722
Paris,XXL,11,0.0751
Platform,XS,2,0.0385
Platform,S,7,0.1216
Platform,M,14,0.2514
Platform,L,16,0.2873
Platform,XL,12,0.2249
Platform,XXL,4,0.0764
Rome,XS,5,0.076
Rome,S,10,0.1402
Rome,M,19,0.2681
Rome,L,20,0.283
Rome,XL,9,0.1302
Rome,XXL,7,0.1024
Stockholm,XS,18,0.0574
Stockholm,S,35,0.1122
Stockholm,M,85,0.2717
Stockholm,L,94,0.3023
Stockholm,XL,57,0.1813
Stockholm,XXL,23,0.0751
Webshop,XS,30,0.0559
Webshop,S,69,0.1274
Webshop,M,158,0.2924
Webshop,L,145,0.2677
Webshop,XL,98,0.1824
Webshop,XXL,40,0.0743
