channel_id,product_id,size,forecast_ensemble,category_group
Amsterdam,1KZZ8PMFB1,L,8,hoodie men
Amsterdam,1KZZ8PMFB1,M,4,hoodie men
Amsterdam,1KZZ8PMFB1,S,3,hoodie men
Amsterdam,1KZZ8PMFB1,XL,4,hoodie men
Amsterdam,1KZZ8PMFB1,XS,1,hoodie men
Amsterdam,1KZZ8PMFB1,XXL,4,hoodie men
Amsterdam,8D2X9QGLQF,L,9,hoodie men
Amsterdam,8D2X9QGLQF,M,6,hoodie men
Amsterdam,8D2X9QGLQF,S,2,hoodie men
Amsterdam,8D2X9QGLQF,XL,4,hoodie men
Amsterdam,8D2X9QGLQF,XS,1,hoodie men
Amsterdam,8D2X9QGLQF,XXL,2,hoodie men
Amsterdam,EC1T9WA177,L,13,hoodie men
Amsterdam,EC1T9WA177,M,9,hoodie men
Amsterdam,EC1T9WA177,S,3,hoodie men
Amsterdam,EC1T9WA177,XL,7,hoodie men
Amsterdam,EC1T9WA177,XS,1,hoodie men
Amsterdam,EC1T9WA177,XXL,1,hoodie men
Amsterdam,WNRA980XXZ,L,2,hoodie men
Amsterdam,WNRA980XXZ,M,8,hoodie men
Amsterdam,WNRA980XXZ,S,7,hoodie men
Amsterdam,WNRA980XXZ,XL,4,hoodie men
Amsterdam,WNRA980XXZ,XS,1,hoodie men
Amsterdam,WNRA980XXZ,XXL,1,hoodie men
Amsterdam,WP8ED8R8U4,L,5,hoodie men
Amsterdam,WP8ED8R8U4,M,5,hoodie men
Amsterdam,WP8ED8R8U4,S,2,hoodie men
Amsterdam,WP8ED8R8U4,XL,6,hoodie men
Amsterdam,WP8ED8R8U4,XS,2,hoodie men
Amsterdam,WP8ED8R8U4,XXL,1,hoodie men
Berlin,1KZZ8PMFB1,L,8,hoodie men
Berlin,1KZZ8PMFB1,M,8,hoodie men
Berlin,1KZZ8PMFB1,S,4,hoodie men
Berlin,1KZZ8PMFB1,XL,8,hoodie men
Berlin,1KZZ8PMFB1,XS,0,hoodie men
Berlin,1KZZ8PMFB1,XXL,2,hoodie men
Berlin,8D2X9QGLQF,L,6,hoodie men
Berlin,8D2X9QGLQF,M,6,hoodie men
Berlin,8D2X9QGLQF,S,3,hoodie men
Berlin,8D2X9QGLQF,XL,4,hoodie men
Berlin,8D2X9QGLQF,XS,1,hoodie men
Berlin,8D2X9QGLQF,XXL,2,hoodie men
Berlin,EC1T9WA177,L,6,hoodie men
Berlin,EC1T9WA177,M,10,hoodie men
Berlin,EC1T9WA177,S,7,hoodie men
Berlin,EC1T9WA177,XL,5,hoodie men
Berlin,EC1T9WA177,XS,1,hoodie men
Berlin,EC1T9WA177,XXL,3,hoodie men
Berlin,WNRA980XXZ,L,9,hoodie men
Berlin,WNRA980XXZ,M,6,hoodie men
Berlin,WNRA980XXZ,S,4,hoodie men
Berlin,WNRA980XXZ,XL,2,hoodie men
Berlin,WNRA980XXZ,XS,0,hoodie men
Berlin,WNRA980XXZ,XXL,2,hoodie men
Berlin,WP8ED8R8U4,L,8,hoodie men
Berlin,WP8ED8R8U4,M,8,hoodie men
Berlin,WP8ED8R8U4,S,2,hoodie men
Berlin,WP8ED8R8U4,XL,6,hoodie men
Berlin,WP8ED8R8U4,XS,2,hoodie men
Berlin,WP8ED8R8U4,XXL,2,hoodie men
Brussels,1KZZ8PMFB1,L,12,hoodie men
Brussels,1KZZ8PMFB1,M,8,hoodie men
Brussels,1KZZ8PMFB1,S,6,hoodie men
Brussels,1KZZ8PMFB1,XL,12,hoodie men
Brussels,1KZZ8PMFB1,XS,1,hoodie men
Brussels,1KZZ8PMFB1,XXL,4,hoodie men
Brussels,8D2X9QGLQF,L,10,hoodie men
Brussels,8D2X9QGLQF,M,8,hoodie men
Brussels,8D2X9QGLQF,S,5,hoodie men
Brussels,8D2X9QGLQF,XL,7,hoodie men
