channel_id,size,forecast_ensemble,size_share
Amsterdam,XXS,24,0.216
Amsterdam,XS,31,0.2756
Amsterdam,S,32,0.28
Amsterdam,M,13,0.113
Amsterdam,L,7,0.0639
Amsterdam,XL,6,0.0515
Berlin,XXS,30,0.2241
Berlin,XS,37,0.2685
Berlin,S,38,0.2829
Berlin,M,17,0.1247
Berlin,L,7,0.0531
Berlin,XL,6,0.0466
Brussels,XXS,35,0.1972
Brussels,XS,49,0.2751
Brussels,S,41,0.2331
Brussels,M,28,0.1567
Brussels,L,15,0.0865
Brussels,XL,9,0.0514
Copenhagen,XXS,55,0.1825
Copenhagen,XS,101,0.3318
Copenhagen,S,78,0.2567
Copenhagen,M,39,0.1298
Copenhagen,L,18,0.0585
Copenhagen,XL,12,0.0407
Helsinki,XXS,60,0.1902
Helsinki,XS,91,0.286
Helsinki,S,88,0.2767
Helsinki,M,38,0.1205
Helsinki,L,24,0.0751
Helsinki,XL,16,0.0515
Madrid,XXS,45,0.2263
Madrid,XS,58,0.2908
Madrid,S,50,0.2514
Madrid,M,28,0.1417
Madrid,L,11,0.0553
Madrid,XL,7,0.0345
Paris,XXS,40,0.2021
Paris,XS,64,0.3255
Paris,S,48,0.2448
Paris,M,23,0.1184
Paris,L,15,0.0745
Paris,XL,7,0.0346
Platform,XXS,10,0.1868
Platform,XS,17,0.3261
Platform,S,13,0.2409
Platform,M,8,0.1517
Platform,L,3,0.0588
Platform,XL,2,0.0357
Rome,XXS,15,0.1895
Rome,XS,21,0.2673
Rome,S,21,0.2721
Rome,M,11,0.135
Rome,L,8,0.1082
Rome,XL,2,0.028
Stockholm,XXS,56,0.1819
Stockholm,XS,92,0.3002
Stockholm,S,94,0.3053
Stockholm,M,35,0.1147
Stockholm,L,19,0.0619
Stockholm,XL,11,0.0361
Webshop,XXS,123,0.2232
Webshop,XS,145,0.2617
Webshop,S,151,0.2735
Webshop,M,76,0.1374
Webshop,L,33,0.0593
Webshop,XL,25,0.0449
