channel_id,product_id,size,forecast_ensemble,category_group
Amsterdam,8WVHOXLVJ2,L,2,hoodie women
Amsterdam,8WVHOXLVJ2,M,2,hoodie women
Amsterdam,8WVHOXLVJ2,S,6,hoodie women
Amsterdam,8WVHOXLVJ2,XL,1,hoodie women
Amsterdam,8WVHOXLVJ2,XS,7,hoodie women
Amsterdam,8WVHOXLVJ2,XXS,4,hoodie women
Amsterdam,B8OG8GFQDG,L,1,hoodie women
Amsterdam,B8OG8GFQDG,M,2,hoodie women
Amsterdam,B8OG8GFQDG,S,4,hoodie women
Amsterdam,B8OG8GFQDG,XL,0,hoodie women
Amsterdam,B8OG8GFQDG,XS,11,hoodie women
Amsterdam,B8OG8GFQDG,XXS,7,hoodie women
Amsterdam,MI29EELZW7,L,0,hoodie women
Amsterdam,MI29EELZW7,M,4,hoodie women
Amsterdam,MI29EELZW7,S,6,hoodie women
Amsterdam,MI29EELZW7,XL,2,hoodie women
Amsterdam,MI29EELZW7,XS,8,hoodie women
Amsterdam,MI29EELZW7,XXS,7,hoodie women
Amsterdam,TU089AL40Z,L,0,hoodie women
Amsterdam,TU089AL40Z,M,3,hoodie women
Amsterdam,TU089AL40Z,S,6,hoodie women
Amsterdam,TU089AL40Z,XL,1,hoodie women
Amsterdam,TU089AL40Z,XS,4,hoodie women
Amsterdam,TU089AL40Z,XXS,3,hoodie women
Amsterdam,V11O1XZ2MQ,L,2,hoodie women
Amsterdam,V11O1XZ2MQ,M,1,hoodie women
Amsterdam,V11O1XZ2MQ,S,9,hoodie women
Amsterdam,V11O1XZ2MQ,XL,1,hoodie women
Amsterdam,V11O1XZ2MQ,XS,6,hoodie women
Amsterdam,V11O1XZ2MQ,XXS,2,hoodie women
Berlin,8WVHOXLVJ2,L,2,hoodie women
Berlin,8WVHOXLVJ2,M,3,hoodie women
Berlin,8WVHOXLVJ2,S,7,hoodie women
Berlin,8WVHOXLVJ2,XL,2,hoodie women
Berlin,8WVHOXLVJ2,XS,7,hoodie women
Berlin,8WVHOXLVJ2,XXS,8,hoodie women
Berlin,B8OG8GFQDG,L,0,hoodie women
Berlin,B8OG8GFQDG,M,2,hoodie women
Berlin,B8OG8GFQDG,S,11,hoodie women
Berlin,B8OG8GFQDG,XL,2,hoodie women
Berlin,B8OG8GFQDG,XS,9,hoodie women
Berlin,B8OG8GFQDG,XXS,8,hoodie women
Berlin,MI29EELZW7,L,1,hoodie women
Berlin,MI29EELZW7,M,2,hoodie women
Berlin,MI29EELZW7,S,10,hoodie women
Berlin,MI29EELZW7,XL,0,hoodie women
Berlin,MI29EELZW7,XS,10,hoodie women
Berlin,MI29EELZW7,XXS,3,hoodie women
Berlin,TU089AL40Z,L,1,hoodie women
Berlin,TU089AL40Z,M,7,hoodie women
Berlin,TU089AL40Z,S,9,hoodie women
Berlin,TU089AL40Z,XL,1,hoodie women
Berlin,TU089AL40Z,XS,4,hoodie women
Berlin,TU089AL40Z,XXS,4,hoodie women
Berlin,V11O1XZ2MQ,L,1,hoodie women
Berlin,V11O1XZ2MQ,M,3,hoodie women
Berlin,V11O1XZ2MQ,S,3,hoodie women
Berlin,V11O1XZ2MQ,XL,1,hoodie women
Berlin,V11O1XZ2MQ,XS,8,hoodie women
Berlin,V11O1XZ2MQ,XXS,4,hoodie women
Brussels,8WVHOXLVJ2,L,2,hoodie women
Brussels,8WVHOXLVJ2,M,4,hoodie women
Brussels,8WVHOXLVJ2,S,8,hoodie women
Brussels,8WVHOXLVJ2,XL,3,hoodie women
Brussels,8WVHOXLVJ2,XS,14,hoodie women
Brussels,8WVHOXLVJ2,XXS,4,hoodie women
Brussels,B8OG8GFQDG,L,5,hoodie women
Brussels,B8OG8GFQDG,M,2,hoodie women
Brussels,B8OG8GFQDG,S,8,hoodie women
Brussels,B8OG8GFQDG,XL,1,hoodie women
Brussels,B8OG8GFQDG,XS,16,hoodie women
Brussels,B8OG8GFQDG,XXS,8,hoodie women
Brussels,MI29EELZW7,L,3,hoodie women
Brussels,MI29EELZW7,M,6,hoodie women
Brussels,MI29EELZW7,S,7,hoodie women
Brussels,MI29EELZW7,XL,2,hoodie women
Brussels,MI29EELZW7,XS,9,hoodie women
Brussels,MI29EELZW7,XXS,8,hoodie women
Brussels,TU089AL40Z,L,4,hoodie women
Brussels,TU089AL40Z,M,12,hoodie women
Brussels,TU089AL40Z,S,11,hoodie women
Brussels,TU089AL40Z,XL,1,hoodie women
Brussels,TU089AL40Z,XS,7,hoodie women
Brussels,TU089AL40Z,XXS,7,hoodie women
Brussels,V11O1XZ2MQ,L,2,hoodie women
Brussels,V11O1XZ2MQ,M,6,hoodie women
Brussels,V11O1XZ2MQ,S,6,hoodie women
Brussels,V11O1XZ2MQ,XL,2,hoodie women
Brussels,V11O1XZ2MQ,XS,8,hoodie women
Brussels,V11O1XZ2MQ,XXS,2,hoodie women
Copenhagen,8WVHOXLVJ2,L,4,hoodie women
Copenhagen,8WVHOXLVJ2,M,8,hoodie women
Copenhagen,8WVHOXLVJ2,S,16,hoodie women
Copenhagen,8WVHOXLVJ2,XL,2,hoodie women
Copenhagen,8WVHOXLVJ2,XS,25,hoodie women
Copenhagen,8WVHOXLVJ2,XXS,6,hoodie women
Copenhagen,B8OG8GFQDG,L,3,hoodie women
Copenhagen,B8OG8GFQDG,M,7,hoodie women
Copenhagen,B8OG8GFQDG,S,17,hoodie women
Copenhagen,B8OG8GFQDG,XL,4,hoodie women
Copenhagen,B8OG8GFQDG,XS,21,hoodie women
Copenhagen,B8OG8GFQDG,XXS,10,hoodie women
Copenhagen,MI29EELZW7,L,5,hoodie women
Copenhagen,MI29EELZW7,M,6,hoodie women
Copenhagen,MI29EELZW7,S,21,hoodie women
Copenhagen,MI29EELZW7,XL,2,hoodie women
Copenhagen,MI29EELZW7,XS,21,hoodie women
Copenhagen,MI29EELZW7,XXS,18,hoodie women
Copenhagen,TU089AL40Z,L,4,hoodie women
Copenhagen,TU089AL40Z,M,14,hoodie women
Copenhagen,TU089AL40Z,S,15,hoodie women
Copenhagen,TU089AL40Z,XL,3,hoodie women
