channel_id,product_id,size,forecast_ensemble,category_group
Amsterdam,D9J7V1UG3B,L,36,pants men
Amsterdam,D9J7V1UG3B,M,34,pants men
Amsterdam,D9J7V1UG3B,S,22,pants men
Amsterdam,D9J7V1UG3B,XL,10,pants men
Amsterdam,D9J7V1UG3B,XS,5,pants men
Amsterdam,D9J7V1UG3B,XXL,4,pants men
Amsterdam,KX2DPVZSC6,L,37,pants men
Amsterdam,KX2DPVZSC6,M,18,pants men
Amsterdam,KX2DPVZSC6,S,10,pants men
Amsterdam,KX2DPVZSC6,XL,18,pants men
Amsterdam,KX2DPVZSC6,XS,10,pants men
Amsterdam,KX2DPVZSC6,XXL,7,pants men
Amsterdam,LLP7L9LQTC,L,19,pants men
Amsterdam,LLP7L9LQTC,M,31,pants men
Amsterdam,LLP7L9LQTC,S,9,pants men
Amsterdam,LLP7L9LQTC,XL,7,pants men
Amsterdam,LLP7L9LQTC,XS,6,pants men
Amsterdam,LLP7L9LQTC,XXL,3,pants men
Amsterdam,PUZ9FHPM0L,L,32,pants men
Amsterdam,PUZ9FHPM0L,M,15,pants men
Amsterdam,PUZ9FHPM0L,S,10,pants men
Amsterdam,PUZ9FHPM0L,XL,11,pants men
Amsterdam,PUZ9FHPM0L,XS,4,pants men
Amsterdam,PUZ9FHPM0L,XXL,3,pants men
Amsterdam,R1GQQ0CSBL,L,25,pants men
Amsterdam,R1GQQ0CSBL,M,17,pants men
Amsterdam,R1GQQ0CSBL,S,10,pants men
Amsterdam,R1GQQ0CSBL,XL,21,pants men
Amsterdam,R1GQQ0CSBL,XS,5,pants men
Amsterdam,R1GQQ0CSBL,XXL,6,pants men
Berlin,D9J7V1UG3B,L,34,pants men
Berlin,D9J7V1UG3B,M,52,pants men
Berlin,D9J7V1UG3B,S,19,pants men
Berlin,D9J7V1UG3B,XL,15,pants men
Berlin,D9J7V1UG3B,XS,13,pants men
Berlin,D9J7V1UG3B,XXL,3,pants men
Berlin,KX2DPVZSC6,L,49,pants men
Berlin,KX2DPVZSC6,M,27,pants men
Berlin,KX2DPVZSC6,S,16,pants men
Berlin,KX2DPVZSC6,XL,10,pants men
Berlin,KX2DPVZSC6,XS,6,pants men
Berlin,KX2DPVZSC6,XXL,6,pants men
Berlin,LLP7L9LQTC,L,19,pants men
Berlin,LLP7L9LQTC,M,49,pants men
Berlin,LLP7L9LQTC,S,14,pants men
Berlin,LLP7L9LQTC,XL,13,pants men
Berlin,LLP7L9LQTC,XS,10,pants men
Berlin,LLP7L9LQTC,XXL,5,pants men
Berlin,PUZ9FHPM0L,L,23,pants men
Berlin,PUZ9FHPM0L,M,11,pants men
Berlin,PUZ9FHPM0L,S,6,pants men
Berlin,PUZ9FHPM0L,XL,9,pants men
Berlin,PUZ9FHPM0L,XS,3,pants men
Berlin,PUZ9FHPM0L,XXL,4,pants men
Berlin,R1GQQ0CSBL,L,48,pants men
Berlin,R1GQQ0CSBL,M,26,pants men
Berlin,R1GQQ0CSBL,S,19,pants men
Berlin,R1GQQ0CSBL,XL,9,pants men
Berlin,R1GQQ0CSBL,XS,4,pants men
Berlin,R1GQQ0CSBL,XXL,8,pants men
Brussels,D9J7V1UG3B,L,56,pants men
Brussels,D9J7V1UG3B,M,69,pants men
Brussels,D9J7V1UG3B,S,37,pants men
Brussels,D9J7V1UG3B,XL,17,pants men
Brussels,D9J7V1UG3B,XS,18,pants men
Brussels,D9J7V1UG3B,XXL,9,pants men
Brussels,KX2DPVZSC6,L,32,pants men
Brussels,KX2DPVZSC6,M,43,pants men
Brussels,KX2DPVZSC6,S,23,pants men
Brussels,KX2DPVZSC6,XL,32,pants men
Brussels,KX2DPVZSC6,XS,10,pants men
Brussels,KX2DPVZSC6,XXL,10,pants men
Brussels,LLP7L9LQTC,L,25,pants men
Brussels,LLP7L9LQTC,M,28,pants men
Brussels,LLP7L9LQTC,S,21,pants men
Brussels,LLP7L9LQTC,XL,13,pants men
Brussels,LLP7L9LQTC,XS,6,pants men
Brussels,LLP7L9LQTC,XXL,6,pants men
Brussels,PUZ9FHPM0L,L,28,pants men
Brussels,PUZ9FHPM0L,M,24,pants men
Brussels,PUZ9FHPM0L,S,18,pants men
Brussels,PUZ9FHPM0L,XL,14,pants men
Brussels,PUZ9FHPM0L,XS,3,pants men
Brussels,PUZ9FHPM0L,XXL,8,pants men
Brussels,R1GQQ0CSBL,L,41,pants men
Brussels,R1GQQ0CSBL,M,33,pants men
Brussels,R1GQQ0CSBL,S,20,pants men
Brussels,R1GQQ0CSBL,XL,19,pants men
Brussels,R1GQQ0CSBL,XS,12,pants men
Brussels,R1GQQ0CSBL,XXL,17,pants men
Copenhagen,D9J7V1UG3B,L,67,pants men
Copenhagen,D9J7V1UG3B,M,85,pants men
Copenhagen,D9J7V1UG3B,S,49,pants men
Copenhagen,D9J7V1UG3B,XL,25,pants men
Copenhagen,D9J7V1UG3B,XS,25,pants men
Copenhagen,D9J7V1UG3B,XXL,16,pants men
Copenhagen,KX2DPVZSC6,L,85,pants men
Copenhagen,KX2DPVZSC6,M,53,pants men
Copenhagen,KX2DPVZSC6,S,24,pants men
Copenhagen,KX2DPVZSC6,XL,39,pants men
Copenhagen,KX2DPVZSC6,XS,11,pants men
Copenhagen,KX2DPVZSC6,XXL,24,pants men
Copenhagen,LLP7L9LQTC,L,50,pants men
Copenhagen,LLP7L9LQTC,M,86,pants men
Copenhagen,LLP7L9LQTC,S,24,pants men
Copenhagen,LLP7L9LQTC,XL,16,pants men
Copenhagen,LLP7L9LQTC,XS,17,pants men
Copenhagen,LLP7L9LQTC,XXL,13,pants men
Copenhagen,PUZ9FHPM0L,L,58,pants men
Copenhagen,PUZ9FHPM0L,M,15,pants men
Copenhagen,PUZ9FHPM0L,S,13,pants men
Copenhagen,PUZ9FHPM0L,XL,34,pants men
Copenhagen,PUZ9FHPM0L,XS,10,pants men
Copenhagen,PUZ9FHPM0L,XXL,5,pants men
Copenhagen,R1GQQ0CSBL,L,66,pants men
Copenhagen,R1GQQ0CSBL,M,38,pants men
Copenhagen,R1GQQ0CSBL,S,24,pants men
Copenhagen,R1GQQ0CSBL,XL,25,pants men
Copenhagen,R1GQQ0CSBL,XS,11,pants men
Copenhagen,R1GQQ0CSBL,XXL,8,pants men
Helsinki,D9J7V1UG3B,L,58,pants men
Helsinki,D9J7V1UG3B,M,114,pants men
Helsinki,D9J7V1UG3B,S,42,pants men
Helsinki,D9J7V1UG3B,XL,25,pants men
Helsinki,D9J7V1UG3B,XS,24,pants men
Helsinki,D9J7V1UG3B,XXL,21,pants men
Helsinki,KX2DPVZSC6,L,54,pants men
Helsinki,KX2DPVZSC6,M,55,pants men
Helsinki,KX2DPVZSC6,S,20,pants men
Helsinki,KX2DPVZSC6,XL,52,pants men
Helsinki,KX2DPVZSC6,XS,13,pants men
Helsinki,KX2DPVZSC6,XXL,16,pants men
Helsinki,LLP7L9LQTC,L,40,pants men
Helsinki,LLP7L9LQTC,M,78,pants men
Helsinki,LLP7L9LQTC,S,25,pants men
Helsinki,LLP7L9LQTC,XL,21,pants men
Helsinki,LLP7L9LQTC,XS,15,pants men
Helsinki,LLP7L9LQTC,XXL,12,pants men
Helsinki,PUZ9FHPM0L,L,55,pants men
Helsinki,PUZ9FHPM0L,M,47,pants men
Helsinki,PUZ9FHPM0L,S,16,pants men
Helsinki,PUZ9FHPM0L,XL,31,pants men
Helsinki,PUZ9FHPM0L,XS,9,pants men
Helsinki,PUZ9FHPM0L,XXL,7,pants men
Helsinki,R1GQQ0CSBL,L,38,pants men
Helsinki,R1GQQ0CSBL,M,58,pants men
Helsinki,R1GQQ0CSBL,S,26,pants men
Helsinki,R1GQQ0CSBL,XL,36,pants men
Helsinki,R1GQQ0CSBL,XS,5,pants men
Helsinki,R1GQQ0CSBL,XXL,16,pants men
Madrid,D9J7V1UG3B,L,22,pants men
Madrid,D9J7V1UG3B,M,56,pants men
Madrid,D9J7V1UG3B,S,48,pants men
Madrid,D9J7V1UG3B,XL,24,pants men
Madrid,D9J7V1UG3B,XS,12,pants men
Madrid,D9J7V1UG3B,XXL,10,pants men
Madrid,KX2DPVZSC6,L,40,pants men
Madrid,KX2DPVZSC6,M,31,pants men
Madrid,KX2DPVZSC6,S,18,pants men
Madrid,KX2DPVZSC6,XL,25,pants men
Madrid,KX2DPVZSC6,XS,8,pants men
Madrid,KX2DPVZSC6,XXL,11,pants men
Madrid,LLP7L9LQTC,L,43,pants men
Madrid,LLP7L9LQTC,M,32,pants men
Madrid,LLP7L9LQTC,S,25,pants men
Madrid,LLP7L9LQTC,XL,15,pants men
Madrid,LLP7L9LQTC,XS,12,pants men
Madrid,LLP7L9LQTC,XXL,4,pants men
Madrid,PUZ9FHPM0L,L,35,pants men
Madrid,PUZ9FHPM0L,M,24,pants men
Madrid,PUZ9FHPM0L,S,13,pants men
Madrid,PUZ9FHPM0L,XL,5,pants men
Madrid,PUZ9FHPM0L,XS,6,pants men
Madrid,PUZ9FHPM0L,XXL,6,pants men
Madrid,R1GQQ0CSBL,L,26,pants men
Madrid,R1GQQ0CSBL,M,21,pants men
Madrid,R1GQQ0CSBL,S,18,pants men
Madrid,R1GQQ0CSBL,XL,11,pants men
Madrid,R1GQQ0CSBL,XS,2,pants men
Madrid,R1GQQ0CSBL,XXL,9,pants men
Paris,D9J7V1UG3B,L,34,pants men
Paris,D9J7V1UG3B,M,26,pants men
Paris,D9J7V1UG3B,S,15,pants men
Paris,D9J7V1UG3B,XL,15,pants men
Paris,D9J7V1UG3B,XS,9,pants men
Paris,D9J7V1UG3B,XXL,9,pants men
Paris,KX2DPVZSC6,L,22,pants men
Paris,KX2DPVZSC6,M,24,pants men
Paris,KX2DPVZSC6,S,16,pants men
Paris,KX2DPVZSC6,XL,15,pants men
Paris,KX2DPVZSC6,XS,8,pants men
Paris,KX2DPVZSC6,XXL,9,pants men
Paris,LLP7L9LQTC,L,28,pants men
Paris,LLP7L9LQTC,M,26,pants men
Paris,LLP7L9LQTC,S,20,pants men
Paris,LLP7L9LQTC,XL,13,pants men
Paris,LLP7L9LQTC,XS,9,pants men
Paris,LLP7L9LQTC,XXL,5,pants men
Paris,PUZ9FHPM0L,L,31,pants men
Paris,PUZ9FHPM0L,M,22,pants men
Paris,PUZ9FHPM0L,S,7,pants men
Paris,PUZ9FHPM0L,XL,9,pants men
Paris,PUZ9FHPM0L,XS,3,pants men
Paris,PUZ9FHPM0L,XXL,5,pants men
Paris,R1GQQ0CSBL,L,17,pants men
Paris,R1GQQ0CSBL,M,26,pants men
Paris,R1GQQ0CSBL,S,12,pants men
Paris,R1GQQ0CSBL,XL,22,pants men
Paris,R1GQQ0CSBL,XS,4,pants men
Paris,R1GQQ0CSBL,XXL,11,pants men
Platform,D9J7V1UG3B,L,17,pants men
Platform,D9J7V1UG3B,M,24,pants men
Platform,D9J7V1UG3B,S,8,pants men
Platform,D9J7V1UG3B,XL,4,pants men
Platform,D9J7V1UG3B,XS,3,pants men
Platform,D9J7V1UG3B,XXL,4,pants men
Platform,KX2DPVZSC6,L,11,pants men
Platform,KX2DPVZSC6,M,6,pants men
Platform,KX2DPVZSC6,S,2,pants men
Platform,KX2DPVZSC6,XL,7,pants men
Platform,KX2DPVZSC6,XS,2,pants men
Platform,KX2DPVZSC6,XXL,2,pants men
Platform,LLP7L9LQTC,L,4,pants men
Platform,LLP7L9LQTC,M,13,pants men
Platform,LLP7L9LQTC,S,5,pants men
Platform,LLP7L9LQTC,XL,2,pants men
Platform,LLP7L9LQTC,XS,2,pants men
Platform,LLP7L9LQTC,XXL,2,pants men
Platform,PUZ9FHPM0L,L,7,pants men
Platform,PUZ9FHPM0L,M,4,pants men
Platform,PUZ9FHPM0L,S,2,pants men
Platform,PUZ9FHPM0L,XL,3,pants men
Platform,PUZ9FHPM0L,XS,3,pants men
Platform,PUZ9FHPM0L,XXL,2,pants men
Platform,R1GQQ0CSBL,L,6,pants men
Platform,R1GQQ0CSBL,M,6,pants men
Platform,R1GQQ0CSBL,S,3,pants men
Platform,R1GQQ0CSBL,XL,6,pants men
Platform,R1GQQ0CSBL,XS,2,pants men
Platform,R1GQQ0CSBL,XXL,1,pants men
Rome,D9J7V1UG3B,L,14,pants men
Rome,D9J7V1UG3B,M,15,pants men
Rome,D9J7V1UG3B,S,14,pants men
Rome,D9J7V1UG3B,XL,8,pants men
Rome,D9J7V1UG3B,XS,7,pants men
Rome,D9J7V1UG3B,XXL,2,pants men
Rome,KX2DPVZSC6,L,30,pants men
Rome,KX2DPVZSC6,M,10,pants men
Rome,KX2DPVZSC6,S,8,pants men
Rome,KX2DPVZSC6,XL,14,pants men
Rome,KX2DPVZSC6,XS,2,pants men
Rome,KX2DPVZSC6,XXL,4,pants men
Rome,LLP7L9LQTC,L,10,pants men
Rome,LLP7L9LQTC,M,12,pants men
Rome,LLP7L9LQTC,S,6,pants men
Rome,LLP7L9LQTC,XL,5,pants men
Rome,LLP7L9LQTC,XS,2,pants men
Rome,LLP7L9LQTC,XXL,4,pants men
Rome,PUZ9FHPM0L,L,12,pants men
Rome,PUZ9FHPM0L,M,10,pants men
Rome,PUZ9FHPM0L,S,2,pants men
Rome,PUZ9FHPM0L,XL,5,pants men
