channel_id,size,forecast_ensemble,size_share
Amsterdam,XS,36,0.0941
Amsterdam,S,55,0.1435
Amsterdam,M,107,0.281
Amsterdam,L,97,0.2556
Amsterdam,XL,51,0.1326
Amsterdam,XXL,35,0.0931
Berlin,XS,31,0.0896
Berlin,S,61,0.1757
Berlin,M,89,0.2553
Berlin,L,97,0.2799
Berlin,XL,45,0.1304
Berlin,XXL,24,0.0691
Brussels,XS,53,0.0877
Brussels,S,75,0.1246
Brussels,M,195,0.3224
Brussels,L,174,0.2879
Brussels,XL,72,0.119
Brussels,XXL,35,0.0583
Copenhagen,XS,67,0.0738
Copenhagen,S,127,0.139
Copenhagen,M,267,0.2925
Copenhagen,L,261,0.2855
Copenhagen,XL,128,0.1398
Copenhagen,XXL,63,0.0693
Helsinki,XS,63,0.0675
Helsinki,S,174,0.1872
Helsinki,M,273,0.2942
Helsinki,L,236,0.2542
Helsinki,XL,117,0.1267
Helsinki,XXL,65,0.0701
Madrid,XS,46,0.0744
Madrid,S,105,0.172
Madrid,M,176,0.2881
Madrid,L,168,0.2745
Madrid,XL,77,0.1253
Madrid,XXL,40,0.0657
Paris,XS,36,0.0765
Paris,S,94,0.2
Paris,M,114,0.2426
Paris,L,128,0.2725
Paris,XL,59,0.1257
Paris,XXL,39,0.0827
Platform,XS,15,0.0897
Platform,S,26,0.1531
Platform,M,52,0.3054
Platform,L,45,0.2663
Platform,XL,18,0.1087
Platform,XXL,13,0.0767
Rome,XS,24,0.0985
Rome,S,40,0.1628
Rome,M,72,0.2943
Rome,L,60,0.2477
Rome,XL,30,0.1246
Rome,XXL,18,0.0722
Stockholm,XS,69,0.0896
Stockholm,S,122,0.1593
Stockholm,M,199,0.2596
Stockholm,L,195,0.2548
Stockholm,XL,118,0.1537
Stockholm,XXL,64,0.083
Webshop,XS,152,0.0822
Webshop,S,331,0.179
Webshop,M,469,0.2534
Webshop,L,537,0.2899
Webshop,XL,243,0.1315
Webshop,XXL,118,0.064
