channel_id,product_id,size,forecast_ensemble,category_group
Amsterdam,29NEO5JDJT,L,18,shirt men
Amsterdam,29NEO5JDJT,M,41,shirt men
Amsterdam,29NEO5JDJT,S,27,shirt men
Amsterdam,29NEO5JDJT,XL,14,shirt men
Amsterdam,29NEO5JDJT,XS,5,shirt men
Amsterdam,29NEO5JDJT,XXL,18,shirt men
Amsterdam,83N1Y7P1Q5,L,18,shirt men
Amsterdam,83N1Y7P1Q5,M,18,shirt men
Amsterdam,83N1Y7P1Q5,S,8,shirt men
Amsterdam,83N1Y7P1Q5,XL,12,shirt men
Amsterdam,83N1Y7P1Q5,XS,4,shirt men
Amsterdam,83N1Y7P1Q5,XXL,5,shirt men
Amsterdam,PQ8JXR05Z9,L,15,shirt men
Amsterdam,PQ8JXR05Z9,M,18,shirt men
Amsterdam,PQ8JXR05Z9,S,7,shirt men
Amsterdam,PQ8JXR05Z9,XL,6,shirt men
Amsterdam,PQ8JXR05Z9,XS,11,shirt men
Amsterdam,PQ8JXR05Z9,XXL,4,shirt men
Amsterdam,Q1NB6EV307,L,15,shirt men
Amsterdam,Q1NB6EV307,M,5,shirt men
Amsterdam,Q1NB6EV307,S,7,shirt men
Amsterdam,Q1NB6EV307,XL,5,shirt men
Amsterdam,Q1NB6EV307,XS,4,shirt men
Amsterdam,Q1NB6EV307,XXL,2,shirt men
Amsterdam,ZOFDKNLVEN,L,24,shirt men
Amsterdam,ZOFDKNLVEN,M,30,shirt men
Amsterdam,ZOFDKNLVEN,S,9,shirt men
Amsterdam,ZOFDKNLVEN,XL,13,shirt men
Amsterdam,ZOFDKNLVEN,XS,12,shirt men
Amsterdam,ZOFDKNLVEN,XXL,5,shirt men
Berlin,29NEO5JDJT,L,14,shirt men
Berlin,29NEO5JDJT,M,20,shirt men
Berlin,29NEO5JDJT,S,15,shirt men
Berlin,29NEO5JDJT,XL,9,shirt men
Berlin,29NEO5JDJT,XS,9,shirt men
Berlin,29NEO5JDJT,XXL,7,shirt men
Berlin,83N1Y7P1Q5,L,19,shirt men
Berlin,83N1Y7P1Q5,M,21,shirt men
Berlin,83N1Y7P1Q5,S,4,shirt men
Berlin,83N1Y7P1Q5,XL,14,shirt men
Berlin,83N1Y7P1Q5,XS,2,shirt men
Berlin,83N1Y7P1Q5,XXL,3,shirt men
Berlin,PQ8JXR05Z9,L,19,shirt men
Berlin,PQ8JXR05Z9,M,21,shirt men
Berlin,PQ8JXR05Z9,S,15,shirt men
Berlin,PQ8JXR05Z9,XL,5,shirt men
Berlin,PQ8JXR05Z9,XS,11,shirt men
Berlin,PQ8JXR05Z9,XXL,3,shirt men
Berlin,Q1NB6EV307,L,21,shirt men
Berlin,Q1NB6EV307,M,12,shirt men
Berlin,Q1NB6EV307,S,5,shirt men
Berlin,Q1NB6EV307,XL,11,shirt men
Berlin,Q1NB6EV307,XS,3,shirt men
Berlin,Q1NB6EV307,XXL,3,shirt men
Berlin,ZOFDKNLVEN,L,25,shirt men
Berlin,ZOFDKNLVEN,M,21,shirt men
Berlin,ZOFDKNLVEN,S,14,shirt men
Berlin,ZOFDKNLVEN,XL,9,shirt men
Berlin,ZOFDKNLVEN,XS,10,shirt men
Berlin,ZOFDKNLVEN,XXL,5,shirt men
Brussels,29NEO5JDJT,L,38,shirt men
Brussels,29NEO5JDJT,M,64,shirt men
Brussels,29NEO5JDJT,S,24,shirt men
Brussels,29NEO5JDJT,XL,13,shirt men
Brussels,29NEO5JDJT,XS,15,shirt men
Brussels,29NEO5JDJT,XXL,6,shirt men
Brussels,83N1Y7P1Q5,L,40,shirt men
Brussels,83N1Y7P1Q5,M,23,shirt men
Brussels,83N1Y7P1Q5,S,9,shirt men
Brussels,83N1Y7P1Q5,XL,15,shirt men
Brussels,83N1Y7P1Q5,XS,8,shirt men
Brussels,83N1Y7P1Q5,XXL,6,shirt men
Brussels,PQ8JXR05Z9,L,16,shirt men
Brussels,PQ8JXR05Z9,M,38,shirt men
Brussels,PQ8JXR05Z9,S,9,shirt men
Brussels,PQ8JXR05Z9,XL,7,shirt men
Brussels,PQ8JXR05Z9,XS,8,shirt men
Brussels,PQ8JXR05Z9,XXL,4,shirt men
Brussels,Q1NB6EV307,L,39,shirt men
Brussels,Q1NB6EV307,M,14,shirt men
Brussels,Q1NB6EV307,S,11,shirt men
Brussels,Q1NB6EV307,XL,20,shirt men
Brussels,Q1NB6EV307,XS,4,shirt men
Brussels,Q1NB6EV307,XXL,4,shirt men
Brussels,ZOFDKNLVEN,L,37,shirt men
Brussels,ZOFDKNLVEN,M,72,shirt men
Brussels,ZOFDKNLVEN,S,26,shirt men
Brussels,ZOFDKNLVEN,XL,11,shirt men
Brussels,ZOFDKNLVEN,XS,13,shirt men
Brussels,ZOFDKNLVEN,XXL,8,shirt men
Copenhagen,29NEO5JDJT,L,63,shirt men
Copenhagen,29NEO5JDJT,M,85,shirt men
Copenhagen,29NEO5JDJT,S,33,shirt men
Copenhagen,29NEO5JDJT,XL,25,shirt men
Copenhagen,29NEO5JDJT,XS,10,shirt men
