channel_id,size,forecast_ensemble,size_share
Amsterdam,XS,34,0.0717
Amsterdam,S,67,0.1411
Amsterdam,M,166,0.3471
Amsterdam,L,126,0.2651
Amsterdam,XL,56,0.1183
Amsterdam,XXL,27,0.0566
Berlin,XS,51,0.1085
Berlin,S,69,0.1465
Berlin,M,150,0.3157
Berlin,L,108,0.2281
Berlin,XL,59,0.1248
Berlin,XXL,36,0.0764
Brussels,XS,57,0.095
Brussels,S,98,0.1635
Brussels,M,188,0.3128
Brussels,L,155,0.2583
Brussels,XL,60,0.1004
Brussels,XXL,42,0.07
Copenhagen,XS,84,0.0811
Copenhagen,S,147,0.1421
Copenhagen,M,350,0.3377
Copenhagen,L,273,0.2634
Copenhagen,XL,116,0.1115
Copenhagen,XXL,67,0.0643
Helsinki,XS,60,0.0684
Helsinki,S,150,0.1707
Helsinki,M,264,0.3005
Helsinki,L,245,0.2787
Helsinki,XL,102,0.1166
Helsinki,XXL,57,0.0651
Madrid,XS,64,0.0997
Madrid,S,90,0.1394
Madrid,M,180,0.2794
Madrid,L,189,0.2941
Madrid,XL,67,0.1043
Madrid,XXL,53,0.0831
Paris,XS,41,0.0806
Paris,S,79,0.1561
Paris,M,188,0.3695
Paris,L,106,0.2087
Paris,XL,55,0.1086
Paris,XXL,39,0.0766
Platform,XS,15,0.0814
Platform,S,29,0.1613
Platform,M,55,0.3002
Platform,L,49,0.2693
Platform,XL,21,0.1131
Platform,XXL,14,0.0748
Rome,XS,16,0.061
Rome,S,39,0.147
Rome,M,87,0.3305
Rome,L,73,0.2782
Rome,XL,32,0.1202
Rome,XXL,17,0.0631
Stockholm,XS,73,0.0679
Stockholm,S,137,0.1275
Stockholm,M,360,0.335
Stockholm,L,301,0.2803
Stockholm,XL,118,0.1094
Stockholm,XXL,86,0.08
Webshop,XS,185,0.0843
Webshop,S,381,0.1734
Webshop,M,689,0.3134
Webshop,L,560,0.2544
Webshop,XL,244,0.1111
Webshop,XXL,139,0.0634
