channel_id,product_id,size,forecast_ensemble,category_group
Amsterdam,B5K8O3NA22,L,19,sweatshirt men
Amsterdam,B5K8O3NA22,M,26,sweatshirt men
Amsterdam,B5K8O3NA22,S,12,sweatshirt men
Amsterdam,B5K8O3NA22,XL,7,sweatshirt men
Amsterdam,B5K8O3NA22,XS,6,sweatshirt men
Amsterdam,B5K8O3NA22,XXL,5,sweatshirt men
Amsterdam,DY2XGBW1QT,L,23,sweatshirt men
Amsterdam,DY2XGBW1QT,M,30,sweatshirt men
Amsterdam,DY2XGBW1QT,S,18,sweatshirt men
Amsterdam,DY2XGBW1QT,XL,11,sweatshirt men
Amsterdam,DY2XGBW1QT,XS,6,sweatshirt men
Amsterdam,DY2XGBW1QT,XXL,7,sweatshirt men
Amsterdam,FBE5E6Q4S6,L,35,sweatshirt men
Amsterdam,FBE5E6Q4S6,M,45,sweatshirt men
Amsterdam,FBE5E6Q4S6,S,17,sweatshirt men
Amsterdam,FBE5E6Q4S6,XL,23,sweatshirt men
Amsterdam,FBE5E6Q4S6,XS,9,sweatshirt men
Amsterdam,FBE5E6Q4S6,XXL,4,sweatshirt men
Amsterdam,I8RO5VPQIV,L,27,sweatshirt men
Amsterdam,I8RO5VPQIV,M,34,sweatshirt men
Amsterdam,I8RO5VPQIV,S,19,sweatshirt men
Amsterdam,I8RO5VPQIV,XL,8,sweatshirt men
Amsterdam,I8RO5VPQIV,XS,4,sweatshirt men
Amsterdam,I8RO5VPQIV,XXL,5,sweatshirt men
Amsterdam,SUSBYBGRMB,L,25,sweatshirt men
Amsterdam,SUSBYBGRMB,M,24,sweatshirt men
Amsterdam,SUSBYBGRMB,S,5,sweatshirt men
Amsterdam,SUSBYBGRMB,XL,10,sweatshirt men
Amsterdam,SUSBYBGRMB,XS,7,sweatshirt men
Amsterdam,SUSBYBGRMB,XXL,8,sweatshirt men
Berlin,B5K8O3NA22,L,24,sweatshirt men
Berlin,B5K8O3NA22,M,25,sweatshirt men
Berlin,B5K8O3NA22,S,15,sweatshirt men
Berlin,B5K8O3NA22,XL,6,sweatshirt men
Berlin,B5K8O3NA22,XS,11,sweatshirt men
Berlin,B5K8O3NA22,XXL,10,sweatshirt men
Berlin,DY2XGBW1QT,L,17,sweatshirt men
Berlin,DY2XGBW1QT,M,25,sweatshirt men
Berlin,DY2XGBW1QT,S,19,sweatshirt men
Berlin,DY2XGBW1QT,XL,9,sweatshirt men
Berlin,DY2XGBW1QT,XS,11,sweatshirt men
Berlin,DY2XGBW1QT,XXL,4,sweatshirt men
Berlin,FBE5E6Q4S6,L,28,sweatshirt men
Berlin,FBE5E6Q4S6,M,47,sweatshirt men
Berlin,FBE5E6Q4S6,S,23,sweatshirt men
Berlin,FBE5E6Q4S6,XL,11,sweatshirt men
Berlin,FBE5E6Q4S6,XS,19,sweatshirt men
Berlin,FBE5E6Q4S6,XXL,10,sweatshirt men
Berlin,I8RO5VPQIV,L,15,sweatshirt men
Berlin,I8RO5VPQIV,M,25,sweatshirt men
Berlin,I8RO5VPQIV,S,8,sweatshirt men
Berlin,I8RO5VPQIV,XL,11,sweatshirt men
Berlin,I8RO5VPQIV,XS,10,sweatshirt men
Berlin,I8RO5VPQIV,XXL,9,sweatshirt men
Berlin,SUSBYBGRMB,L,21,sweatshirt men
Berlin,SUSBYBGRMB,M,17,sweatshirt men
Berlin,SUSBYBGRMB,S,9,sweatshirt men
Berlin,SUSBYBGRMB,XL,22,sweatshirt men
Berlin,SUSBYBGRMB,XS,5,sweatshirt men
Berlin,SUSBYBGRMB,XXL,5,sweatshirt men
Brussels,B5K8O3NA22,L,27,sweatshirt men
Brussels,B5K8O3NA22,M,26,sweatshirt men
Brussels,B5K8O3NA22,S,11,sweatshirt men
Brussels,B5K8O3NA22,XL,10,sweatshirt men
Brussels,B5K8O3NA22,XS,15,sweatshirt men
Brussels,B5K8O3NA22,XXL,5,sweatshirt men
Brussels,DY2XGBW1QT,L,44,sweatshirt men
Brussels,DY2XGBW1QT,M,36,sweatshirt men
Brussels,DY2XGBW1QT,S,17,sweatshirt men
Brussels,DY2XGBW1QT,XL,10,sweatshirt men
Brussels,DY2XGBW1QT,XS,4,sweatshirt men
Brussels,DY2XGBW1QT,XXL,4,sweatshirt men
Brussels,FBE5E6Q4S6,L,35,sweatshirt men
Brussels,FBE5E6Q4S6,M,71,sweatshirt men
Brussels,FBE5E6Q4S6,S,28,sweatshirt men
Brussels,FBE5E6Q4S6,XL,11,sweatshirt men
Brussels,FBE5E6Q4S6,XS,16,sweatshirt men
Brussels,FBE5E6Q4S6,XXL,10,sweatshirt men
Brussels,I8RO5VPQIV,L,23,sweatshirt men
Brussels,I8RO5VPQIV,M,30,sweatshirt men
Brussels,I8RO5VPQIV,S,19,sweatshirt men
Brussels,I8RO5VPQIV,XL,12,sweatshirt men
Brussels,I8RO5VPQIV,XS,12,sweatshirt men
Brussels,I8RO5VPQIV,XXL,9,sweatshirt men
Brussels,SUSBYBGRMB,L,32,sweatshirt men
Brussels,SUSBYBGRMB,M,33,sweatshirt men
Brussels,SUSBYBGRMB,S,16,sweatshirt men
Brussels,SUSBYBGRMB,XL,21,sweatshirt men
Brussels,SUSBYBGRMB,XS,5,sweatshirt men
Brussels,SUSBYBGRMB,XXL,7,sweatshirt men
Copenhagen,B5K8O3NA22,L,53,sweatshirt men
Copenhagen,B5K8O3NA22,M,70,sweatshirt men
Copenhagen,B5K8O3NA22,S,29,sweatshirt men
Copenhagen,B5K8O3NA22,XL,21,sweatshirt men
Copenhagen,B5K8O3NA22,XS,15,sweatshirt men
Copenhagen,B5K8O3NA22,XXL,18,sweatshirt men
Copenhagen,DY2XGBW1QT,L,62,sweatshirt men
Copenhagen,DY2XGBW1QT,M,58,sweatshirt men
Copenhagen,DY2XGBW1QT,S,29,sweatshirt men
Copenhagen,DY2XGBW1QT,XL,18,sweatshirt men
Copenhagen,DY2XGBW1QT,XS,15,sweatshirt men
Copenhagen,DY2XGBW1QT,XXL,15,sweatshirt men
Copenhagen,FBE5E6Q4S6,L,64,sweatshirt men
Copenhagen,FBE5E6Q4S6,M,94,sweatshirt men
Copenhagen,FBE5E6Q4S6,S,31,sweatshirt men
Copenhagen,FBE5E6Q4S6,XL,23,sweatshirt men
Copenhagen,FBE5E6Q4S6,XS,19,sweatshirt men
Copenhagen,FBE5E6Q4S6,XXL,9,sweatshirt men
Copenhagen,I8RO5VPQIV,L,34,sweatshirt men
Copenhagen,I8RO5VPQIV,M,62,sweatshirt men
Copenhagen,I8RO5VPQIV,S,30,sweatshirt men
Copenhagen,I8RO5VPQIV,XL,24,sweatshirt men
Copenhagen,I8RO5VPQIV,XS,24,sweatshirt men
Copenhagen,I8RO5VPQIV,XXL,17,sweatshirt men
Copenhagen,SUSBYBGRMB,L,70,sweatshirt men
Copenhagen,SUSBYBGRMB,M,43,sweatshirt men
Copenhagen,SUSBYBGRMB,S,26,sweatshirt men
Copenhagen,SUSBYBGRMB,XL,37,sweatshirt men
Copenhagen,SUSBYBGRMB,XS,11,sweatshirt men
Copenhagen,SUSBYBGRMB,XXL,15,sweatshirt men
Helsinki,B5K8O3NA22,L,44,sweatshirt men
Helsinki,B5K8O3NA22,M,52,sweatshirt men
Helsinki,B5K8O3NA22,S,25,sweatshirt men
Helsinki,B5K8O3NA22,XL,12,sweatshirt men
Helsinki,B5K8O3NA22,XS,14,sweatshirt men
Helsinki,B5K8O3NA22,XXL,14,sweatshirt men
Helsinki,DY2XGBW1QT,L,65,sweatshirt men
Helsinki,DY2XGBW1QT,M,79,sweatshirt men
Helsinki,DY2XGBW1QT,S,29,sweatshirt men
Helsinki,DY2XGBW1QT,XL,27,sweatshirt men
Helsinki,DY2XGBW1QT,XS,9,sweatshirt men
Helsinki,DY2XGBW1QT,XXL,14,sweatshirt men
Helsinki,FBE5E6Q4S6,L,57,sweatshirt men
Helsinki,FBE5E6Q4S6,M,85,sweatshirt men
Helsinki,FBE5E6Q4S6,S,31,sweatshirt men
Helsinki,FBE5E6Q4S6,XL,32,sweatshirt men
Helsinki,FBE5E6Q4S6,XS,18,sweatshirt men
Helsinki,FBE5E6Q4S6,XXL,10,sweatshirt men
Helsinki,I8RO5VPQIV,L,53,sweatshirt men
Helsinki,I8RO5VPQIV,M,46,sweatshirt men
Helsinki,I8RO5VPQIV,S,31,sweatshirt men
Helsinki,I8RO5VPQIV,XL,17,sweatshirt men
Helsinki,I8RO5VPQIV,XS,12,sweatshirt men
Helsinki,I8RO5VPQIV,XXL,13,sweatshirt men
Helsinki,SUSBYBGRMB,L,23,sweatshirt men
Helsinki,SUSBYBGRMB,M,30,sweatshirt men
