channel_id,size,forecast_ensemble,size_share
Amsterdam,XXS,76,0.1695
Amsterdam,XS,155,0.3434
Amsterdam,S,106,0.234
Amsterdam,M,62,0.1385
Amsterdam,L,33,0.073
Amsterdam,XL,19,0.0416
Berlin,XXS,83,0.1926
Berlin,XS,134,0.3091
Berlin,S,115,0.2661
Berlin,M,56,0.1305
Berlin,L,23,0.0539
Berlin,XL,21,0.0477
Brussels,XXS,115,0.1646
Brussels,XS,202,0.2891
Brussels,S,215,0.3071
Brussels,M,88,0.1255
Brussels,L,52,0.0748
Brussels,XL,27,0.0389
Copenhagen,XXS,181,0.184
Copenhagen,XS,273,0.2775
Copenhagen,S,291,0.2958
Copenhagen,M,128,0.1297
Copenhagen,L,68,0.0692
Copenhagen,XL,43,0.0438
Helsinki,XXS,183,0.2133
Helsinki,XS,223,0.2599
Helsinki,S,240,0.2797
Helsinki,M,107,0.1253
Helsinki,L,67,0.0786
Helsinki,XL,37,0.0431
Madrid,XXS,103,0.1618
Madrid,XS,217,0.3407
Madrid,S,163,0.2552
Madrid,M,74,0.1156
Madrid,L,43,0.0679
Madrid,XL,37,0.0587
Paris,XXS,102,0.2082
Paris,XS,142,0.2915
Paris,S,132,0.2713
Paris,M,59,0.1216
Paris,L,31,0.063
Paris,XL,22,0.0443
Platform,XXS,25,0.163
Platform,XS,48,0.3087
Platform,S,45,0.2914
Platform,M,18,0.1151
Platform,L,13,0.0804
Platform,XL,6,0.0414
Rome,XXS,46,0.1997
Rome,XS,75,0.3231
Rome,S,60,0.258
Rome,M,26,0.1132
Rome,L,13,0.0577
Rome,XL,11,0.0484
Stockholm,XXS,165,0.177
Stockholm,XS,297,0.318
Stockholm,S,250,0.2684
Stockholm,M,109,0.1171
Stockholm,L,65,0.0697
Stockholm,XL,46,0.0497
Webshop,XXS,321,0.1955
Webshop,XS,547,0.333
Webshop,S,354,0.2158
Webshop,M,239,0.1456
Webshop,L,105,0.0642
Webshop,XL,76,0.046
