channel_id,product_id,size,forecast_ensemble,category_group
Amsterdam,50WUQDWI2V,L,8,sweatshirt women
Amsterdam,50WUQDWI2V,M,11,sweatshirt women
Amsterdam,50WUQDWI2V,S,20,sweatshirt women
Amsterdam,50WUQDWI2V,XL,4,sweatshirt women
Amsterdam,50WUQDWI2V,XS,47,sweatshirt women
Amsterdam,50WUQDWI2V,XXS,13,sweatshirt women
Amsterdam,BH075SYWYT,L,5,sweatshirt women
Amsterdam,BH075SYWYT,M,16,sweatshirt women
Amsterdam,BH075SYWYT,S,8,sweatshirt women
Amsterdam,BH075SYWYT,XL,5,sweatshirt women
Amsterdam,BH075SYWYT,XS,22,sweatshirt women
Amsterdam,BH075SYWYT,XXS,17,sweatshirt women
Amsterdam,KU65DK7JCX,L,8,sweatshirt women
Amsterdam,KU65DK7JCX,M,22,sweatshirt women
Amsterdam,KU65DK7JCX,S,35,sweatshirt women
Amsterdam,KU65DK7JCX,XL,4,sweatshirt women
Amsterdam,KU65DK7JCX,XS,32,sweatshirt women
Amsterdam,KU65DK7JCX,XXS,22,sweatshirt women
Amsterdam,OK2HOMDWXP,L,6,sweatshirt women
Amsterdam,OK2HOMDWXP,M,7,sweatshirt women
Amsterdam,OK2HOMDWXP,S,25,sweatshirt women
Amsterdam,OK2HOMDWXP,XL,4,sweatshirt women
Amsterdam,OK2HOMDWXP,XS,27,sweatshirt women
Amsterdam,OK2HOMDWXP,XXS,10,sweatshirt women
Amsterdam,UXS9I3EAGC,L,5,sweatshirt women
Amsterdam,UXS9I3EAGC,M,6,sweatshirt women
Amsterdam,UXS9I3EAGC,S,15,sweatshirt women
Amsterdam,UXS9I3EAGC,XL,3,sweatshirt women
Amsterdam,UXS9I3EAGC,XS,24,sweatshirt women
Amsterdam,UXS9I3EAGC,XXS,20,sweatshirt women
Berlin,50WUQDWI2V,L,7,sweatshirt women
Berlin,50WUQDWI2V,M,13,sweatshirt women
Berlin,50WUQDWI2V,S,23,sweatshirt women
Berlin,50WUQDWI2V,XL,6,sweatshirt women
Berlin,50WUQDWI2V,XS,27,sweatshirt women
Berlin,50WUQDWI2V,XXS,24,sweatshirt women
Berlin,BH075SYWYT,L,5,sweatshirt women
Berlin,BH075SYWYT,M,7,sweatshirt women
Berlin,BH075SYWYT,S,21,sweatshirt women
Berlin,BH075SYWYT,XL,4,sweatshirt women
Berlin,BH075SYWYT,XS,27,sweatshirt women
Berlin,BH075SYWYT,XXS,13,sweatshirt women
Berlin,KU65DK7JCX,L,5,sweatshirt women
Berlin,KU65DK7JCX,M,20,sweatshirt women
Berlin,KU65DK7JCX,S,15,sweatshirt women
Berlin,KU65DK7JCX,XL,7,sweatshirt women
Berlin,KU65DK7JCX,XS,38,sweatshirt women
Berlin,KU65DK7JCX,XXS,19,sweatshirt women
Berlin,OK2HOMDWXP,L,4,sweatshirt women
Berlin,OK2HOMDWXP,M,6,sweatshirt women
Berlin,OK2HOMDWXP,S,16,sweatshirt women
Berlin,OK2HOMDWXP,XL,4,sweatshirt women
Berlin,OK2HOMDWXP,XS,25,sweatshirt women
Berlin,OK2HOMDWXP,XXS,14,sweatshirt women
Berlin,UXS9I3EAGC,L,3,sweatshirt women
