channel_id,size,forecast_ensemble,size_share
Amsterdam,XS,72,0.0838
Amsterdam,S,153,0.1785
Amsterdam,M,263,0.3077
Amsterdam,L,218,0.2555
Amsterdam,XL,97,0.113
Amsterdam,XXL,53,0.0615
Berlin,XS,76,0.0784
Berlin,S,134,0.1375
Berlin,M,338,0.3462
Berlin,L,261,0.2673
Berlin,XL,114,0.1172
Berlin,XXL,52,0.0534
Brussels,XS,146,0.1005
Brussels,S,247,0.1706
Brussels,M,466,0.3217
Brussels,L,339,0.2337
Brussels,XL,154,0.1064
Brussels,XXL,97,0.0671
Copenhagen,XS,150,0.0797
Copenhagen,S,291,0.1551
Copenhagen,M,677,0.3605
Copenhagen,L,427,0.2274
Copenhagen,XL,192,0.1025
Copenhagen,XXL,140,0.0748
Helsinki,XS,187,0.0841
Helsinki,S,346,0.1557
Helsinki,M,682,0.3069
Helsinki,L,631,0.284
Helsinki,XL,225,0.1014
Helsinki,XXL,151,0.0679
Madrid,XS,135,0.1003
Madrid,S,243,0.1804
Madrid,M,411,0.3059
Madrid,L,341,0.2532
Madrid,XL,134,0.0995
Madrid,XXL,82,0.0607
Paris,XS,84,0.0863
Paris,S,165,0.1682
Paris,M,299,0.3061
Paris,L,273,0.2796
Paris,XL,89,0.0912
Paris,XXL,67,0.0685
Platform,XS,33,0.0916
Platform,S,60,0.1665
Platform,M,103,0.2841
Platform,L,102,0.2817
Platform,XL,38,0.1055
Platform,XXL,26,0.0706
Rome,XS,37,0.0765
Rome,S,92,0.1886
Rome,M,161,0.3285
Rome,L,112,0.2282
Rome,XL,51,0.1044
Rome,XXL,36,0.0738
Stockholm,XS,180,0.0904
Stockholm,S,364,0.1825
Stockholm,M,573,0.2873
Stockholm,L,494,0.2477
Stockholm,XL,250,0.1252
Stockholm,XXL,133,0.0669
Webshop,XS,320,0.0854
Webshop,S,552,0.1472
Webshop,M,1276,0.3403
Webshop,L,929,0.2478
Webshop,XL,404,0.1078
Webshop,XXL,268,0.0715
