channel_id,size,forecast_ensemble,size_share
Amsterdam,XXS,114,0.21
Amsterdam,XS,175,0.3225
Amsterdam,S,141,0.26
Amsterdam,M,54,0.0994
Amsterdam,L,36,0.0671
Amsterdam,XL,22,0.0409
Berlin,XXS,133,0.2168
Berlin,XS,197,0.3224
Berlin,S,136,0.2221
Berlin,M,68,0.1115
Berlin,L,39,0.0642
Berlin,XL,39,0.063
Brussels,XXS,136,0.1908
Brussels,XS,242,0.34
Brussels,S,172,0.2408
Brussels,M,74,0.1035
Brussels,L,56,0.079
Brussels,XL,33,0.0459
Copenhagen,XXS,244,0.1948
Copenhagen,XS,403,0.3215
Copenhagen,S,300,0.2393
Copenhagen,M,158,0.1259
Copenhagen,L,89,0.0713
Copenhagen,XL,59,0.0472
Helsinki,XXS,248,0.1746
Helsinki,XS,429,0.3018
Helsinki,S,409,0.2879
Helsinki,M,159,0.1119
Helsinki,L,111,0.0783
Helsinki,XL,65,0.0455
Madrid,XXS,172,0.2007
Madrid,XS,244,0.2846
Madrid,S,230,0.2679
Madrid,M,121,0.1416
Madrid,L,57,0.067
Madrid,XL,33,0.0382
Paris,XXS,131,0.2103
Paris,XS,179,0.2861
Paris,S,167,0.2665
Paris,M,78,0.1254
Paris,L,37,0.0596
Paris,XL,33,0.0522
Platform,XXS,46,0.1997
Platform,XS,66,0.2863
Platform,S,70,0.305
Platform,M,28,0.1204
Platform,L,12,0.0523
Platform,XL,8,0.0363
Rome,XXS,68,0.206
Rome,XS,100,0.3047
Rome,S,83,0.2525
Rome,M,38,0.1162
Rome,L,21,0.0632
Rome,XL,19,0.0574
Stockholm,XXS,238,0.172
Stockholm,XS,488,0.3527
Stockholm,S,371,0.2681
Stockholm,M,146,0.1054
Stockholm,L,79,0.0572
Stockholm,XL,62,0.0447
Webshop,XXS,450,0.1613
Webshop,XS,978,0.3509
Webshop,S,708,0.254
Webshop,M,351,0.1258
Webshop,L,169,0.0607
Webshop,XL,132,0.0474
