channel_id,product_id,size,forecast_ensemble,category_group
Amsterdam,093KT7ZK38,L,7,T-shirt women
Amsterdam,093KT7ZK38,M,13,T-shirt women
Amsterdam,093KT7ZK38,S,32,T-shirt women
Amsterdam,093KT7ZK38,XL,5,T-shirt women
Amsterdam,093KT7ZK38,XS,30,T-shirt women
Amsterdam,093KT7ZK38,XXS,22,T-shirt women
Amsterdam,AU6KWT18AC,L,9,T-shirt women
Amsterdam,AU6KWT18AC,M,11,T-shirt women
Amsterdam,AU6KWT18AC,S,25,T-shirt women
Amsterdam,AU6KWT18AC,XL,5,T-shirt women
Amsterdam,AU6KWT18AC,XS,53,T-shirt women
Amsterdam,AU6KWT18AC,XXS,37,T-shirt women
Amsterdam,LBQKVWQEL3,L,9,T-shirt women
Amsterdam,LBQKVWQEL3,M,11,T-shirt women
Amsterdam,LBQKVWQEL3,S,18,T-shirt women
Amsterdam,LBQKVWQEL3,XL,3,T-shirt women
Amsterdam,LBQKVWQEL3,XS,27,T-shirt women
Amsterdam,LBQKVWQEL3,XXS,19,T-shirt women
Amsterdam,YPGT13FQ9B,L,8,T-shirt women
Amsterdam,YPGT13FQ9B,M,10,T-shirt women
Amsterdam,YPGT13FQ9B,S,29,T-shirt women
Amsterdam,YPGT13FQ9B,XL,4,T-shirt women
Amsterdam,YPGT13FQ9B,XS,36,T-shirt women
Amsterdam,YPGT13FQ9B,XXS,19,T-shirt women
Amsterdam,ZKLSKKBEKZ,L,6,T-shirt women
Amsterdam,ZKLSKKBEKZ,M,10,T-shirt women
Amsterdam,ZKLSKKBEKZ,S,27,T-shirt women
Amsterdam,ZKLSKKBEKZ,XL,6,T-shirt women
Amsterdam,ZKLSKKBEKZ,XS,31,T-shirt women
Amsterdam,ZKLSKKBEKZ,XXS,21,T-shirt women
Berlin,093KT7ZK38,L,9,T-shirt women
Berlin,093KT7ZK38,M,20,T-shirt women
Berlin,093KT7ZK38,S,28,T-shirt women
Berlin,093KT7ZK38,XL,8,T-shirt women
Berlin,093KT7ZK38,XS,37,T-shirt women
Berlin,093KT7ZK38,XXS,22,T-shirt women
Berlin,AU6KWT18AC,L,10,T-shirt women
Berlin,AU6KWT18AC,M,10,T-shirt women
Berlin,AU6KWT18AC,S,23,T-shirt women
Berlin,AU6KWT18AC,XL,7,T-shirt women
Berlin,AU6KWT18AC,XS,40,T-shirt women
Berlin,AU6KWT18AC,XXS,24,T-shirt women
Berlin,LBQKVWQEL3,L,7,T-shirt women
Berlin,LBQKVWQEL3,M,10,T-shirt women
Berlin,LBQKVWQEL3,S,23,T-shirt women
Berlin,LBQKVWQEL3,XL,8,T-shirt women
Berlin,LBQKVWQEL3,XS,30,T-shirt women
Berlin,LBQKVWQEL3,XXS,21,T-shirt women
Berlin,YPGT13FQ9B,L,7,T-shirt women
Berlin,YPGT13FQ9B,M,14,T-shirt women
Berlin,YPGT13FQ9B,S,21,T-shirt women
Berlin,YPGT13FQ9B,XL,7,T-shirt women
Berlin,YPGT13FQ9B,XS,31,T-shirt women
Berlin,YPGT13FQ9B,XXS,24,T-shirt women
Berlin,ZKLSKKBEKZ,L,9,T-shirt women
Berlin,ZKLSKKBEKZ,M,9,T-shirt women
Berlin,ZKLSKKBEKZ,S,55,T-shirt women
Berlin,ZKLSKKBEKZ,XL,12,T-shirt women
Berlin,ZKLSKKBEKZ,XS,48,T-shirt women
Berlin,ZKLSKKBEKZ,XXS,37,T-shirt women
Brussels,093KT7ZK38,L,15,T-shirt women
Brussels,093KT7ZK38,M,29,T-shirt women
Brussels,093KT7ZK38,S,35,T-shirt women
Brussels,093KT7ZK38,XL,8,T-shirt women
Brussels,093KT7ZK38,XS,28,T-shirt women
Brussels,093KT7ZK38,XXS,17,T-shirt women
Brussels,AU6KWT18AC,L,10,T-shirt women
Brussels,AU6KWT18AC,M,15,T-shirt women
Brussels,AU6KWT18AC,S,43,T-shirt women
Brussels,AU6KWT18AC,XL,4,T-shirt women
Brussels,AU6KWT18AC,XS,55,T-shirt women
Brussels,AU6KWT18AC,XXS,20,T-shirt women
Brussels,LBQKVWQEL3,L,12,T-shirt women
Brussels,LBQKVWQEL3,M,10,T-shirt women
Brussels,LBQKVWQEL3,S,46,T-shirt women
Brussels,LBQKVWQEL3,XL,8,T-shirt women
Brussels,LBQKVWQEL3,XS,26,T-shirt women
Brussels,LBQKVWQEL3,XXS,38,T-shirt women
Brussels,YPGT13FQ9B,L,12,T-shirt women
Brussels,YPGT13FQ9B,M,12,T-shirt women
Brussels,YPGT13FQ9B,S,31,T-shirt women
Brussels,YPGT13FQ9B,XL,6,T-shirt women
Brussels,YPGT13FQ9B,XS,37,T-shirt women
Brussels,YPGT13FQ9B,XXS,29,T-shirt women
Brussels,ZKLSKKBEKZ,L,14,T-shirt women
Brussels,ZKLSKKBEKZ,M,14,T-shirt women
Brussels,ZKLSKKBEKZ,S,23,T-shirt women
Brussels,ZKLSKKBEKZ,XL,5,T-shirt women
Brussels,ZKLSKKBEKZ,XS,74,T-shirt women
Brussels,ZKLSKKBEKZ,XXS,34,T-shirt women
Copenhagen,093KT7ZK38,L,31,T-shirt women
Copenhagen,093KT7ZK38,M,53,T-shirt women
Copenhagen,093KT7ZK38,S,62,T-shirt women
Copenhagen,093KT7ZK38,XL,15,T-shirt women
Copenhagen,093KT7ZK38,XS,53,T-shirt women
Copenhagen,093KT7ZK38,XXS,33,T-shirt women
Copenhagen,AU6KWT18AC,L,14,T-shirt women
Copenhagen,AU6KWT18AC,M,29,T-shirt women
Copenhagen,AU6KWT18AC,S,57,T-shirt women
Copenhagen,AU6KWT18AC,XL,8,T-shirt women
Copenhagen,AU6KWT18AC,XS,94,T-shirt women
Copenhagen,AU6KWT18AC,XXS,26,T-shirt women
Copenhagen,LBQKVWQEL3,L,17,T-shirt women
Copenhagen,LBQKVWQEL3,M,20,T-shirt women
Copenhagen,LBQKVWQEL3,S,45,T-shirt women
Copenhagen,LBQKVWQEL3,XL,10,T-shirt women
Copenhagen,LBQKVWQEL3,XS,80,T-shirt women
Copenhagen,LBQKVWQEL3,XXS,48,T-shirt women
Copenhagen,YPGT13FQ9B,L,11,T-shirt women
Copenhagen,YPGT13FQ9B,M,32,T-shirt women
Copenhagen,YPGT13FQ9B,S,71,T-shirt women
Copenhagen,YPGT13FQ9B,XL,16,T-shirt women
Copenhagen,YPGT13FQ9B,XS,67,T-shirt women
Copenhagen,YPGT13FQ9B,XXS,66,T-shirt women
Copenhagen,ZKLSKKBEKZ,L,16,T-shirt women
Copenhagen,ZKLSKKBEKZ,M,26,T-shirt women
Copenhagen,ZKLSKKBEKZ,S,59,T-shirt women
Copenhagen,ZKLSKKBEKZ,XL,14,T-shirt women
Copenhagen,ZKLSKKBEKZ,XS,103,T-shirt women
Copenhagen,ZKLSKKBEKZ,XXS,75,T-shirt women
Helsinki,093KT7ZK38,L,33,T-shirt women
Helsinki,093KT7ZK38,M,62,T-shirt women
Helsinki,093KT7ZK38,S,79,T-shirt women
Helsinki,093KT7ZK38,XL,11,T-shirt women
Helsinki,093KT7ZK38,XS,77,T-shirt women
Helsinki,093KT7ZK38,XXS,49,T-shirt women
Helsinki,AU6KWT18AC,L,11,T-shirt women
Helsinki,AU6KWT18AC,M,14,T-shirt women
Helsinki,AU6KWT18AC,S,97,T-shirt women
Helsinki,AU6KWT18AC,XL,13,T-shirt women
Helsinki,AU6KWT18AC,XS,101,T-shirt women
Helsinki,AU6KWT18AC,XXS,47,T-shirt women
Helsinki,LBQKVWQEL3,L,13,T-shirt women
Helsinki,LBQKVWQEL3,M,20,T-shirt women
Helsinki,LBQKVWQEL3,S,83,T-shirt women
Helsinki,LBQKVWQEL3,XL,13,T-shirt women
Helsinki,LBQKVWQEL3,XS,89,T-shirt women
Helsinki,LBQKVWQEL3,XXS,44,T-shirt women
Helsinki,YPGT13FQ9B,L,17,T-shirt women
Helsinki,YPGT13FQ9B,M,21,T-shirt women
Helsinki,YPGT13FQ9B,S,82,T-shirt women
Helsinki,YPGT13FQ9B,XL,11,T-shirt women
Helsinki,YPGT13FQ9B,XS,88,T-shirt women
Helsinki,YPGT13FQ9B,XXS,27,T-shirt women
Helsinki,ZKLSKKBEKZ,L,33,T-shirt women
Helsinki,ZKLSKKBEKZ,M,22,T-shirt women
Helsinki,ZKLSKKBEKZ,S,100,T-shirt women
Helsinki,ZKLSKKBEKZ,XL,9,T-shirt women
Helsinki,ZKLSKKBEKZ,XS,88,T-shirt women
Helsinki,ZKLSKKBEKZ,XXS,64,T-shirt women
Madrid,093KT7ZK38,L,19,T-shirt women
Madrid,093KT7ZK38,M,39,T-shirt women
Madrid,093KT7ZK38,S,47,T-shirt women
Madrid,093KT7ZK38,XL,8,T-shirt women
Madrid,093KT7ZK38,XS,42,T-shirt women
Madrid,093KT7ZK38,XXS,25,T-shirt women
Madrid,AU6KWT18AC,L,7,T-shirt women
Madrid,AU6KWT18AC,M,12,T-shirt women
Madrid,AU6KWT18AC,S,40,T-shirt women
Madrid,AU6KWT18AC,XL,4,T-shirt women
Madrid,AU6KWT18AC,XS,24,T-shirt women
Madrid,AU6KWT18AC,XXS,37,T-shirt women
Madrid,LBQKVWQEL3,L,8,T-shirt women
Madrid,LBQKVWQEL3,M,22,T-shirt women
Madrid,LBQKVWQEL3,S,46,T-shirt women
Madrid,LBQKVWQEL3,XL,8,T-shirt women
Madrid,LBQKVWQEL3,XS,45,T-shirt women
Madrid,LBQKVWQEL3,XXS,36,T-shirt women
Madrid,YPGT13FQ9B,L,7,T-shirt women
Madrid,YPGT13FQ9B,M,31,T-shirt women
Madrid,YPGT13FQ9B,S,42,T-shirt women
Madrid,YPGT13FQ9B,XL,4,T-shirt women
Madrid,YPGT13FQ9B,XS,60,T-shirt women
Madrid,YPGT13FQ9B,XXS,26,T-shirt women
Madrid,ZKLSKKBEKZ,L,13,T-shirt women
Madrid,ZKLSKKBEKZ,M,20,T-shirt women
Madrid,ZKLSKKBEKZ,S,53,T-shirt women
Madrid,ZKLSKKBEKZ,XL,7,T-shirt women
Madrid,ZKLSKKBEKZ,XS,72,T-shirt women
Madrid,ZKLSKKBEKZ,XXS,51,T-shirt women
Paris,093KT7ZK38,L,10,T-shirt women
Paris,093KT7ZK38,M,19,T-shirt women
Paris,093KT7ZK38,S,25,T-shirt women
Paris,093KT7ZK38,XL,6,T-shirt women
Paris,093KT7ZK38,XS,16,T-shirt women
Paris,093KT7ZK38,XXS,24,T-shirt women
Paris,AU6KWT18AC,L,8,T-shirt women
Paris,AU6KWT18AC,M,9,T-shirt women
Paris,AU6KWT18AC,S,16,T-shirt women
Paris,AU6KWT18AC,XL,6,T-shirt women
Paris,AU6KWT18AC,XS,34,T-shirt women
