channel_id,product_id,size,forecast_ensemble,category_group
Amsterdam,1S7GY8JV18,L,40,T-shirt men
Amsterdam,1S7GY8JV18,M,32,T-shirt men
Amsterdam,1S7GY8JV18,S,29,T-shirt men
Amsterdam,1S7GY8JV18,XL,18,T-shirt men
Amsterdam,1S7GY8JV18,XS,14,T-shirt men
Amsterdam,1S7GY8JV18,XXL,9,T-shirt men
Amsterdam,20RE1NI7XN,L,24,T-shirt men
Amsterdam,20RE1NI7XN,M,44,T-shirt men
Amsterdam,20RE1NI7XN,S,19,T-shirt men
Amsterdam,20RE1NI7XN,XL,11,T-shirt men
Amsterdam,20RE1NI7XN,XS,12,T-shirt men
Amsterdam,20RE1NI7XN,XXL,8,T-shirt men
Amsterdam,LK5NB8UR9Y,L,22,T-shirt men
Amsterdam,LK5NB8UR9Y,M,37,T-shirt men
Amsterdam,LK5NB8UR9Y,S,36,T-shirt men
Amsterdam,LK5NB8UR9Y,XL,12,T-shirt men
Amsterdam,LK5NB8UR9Y,XS,14,T-shirt men
Amsterdam,LK5NB8UR9Y,XXL,11,T-shirt men
Amsterdam,LVTGQBBF4L,L,28,T-shirt men
Amsterdam,LVTGQBBF4L,M,49,T-shirt men
Amsterdam,LVTGQBBF4L,S,37,T-shirt men
Amsterdam,LVTGQBBF4L,XL,19,T-shirt men
Amsterdam,LVTGQBBF4L,XS,11,T-shirt men
Amsterdam,LVTGQBBF4L,XXL,10,T-shirt men
Amsterdam,QSCW4SWQBC,L,44,T-shirt men
Amsterdam,QSCW4SWQBC,M,54,T-shirt men
Amsterdam,QSCW4SWQBC,S,20,T-shirt men
Amsterdam,QSCW4SWQBC,XL,12,T-shirt men
Amsterdam,QSCW4SWQBC,XS,13,T-shirt men
Amsterdam,QSCW4SWQBC,XXL,8,T-shirt men
Berlin,1S7GY8JV18,L,28,T-shirt men
Berlin,1S7GY8JV18,M,63,T-shirt men
Berlin,1S7GY8JV18,S,28,T-shirt men
Berlin,1S7GY8JV18,XL,13,T-shirt men
Berlin,1S7GY8JV18,XS,16,T-shirt men
Berlin,1S7GY8JV18,XXL,8,T-shirt men
Berlin,20RE1NI7XN,L,34,T-shirt men
Berlin,20RE1NI7XN,M,40,T-shirt men
Berlin,20RE1NI7XN,S,26,T-shirt men
Berlin,20RE1NI7XN,XL,11,T-shirt men
Berlin,20RE1NI7XN,XS,9,T-shirt men
Berlin,20RE1NI7XN,XXL,8,T-shirt men
