channel_id,product_id,size,forecast_ensemble,category_group
Amsterdam,1S7GY8JV18,L,60,T-shirt men
Amsterdam,1S7GY8JV18,M,47,T-shirt men
Amsterdam,1S7GY8JV18,S,44,T-shirt men
Amsterdam,1S7GY8JV18,XL,27,T-shirt men
Amsterdam,1S7GY8JV18,XS,21,T-shirt men
Amsterdam,1S7GY8JV18,XXL,14,T-shirt men
Amsterdam,20RE1NI7XN,L,35,T-shirt men
Amsterdam,20RE1NI7XN,M,66,T-shirt men
Amsterdam,20RE1NI7XN,S,28,T-shirt men
Amsterdam,20RE1NI7XN,XL,16,T-shirt men
Amsterdam,20RE1NI7XN,XS,18,T-shirt men
Amsterdam,20RE1NI7XN,XXL,11,T-shirt men
Amsterdam,LK5NB8UR9Y,L,33,T-shirt men
Amsterdam,LK5NB8UR9Y,M,56,T-shirt men
Amsterdam,LK5NB8UR9Y,S,53,T-shirt men
Amsterdam,LK5NB8UR9Y,XL,17,T-shirt men
Amsterdam,LK5NB8UR9Y,XS,21,T-shirt men
Amsterdam,LK5NB8UR9Y,XXL,16,T-shirt men
Amsterdam,LVTGQBBF4L,L,42,T-shirt men
Amsterdam,LVTGQBBF4L,M,74,T-shirt men
Amsterdam,LVTGQBBF4L,S,56,T-shirt men
Amsterdam,LVTGQBBF4L,XL,28,T-shirt men
Amsterdam,LVTGQBBF4L,XS,16,T-shirt men
Amsterdam,LVTGQBBF4L,XXL,15,T-shirt men
Amsterdam,QSCW4SWQBC,L,66,T-shirt men
Amsterdam,QSCW4SWQBC,M,81,T-shirt men
Amsterdam,QSCW4SWQBC,S,29,T-shirt men
Amsterdam,QSCW4SWQBC,XL,18,T-shirt men
Amsterdam,QSCW4SWQBC,XS,20,T-shirt men
Amsterdam,QSCW4SWQBC,XXL,12,T-shirt men
Berlin,1S7GY8JV18,L,41,T-shirt men
Berlin,1S7GY8JV18,M,94,T-shirt men
Berlin,1S7GY8JV18,S,41,T-shirt men
Berlin,1S7GY8JV18,XL,20,T-shirt men
Berlin,1S7GY8JV18,XS,23,T-shirt men
Berlin,1S7GY8JV18,XXL,12,T-shirt men
Berlin,20RE1NI7XN,L,51,T-shirt men
Berlin,20RE1NI7XN,M,60,T-shirt men
Berlin,20RE1NI7XN,S,39,T-shirt men
Berlin,20RE1NI7XN,XL,16,T-shirt men
Berlin,20RE1NI7XN,XS,14,T-shirt men
Berlin,20RE1NI7XN,XXL,12,T-shirt men
Berlin,LK5NB8UR9Y,L,21,T-shirt men
Berlin,LK5NB8UR9Y,M,86,T-shirt men
Berlin,LK5NB8UR9Y,S,27,T-shirt men
Berlin,LK5NB8UR9Y,XL,21,T-shirt men
Berlin,LK5NB8UR9Y,XS,15,T-shirt men
Berlin,LK5NB8UR9Y,XXL,14,T-shirt men
Berlin,LVTGQBBF4L,L,88,T-shirt men
Berlin,LVTGQBBF4L,M,117,T-shirt men
Berlin,LVTGQBBF4L,S,40,T-shirt men
Berlin,LVTGQBBF4L,XL,50,T-shirt men
Berlin,LVTGQBBF4L,XS,16,T-shirt men
Berlin,LVTGQBBF4L,XXL,10,T-shirt men
Berlin,QSCW4SWQBC,L,93,T-shirt men
Berlin,QSCW4SWQBC,M,72,T-shirt men
Berlin,QSCW4SWQBC,S,30,T-shirt men
Berlin,QSCW4SWQBC,XL,33,T-shirt men
Berlin,QSCW4SWQBC,XS,23,T-shirt men
Berlin,QSCW4SWQBC,XXL,8,T-shirt men
Brussels,1S7GY8JV18,L,81,T-shirt men
Brussels,1S7GY8JV18,M,155,T-shirt men
Brussels,1S7GY8JV18,S,57,T-shirt men
Brussels,1S7GY8JV18,XL,34,T-shirt men
Brussels,1S7GY8JV18,XS,58,T-shirt men
Brussels,1S7GY8JV18,XXL,30,T-shirt men
Brussels,20RE1NI7XN,L,99,T-shirt men
Brussels,20RE1NI7XN,M,92,T-shirt men
Brussels,20RE1NI7XN,S,44,T-shirt men
Brussels,20RE1NI7XN,XL,42,T-shirt men
Brussels,20RE1NI7XN,XS,42,T-shirt men
Brussels,20RE1NI7XN,XXL,27,T-shirt men
Brussels,LK5NB8UR9Y,L,53,T-shirt men
Brussels,LK5NB8UR9Y,M,53,T-shirt men
Brussels,LK5NB8UR9Y,S,66,T-shirt men
Brussels,LK5NB8UR9Y,XL,29,T-shirt men
Brussels,LK5NB8UR9Y,XS,32,T-shirt men
Brussels,LK5NB8UR9Y,XXL,18,T-shirt men
Brussels,LVTGQBBF4L,L,107,T-shirt men
Brussels,LVTGQBBF4L,M,142,T-shirt men
Brussels,LVTGQBBF4L,S,36,T-shirt men
Brussels,LVTGQBBF4L,XL,36,T-shirt men
Brussels,LVTGQBBF4L,XS,30,T-shirt men
Brussels,LVTGQBBF4L,XXL,17,T-shirt men
Brussels,QSCW4SWQBC,L,54,T-shirt men
Brussels,QSCW4SWQBC,M,123,T-shirt men
Brussels,QSCW4SWQBC,S,100,T-shirt men
Brussels,QSCW4SWQBC,XL,44,T-shirt men
Brussels,QSCW4SWQBC,XS,21,T-shirt men
Brussels,QSCW4SWQBC,XXL,29,T-shirt men
Copenhagen,1S7GY8JV18,L,74,T-shirt men
Copenhagen,1S7GY8JV18,M,172,T-shirt men
Copenhagen,1S7GY8JV18,S,75,T-shirt men
Copenhagen,1S7GY8JV18,XL,50,T-shirt men
Copenhagen,1S7GY8JV18,XS,65,T-shirt men
Copenhagen,1S7GY8JV18,XXL,69,T-shirt men
Copenhagen,20RE1NI7XN,L,101,T-shirt men
Copenhagen,20RE1NI7XN,M,51,T-shirt men
Copenhagen,20RE1NI7XN,S,34,T-shirt men
Copenhagen,20RE1NI7XN,XL,39,T-shirt men
Copenhagen,20RE1NI7XN,XS,23,T-shirt men
Copenhagen,20RE1NI7XN,XXL,32,T-shirt men
Copenhagen,LK5NB8UR9Y,L,111,T-shirt men
Copenhagen,LK5NB8UR9Y,M,195,T-shirt men
Copenhagen,LK5NB8UR9Y,S,123,T-shirt men
Copenhagen,LK5NB8UR9Y,XL,44,T-shirt men
Copenhagen,LK5NB8UR9Y,XS,41,T-shirt men
Copenhagen,LK5NB8UR9Y,XXL,30,T-shirt men
Copenhagen,LVTGQBBF4L,L,124,T-shirt men
Copenhagen,LVTGQBBF4L,M,198,T-shirt men
Copenhagen,LVTGQBBF4L,S,62,T-shirt men
Copenhagen,LVTGQBBF4L,XL,58,T-shirt men
Copenhagen,LVTGQBBF4L,XS,28,T-shirt men
Copenhagen,LVTGQBBF4L,XXL,36,T-shirt men
Copenhagen,QSCW4SWQBC,L,129,T-shirt men
Copenhagen,QSCW4SWQBC,M,131,T-shirt men
Copenhagen,QSCW4SWQBC,S,76,T-shirt men
Copenhagen,QSCW4SWQBC,XL,45,T-shirt men
Copenhagen,QSCW4SWQBC,XS,29,T-shirt men
Copenhagen,QSCW4SWQBC,XXL,22,T-shirt men
Helsinki,1S7GY8JV18,L,178,T-shirt men
Helsinki,1S7GY8JV18,M,136,T-shirt men
Helsinki,1S7GY8JV18,S,84,T-shirt men
Helsinki,1S7GY8JV18,XL,59,T-shirt men
Helsinki,1S7GY8JV18,XS,48,T-shirt men
Helsinki,1S7GY8JV18,XXL,48,T-shirt men
Helsinki,20RE1NI7XN,L,131,T-shirt men
Helsinki,20RE1NI7XN,M,168,T-shirt men
Helsinki,20RE1NI7XN,S,75,T-shirt men
Helsinki,20RE1NI7XN,XL,32,T-shirt men
Helsinki,20RE1NI7XN,XS,50,T-shirt men
Helsinki,20RE1NI7XN,XXL,23,T-shirt men
Helsinki,LK5NB8UR9Y,L,170,T-shirt men
