sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
093KT7ZK38_L,13,17,19,36,34,22,13,5,11,30,70
093KT7ZK38_M,19,20,32,53,62,40,20,8,22,53,125
093KT7ZK38_S,35,35,35,62,82,50,33,19,28,111,142
093KT7ZK38_XL,5,8,8,15,23,15,6,4,5,14,38
093KT7ZK38_XS,32,38,39,67,77,42,28,13,29,74,194
093KT7ZK38_XXS,36,25,18,36,49,34,24,7,15,51,111
0Z6K6Y21KR_L,3,3,2,3,2,2,2,2,1,5,11
0Z6K6Y21KR_M,5,7,5,5,4,6,5,2,3,9,10
0Z6K6Y21KR_S,10,8,15,16,16,13,16,4,6,26,31
0Z6K6Y21KR_XL,0,1,1,2,4,4,1,1,2,1,4
0Z6K6Y21KR_XS,7,8,14,17,12,12,15,4,7,26,26
0Z6K6Y21KR_XXS,6,2,10,13,8,7,5,1,3,16,11
1KZZ8PMFB1_L,8,8,12,13,24,12,9,4,5,19,26
1KZZ8PMFB1_M,6,8,12,12,9,8,8,4,5,11,35
1KZZ8PMFB1_S,3,5,11,8,6,5,7,3,1,13,11
1KZZ8PMFB1_XL,8,8,12,16,13,8,8,4,4,10,21
1KZZ8PMFB1_XS,4,2,5,9,8,7,3,1,2,6,16
1KZZ8PMFB1_XXL,5,2,4,6,5,4,4,3,1,6,9
1S7GY8JV18_L,69,62,68,95,148,66,66,27,24,103,200
1S7GY8JV18_M,74,78,129,146,131,103,58,22,42,156,251
1S7GY8JV18_S,41,37,49,71,70,52,47,25,27,101,152
1S7GY8JV18_XL,23,24,33,45,49,32,24,10,13,55,116
1S7GY8JV18_XS,19,21,48,54,46,29,23,13,11,40,98
1S7GY8JV18_XXL,12,10,25,57,42,28,18,10,7,24,80
20RE1NI7XN_L,37,42,83,89,109,71,43,18,20,102,177
20RE1NI7XN_M,56,50,76,91,140,87,76,27,42,122,213
20RE1NI7XN_S,23,33,67,65,67,58,33,15,25,64,135
20RE1NI7XN_XL,13,13,35,33,30,25,15,9,8,47,66
20RE1NI7XN_XS,17,17,42,29,41,31,18,10,11,45,88
20RE1NI7XN_XXL,9,12,29,29,30,28,11,9,13,37,53
29NEO5JDJT_L,33,21,38,63,53,41,20,12,15,47,142
29NEO5JDJT_M,51,20,64,85,73,63,50,14,21,65,132
29NEO5JDJT_S,27,15,24,45,51,34,30,8,14,41,83
29NEO5JDJT_XL,14,9,15,28,32,19,15,7,11,27,61
29NEO5JDJT_XS,15,9,17,21,18,14,9,3,13,23,56
29NEO5JDJT_XXL,18,7,14,12,18,12,14,6,7,22,31
50WUQDWI2V_L,8,7,5,17,15,8,10,2,5,14,27
50WUQDWI2V_M,11,14,25,30,31,21,15,7,4,29,48
50WUQDWI2V_S,22,23,50,94,54,55,39,10,17,61,103
50WUQDWI2V_XL,8,7,6,12,11,15,9,3,5,11,16
50WUQDWI2V_XS,47,27,43,71,58,53,39,10,15,62,119
50WUQDWI2V_XXS,18,24,27,42,44,21,25,8,13,38,122
83N1Y7P1Q5_L,20,28,42,58,58,47,44,10,16,66,111
83N1Y7P1Q5_M,18,21,26,38,39,33,22,8,13,47,71
83N1Y7P1Q5_S,10,5,9,13,22,14,12,7,8,24,40
83N1Y7P1Q5_XL,13,14,17,27,29,27,16,5,10,48,62
83N1Y7P1Q5_XS,4,2,8,7,9,5,8,2,2,9,18
83N1Y7P1Q5_XXL,5,4,7,12,16,12,13,2,3,15,26
8D2X9QGLQF_L,12,16,10,7,20,7,14,7,7,32,45
8D2X9QGLQF_M,7,14,10,16,21,7,12,5,7,26,38
8D2X9QGLQF_S,2,4,5,4,8,4,4,2,3,8,14
8D2X9QGLQF_XL,4,11,7,8,13,8,4,2,2,20,30
8D2X9QGLQF_XS,1,3,3,4,5,2,3,2,1,8,8
8D2X9QGLQF_XXL,2,4,3,3,6,2,4,2,2,8,14
8WVHOXLVJ2_L,3,2,2,5,8,2,6,1,3,7,7
8WVHOXLVJ2_M,5,6,4,8,11,6,7,3,3,9,19
8WVHOXLVJ2_S,7,8,14,19,34,17,13,5,11,28,32
8WVHOXLVJ2_XL,2,2,3,3,7,3,1,1,1,3,6
