pack_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
P001,0,0,0,1,2,2,0,0,1,0,2
P002,0,1,0,7,8,3,3,1,1,3,13
P003,0,0,0,0,0,0,0,0,0,2,0
P004,0,0,0,0,0,0,1,0,0,1,0
P005,0,0,0,0,4,0,0,0,0,0,1
P006,0,0,0,0,0,1,0,0,0,0,0
P007,1,0,0,1,1,0,0,0,0,0,0
P008,0,0,0,1,0,0,0,0,0,0,4
P009,0,0,1,0,1,2,0,0,0,0,0
P010,0,2,4,4,6,2,2,0,2,6,11
P011,0,0,1,1,0,0,0,0,0,0,3
P012,0,0,0,1,2,1,1,0,0,0,6
P013,0,0,0,0,0,0,0,0,0,9,0
P014,3,6,6,6,7,1,0,0,2,2,20
P015,1,0,0,0,0,0,0,0,0,1,0
P016,0,1,0,0,0,0,0,0,0,0,0
P017,6,3,7,16,13,9,1,3,4,12,24
P018,1,0,0,0,1,0,0,0,0,1,0
P019,4,0,0,1,0,0,0,0,0,0,0
P020,0,6,0,0,0,0,0,0,0,0,0
P021,7,6,11,19,19,12,10,1,1,22,22
P022,0,2,0,0,0,1,0,0,2,3,0
P023,2,0,2,4,2,2,2,0,1,4,3
P024,0,0,0,0,0,0,0,1,0,1,0
P025,1,0,0,0,1,0,3,0,1,0,0
P026,0,0,0,0,0,0,1,0,1,0,0
P027,0,2,1,0,1,0,0,0,0,0,0
P028,0,0,0,0,1,0,0,0,0,0,3
P029,0,0,0,1,0,2,0,0,0,0,0
P030,0,0,0,0,1,0,0,0,0,4,0
P031,3,2,0,1,3,3,0,0,0,1,7
P032,7,3,8,5,6,6,6,1,0,15,14
P033,0,0,4,5,0,6,0,0,0,2,2
P034,0,0,0,1,3,1,1,0,1,1,5
P035,0,0,0,0,0,0,0,0,0,0,7
P036,0,1,3,6,0,2,0,0,0,3,2
P037,0,3,3,5,7,1,1,0,0,0,15
P038,0,0,0,2,0,0,1,1,1,1,8
P039,0,0,0,4,0,0,0,0,0,0,0
P040,4,3,4,10,15,4,5,1,0,10,9
P041,0,0,2,0,0,1,0,0,0,0,0
P042,5,2,9,13,8,6,5,1,3,10,11
P043,1,0,0,0,2,0,0,0,0,1,1
P044,1,0,1,0,1,0,0,0,0,0,0
P045,0,0,1,1,1,2,0,0,1,1,2
P046,2,0,2,9,0,1,4,1,0,7,11
P047,0,1,0,0,0,0,0,0,0,0,0
P048,0,0,0,1,3,0,0,0,0,0,7
P049,0,0,3,6,5,0,0,2,0,0,22
P050,0,2,1,0,0,0,0,1,0,0,1
P051,0,0,0,0,0,3,0,1,0,0,1
P052,0,0,0,0,0,3,1,1,0,3,5
P053,1,0,0,0,2,0,0,0,0,0,0
P054,0,3,0,5,2,1,0,1,1,1,7
P055,0,1,1,1,0,0,0,0,0,0,0
P056,0,0,1,0,0,0,0,0,0,1,2
P057,1,0,2,1,5,4,3,0,0,4,4
P058,7,2,0,1,1,1,1,0,0,0,0
P059,0,0,0,0,1,2,0,0,0,0,1
P060,1,3,3,2,4,2,5,3,0,8,16
P061,3,0,1,0,0,0,0,0,2,0,0
P062,0,0,0,2,0,0,0,0,0,0,1
P063,0,0,0,0,1,0,0,0,0,0,0
P064,0,1,3,0,2,0,0,0,0,0,0
P065,0,0,0,1,0,0,0,1,0,2,0
P066,2,0,0,0,2,1,2,0,1,2,1
P067,0,0,0,0,0,0,0,0,0,0,11
P068,0,0,1,2,2,1,0,0,0,0,3
P069,0,0,0,1,1,0,0,0,0,0,4
P070,1,0,4,0,0,0,0,0,0,0,0
P071,0,3,6,6,0,3,1,0,2,3,6
P072,0,0,1,1,3,0,0,0,1,2,0
P073,2,4,5,2,1,0,0,0,0,0,1
P074,0,1,0,0,0,0,1,0,1,0,2
P075,1,0,1,1,3,1,0,0,1,2,3
P076,1,0,0,0,1,0,2,0,0,0,1
P077,0,2,3,0,2,0,0,0,0,1,2
P078,0,0,0,1,0,0,0,0,0,0,0
P079,1,3,7,7,7,2,0,2,0,4,16
P080,0,0,0,0,1,0,0,0,0,1,4
P081,1,1,0,0,0,1,0,0,0,1,0
P082,0,2,0,4,1,1,0,1,1,0,3
P083,0,0,0,0,6,0,0,0,0,0,0
P084,1,0,2,1,0,1,0,0,1,0,1
P085,0,0,0,0,0,0,0,0,0,2,0
P086,0,1,0,0,2,0,0,0,0,0,3
P087,3,1,1,2,3,0,2,2,3,2,6
P088,0,0,0,1,0,0,0,0,0,0,0
P089,1,0,1,1,1,0,2,0,0,2,1
P090,0,0,2,3,0,0,0,0,1,1,12
P091,0,0,0,6,3,0,0,0,0,0,16
P092,0,0,0,1,3,0,0,0,0,1,0
P093,1,0,0,4,3,2,2,0,0,3,7
P094,0,0,0,0,2,2,1,0,0,0,0
P095,2,0,4,2,0,0,1,0,1,7,7
P096,2,0,0,0,1,0,0,0,1,0,1
P097,0,1,4,1,2,3,2,0,1,0,2
P098,0,2,0,0,0,0,0,0,0,1,0
P099,3,0,1,2,6,2,5,2,1,4,11
P100,1,0,0,0,3,1,1,0,0,1,5
P101,0,0,1,0,3,1,0,0,0,0,1
