restart,iteration,operator,current_cost,restart_best_cost,global_best_cost,temperature,pack_types_current,pack_types_best,shortage_units_best,overstock_units_best,elapsed_seconds
1,1,split_pack,786350,786350,785627,5000,503,502,0,0,0.534687
1,250,split_pack,554765,554421,409540,4414.55,538,537,0,4386,36.6337
1,500,mutate_pack_content,462170,461899,354026,3895.71,591,591,0,9419,78.2107
1,750,reallocate,429026,425272,350439,3437.84,598,596,0,13609,122.389
1,1000,reallocate,408218,407637,342268,3033.79,600,600,0,17633,166.876
1,1250,reallocate,398072,396114,342268,2677.23,601,601,0,19847,210.362
1,1500,reallocate,393484,391938,341089,2362.57,600,600,0,21520,251.664
1,1750,reallocate,390588,389648,335030,2084.9,600,600,0,22667,291.705
1,2000,reallocate,385058,383525,329350,1839.86,600,600,0,24267,330.254
1,2250,reallocate,384796,382761,319245,1623.62,600,600,0,25092,367.074
1,2500,reallocate,388334,382761,313802,1432.79,600,600,0,25092,403.427
1,2750,reallocate,383181,382761,307469,1264.4,600,600,0,25092,439.147
1,3000,reallocate,381957,381465,302087,1115.79,600,600,0,26836,474.185
1,3250,reallocate,379100,376577,296816,984.651,600,600,0,27116,508.644
1,3500,reallocate,379078,376180,285859,868.924,600,600,0,27394,542.855
1,3750,reallocate,377125,376180,277990,766.799,600,600,0,27394,576.117
1,4000,reallocate,375679,375205,272629,676.676,600,600,0,27983,609.89
1,4250,reallocate,372723,371803,265925,597.146,600,600,0,27822,642.998
1,4500,reallocate,375206,371564,260643,526.963,600,600,0,27937,675.762
1,4750,reallocate,370512,369378,256027,465.029,600,600,0,28074,708.207
1,5000,reallocate,373000,369378,251935,410.374,600,600,0,28074,739.612
1,5250,reallocate,369008,368295,249169,362.142,600,600,0,28491,770.878
1,5500,reallocate,368169,366323,246110,319.579,600,600,0,28369,802.43
1,5750,reallocate,365686,365686,243683,282.019,600,600,0,28572,833.874
1,6000,reallocate,359646,359246,240639,248.873,600,600,0,28029,864.928
1,6250,reallocate,357360,357360,236658,219.623,600,600,0,27787,896.195
1,6500,reallocate,353298,353019,233929,193.81,600,600,0,27416,927.305
1,6750,reallocate,352310,351537,232706,171.032,600,600,0,27334,958.339
1,7000,reallocate,347654,347592,230806,150.93,600,600,0,26919,989.384
1,7250,reallocate,346717,346717,229209,133.191,600,600,0,26996,1020.39
1,7500,reallocate,344182,344100,227257,117.537,600,600,0,26797,1051.83
1,7750,reallocate,343606,343439,225021,103.723,600,600,0,26774,1083.1
1,8000,reallocate,340867,340648,223692,91.5324,600,600,0,26659,1114.34
1,8250,reallocate,339211,339008,221673,80.7745,600,600,0,26376,1145.22
1,8500,reallocate,336577,336577,220363,71.281,600,600,0,26419,1176.35
1,8750,reallocate,332469,332469,219060,62.9033,600,600,0,26009,1207.11
1,9000,reallocate,329550,329550,218078,55.5103,600,600,0,25679,1237.92
1,9250,reallocate,327133,327133,216776,48.9861,600,600,0,25455,1268.28
1,9500,reallocate,326361,326344,216139,43.2287,600,600,0,25437,1298.47
1,9750,reallocate,324665,324665,214575,38.148,600,600,0,25242,1328.77
1,10000,reallocate,322369,322369,213910,33.6645,600,600,0,25041,1462.09
1,10250,reallocate,321599,321512,212936,29.7079,600,600,0,24924,1492.54
1,10500,reallocate,319639,319639,211955,26.2163,600,600,0,24725,1523.14
1,10750,reallocate,318548,318548,211119,23.1351,600,600,0,24629,1553.39
1,11000,reallocate,317127,317127,209926,20.416,600,600,0,24466,1583.55
1,11250,reallocate,315210,315210,209426,18.0165,600,600,0,24335,1613.65
1,11500,reallocate,313425,313425,209104,15.899,600,600,0,24021,1643.84
1,11750,reallocate,311455,311455,208402,14.0304,600,600,0,23756,1673.8
1,12000,reallocate,310503,310503,207003,12.3814,600,600,0,23665,1704.02
1,12250,reallocate,309713,309665,206245,10.9262,600,600,0,23602,1734.28
1,12500,reallocate,308740,308740,205875,9.64202,600,600,0,23504,1764.58
1,12750,reallocate,307952,307952,204830,8.50878,600,600,0,23441,1794.73
1,13000,reallocate,306656,306656,204529,7.50874,600,600,0,23264,1824.68
1,13250,reallocate,305151,305151,204172,6.62623,600,600,0,23157,1854.7
1,13500,reallocate,303684,303679,203712,5.84745,600,600,0,22970,1885.22
1,13750,reallocate,302444,302444,203228,5.16019,600,600,0,22831,1916.06
1,14000,reallocate,301411,301411,202575,4.55371,600,600,0,22743,1946.6
1,14250,reallocate,300556,300556,202148,4.01851,600,600,0,22662,1976.87
1,14500,reallocate,299748,299748,201889,3.54621,600,600,0,22628,2006.87
1,14750,reallocate,298264,298264,201659,3.12942,600,600,0,22459,2037.3
1,15000,reallocate,297485,297485,201198,2.76162,600,600,0,22362,2067.74
1,15250,reallocate,296831,296828,200622,2.43705,600,600,0,22301,2097.94
1,15500,reallocate,295611,295611,200400,2.15062,600,600,0,22196,2128.04
1,15750,reallocate,294995,294995,199743,1.89785,600,600,0,22102,2158.27
1,16000,reallocate,294352,294352,198934,1.6748,600,600,0,22082,2189.32
1,16250,reallocate,293911,293911,198503,1.47796,600,600,0,22035,2220.19
1,16500,reallocate,293446,293446,198068,1.30425,600,600,0,22014,2250.36
1,16750,reallocate,292530,292530,197643,1.15096,600,600,0,21890,2280.57
1,17000,reallocate,291588,291588,197449,1.01569,600,600,0,21838,2308.59
1,17250,reallocate,291408,291408,197037,0.896315,600,600,0,21818,2334.89
1,17500,reallocate,290707,290707,196772,0.79097,600,600,0,21767,2360.85
1,17750,reallocate,290523,290523,196419,0.698007,600,600,0,21764,2384.62
1,18000,reallocate,290265,290265,196153,0.61597,600,600,0,21749,2407.58
1,18250,reallocate,289870,289870,195883,0.543574,600,600,0,21677,2430.27
1,18500,reallocate,289514,289514,195435,0.479688,600,600,0,21642,2451.87
1,18750,reallocate,289265,289265,194950,0.42331,600,600,0,21620,2472.14
1,19000,reallocate,289101,289101,194747,0.373558,600,600,0,21613,2491.91
1,19250,reallocate,288661,288661,194257,0.329653,600,600,0,21588,2511.11
1,19500,reallocate,288237,288237,193964,0.290909,600,600,0,21539,2529.6
1,19750,reallocate,288081,288081,193760,0.256718,600,600,0,21513,2547.99
1,20000,reallocate,287432,287432,192756,0.226546,600,600,0,21459,2594.47
1,20250,reallocate,287066,287066,192419,0.19992,600,600,0,21416,2624.53
1,20500,reallocate,286614,286614,192157,0.176423,600,600,0,21367,2654.99
1,20750,reallocate,286310,286310,191769,0.155688,600,600,0,21321,2684.91
1,21000,reallocate,285983,285983,191590,0.13739,600,600,0,21312,2715.02
1,21250,reallocate,285829,285829,191294,0.121242,600,600,0,21279,2745.21
1,21500,reallocate,285598,285598,190803,0.106993,600,600,0,21269,2774.86
1,21750,reallocate,285214,285214,190021,0.0944177,600,600,0,21213,2804.78
1,22000,reallocate,284990,284990,189815,0.0833208,600,600,0,21193,2834.39
1,22250,reallocate,284563,284563,189670,0.073528,600,600,0,21166,2864.28
1,22500,reallocate,284379,284379,189485,0.0648862,600,600,0,21145,2894.1
1,22750,reallocate,283950,283950,189109,0.0572601,600,600,0,21090,2924.21
1,23000,reallocate,283500,283500,188820,0.0505303,600,600,0,21044,2953.88
1,23250,reallocate,283135,283135,188661,0.0445914,600,600,0,21000,2984.02
1,23500,reallocate,282934,282934,188366,0.0393506,600,600,0,20982,3014.13
1,23750,reallocate,282657,282657,188120,0.0347257,600,600,0,20971,3044.15
1,24000,reallocate,282405,282405,187820,0.0306443,600,600,0,20982,3074.23
1,24250,reallocate,282161,282161,187641,0.0270427,600,600,0,20980,3104
1,24500,reallocate,281953,281953,187485,0.0238643,600,600,0,20939,3133.57
1,24750,reallocate,281690,281690,187407,0.0210595,600,600,0,20875,3163.54
1,25000,reallocate,281354,281354,187306,0.0185844,600,600,0,20845,3192.41
1,25250,reallocate,281202,281202,187170,0.0164002,600,600,0,20820,3220.09
1,25500,reallocate,281027,281027,187044,0.0144726,600,600,0,20796,3247.24
1,25750,reallocate,280855,280855,186496,0.0127717,600,600,0,20794,3274.42
1,26000,reallocate,280566,280566,186313,0.0112706,600,600,0,20750,3301.54
1,26250,reallocate,280329,280329,186211,0.00994596,600,600,0,20718,3328.78
1,26500,reallocate,279870,279870,185775,0.008777,600,600,0,20715,3355.89
1,26750,reallocate,279695,279695,185775,0.00774544,600,600,0,20697,3383.44
1,27000,reallocate,279191,279191,185775,0.00683511,600,600,0,20663,3410.42
1,27250,reallocate,278911,278911,185775,0.00603177,600,600,0,20638,3435.55
1,27500,reallocate,278497,278497,185775,0.00532286,600,600,0,20592,3458.72
1,27750,reallocate,278380,278380,185775,0.00469726,600,600,0,20580,3483.74
1,28000,reallocate,278128,278128,185775,0.00414519,600,600,0,20544,3508.61
1,28250,reallocate,277437,277437,185775,0.003658,600,600,0,20435,3534.94
1,28500,reallocate,277226,277226,185675,0.00322807,600,600,0,20407,3563.96
1,28750,reallocate,277023,277023,185506,0.00284867,600,600,0,20380,3593.79
1,29000,reallocate,276806,276806,185375,0.00251387,600,600,0,20382,3623.87
1,29250,reallocate,276710,276710,185345,0.00221841,600,600,0,20374,3653.82
1,29500,reallocate,276538,276538,185303,0.00195768,600,600,0,20353,3683.47
1,29750,reallocate,276363,276363,185226,0.00172759,600,600,0,20312,3713.11
1,30000,reallocate,276258,276258,184986,0.00152455,600,600,0,20298,3743.67
1,30250,reallocate,276113,276113,184886,0.00134537,600,600,0,20285,3773.73
1,30500,reallocate,276060,276060,184827,0.00118724,600,600,0,20280,3803.47
1,30750,reallocate,275736,275736,184626,0.00104771,600,600,0,20236,3833.29
1,31000,reallocate,275588,275588,184534,0.000924569,600,600,0,20229,3863.44
1,31250,reallocate,275461,275461,184474,0.000815904,600,600,0,20213,3893.36
1,31500,reallocate,275368,275368,184432,0.00072001,600,600,0,20200,3923.17
1,31750,reallocate,275095,275095,184369,0.000635387,600,600,0,20162,3952.62
1,32000,reallocate,274974,274974,184292,0.000560709,600,600,0,20145,3982.07
1,32250,reallocate,274930,274930,184279,0.000494809,600,600,0,20132,4011.58
1,32500,reallocate,274732,274732,184198,0.000436654,600,600,0,20066,4041.44
1,32750,reallocate,274556,274556,184088,0.000385333,600,600,0,20032,4070.83
1,33000,reallocate,274337,274337,184004,0.000340045,600,600,0,20018,4100.67
1,33250,reallocate,273937,273937,183964,0.000300079,600,600,0,19996,4130.36
1,33500,reallocate,273661,273661,183861,0.000264811,600,600,0,19960,4159.57
1,33750,reallocate,273433,273433,183774,0.000233687,600,600,0,19937,4189.08
1,34000,reallocate,273122,273122,183492,0.000206222,600,600,0,19915,4218.2
1,34250,reallocate,272966,272966,183431,0.000181984,600,600,0,19916,4246.59
1,34500,reallocate,272772,272772,183353,0.000160596,600,600,0,19876,4275.53
1,34750,reallocate,272626,272626,183308,0.000141721,600,600,0,19869,4304.7
1,35000,reallocate,272401,272401,183213,0.000125064,600,600,0,19844,4333.66
1,35250,reallocate,272373,272373,183213,0.000110365,600,600,0,19836,4361.67
1,35500,reallocate,272231,272231,183077,9.7394e-05,600,600,0,19820,4387.93
1,35750,reallocate,272072,272072,182986,8.59472e-05,600,600,0,19752,4412.34
1,36000,reallocate,271875,271875,182896,7.58458e-05,600,600,0,19762,4433.97
1,36250,reallocate,271752,271752,182720,6.69316e-05,600,600,0,19751,4456.08
1,36500,reallocate,271589,271589,182714,5.90651e-05,600,600,0,19731,4473.82
1,36750,reallocate,271529,271529,182615,5.21231e-05,600,600,0,19725,4495.37
1,37000,reallocate,271433,271433,182592,4.59971e-05,600,600,0,19764,4515.45
1,37250,reallocate,271342,271342,182469,4.0591e-05,600,600,0,19749,4534.02
1,37500,reallocate,271250,271250,182303,3.58203e-05,600,600,0,19742,4548.59
1,37750,reallocate,271163,271163,182192,3.16103e-05,600,600,0,19712,4566.59
1,38000,reallocate,270969,270969,182107,2.78951e-05,600,600,0,19693,4587.12
1,38250,reallocate,270576,270576,181904,2.46166e-05,600,600,0,19662,4605.49
1,38500,reallocate,270532,270532,181813,2.17234e-05,600,600,0,19644,4632.39
1,38750,reallocate,270425,270425,181747,1.91702e-05,600,600,0,19625,4662.29
1,39000,reallocate,270213,270213,181729,1.69171e-05,600,600,0,19612,4691.92
1,39250,reallocate,269953,269953,181589,1.49289e-05,600,600,0,19588,4721.45
1,39500,reallocate,269609,269609,181544,1.31743e-05,600,600,0,19584,4751.1
1,39750,reallocate,269609,269609,181446,1.16259e-05,600,600,0,19584,4780.69
1,40000,reallocate,269327,269327,181416,1.02595e-05,600,600,0,19577,4810.56
1,40250,reallocate,269283,269283,181258,9.05368e-06,600,600,0,19572,4839.98
1,40500,reallocate,269167,269167,181155,7.98959e-06,600,600,0,19559,4869.3
1,40750,reallocate,269093,269093,181087,7.05057e-06,600,600,0,19531,4898.52
1,41000,reallocate,268978,268978,181050,6.22191e-06,600,600,0,19525,4927.73
1,41250,reallocate,268665,268665,180865,5.49065e-06,600,600,0,19462,4957.12
1,41500,reallocate,268539,268539,180710,4.84533e-06,600,600,0,19456,4986.58
1,41750,reallocate,268528,268528,180662,4.27585e-06,600,600,0,19453,5014.84
1,42000,reallocate,268348,268348,180639,3.77331e-06,600,600,0,19449,5044
1,42250,reallocate,268111,268111,180591,3.32983e-06,600,600,0,19450,5072.78
1,42500,reallocate,268102,268102,180541,2.93847e-06,600,600,0,19449,5101.99
1,42750,reallocate,267963,267963,180519,2.59311e-06,600,600,0,19439,5131.3
1,43000,reallocate,267882,267882,180393,2.28834e-06,600,600,0,19417,5160.8
1,43250,reallocate,267407,267407,180380,2.01939e-06,600,600,0,19376,5190.33
1,43500,reallocate,267363,267363,179913,1.78205e-06,600,600,0,19372,5219.38
1,43750,reallocate,267345,267345,179365,1.5726e-06,600,600,0,19374,5248.02
1,44000,reallocate,267022,267022,179311,1.38778e-06,600,600,0,19354,5276.37
1,44250,reallocate,266984,266984,179146,1.22467e-06,600,600,0,19352,5303.24
1,44500,reallocate,266844,266844,179116,1.08073e-06,600,600,0,19346,5329.72
1,44750,reallocate,266694,266694,179115,9.53714e-07,600,600,0,19324,5356.22
1,45000,reallocate,266673,266673,179033,8.41623e-07,600,600,0,19322,5375.85
1,45250,reallocate,266636,266636,178731,7.42707e-07,600,600,0,19315,5401.7
1,45500,reallocate,266605,266605,178651,6.55416e-07,600,600,0,19307,5428.1
1,45750,reallocate,266181,266181,178585,5.78384e-07,600,600,0,19247,5453.03
1,46000,reallocate,266047,266047,178576,5.10406e-07,600,600,0,19224,5478.35
1,46250,reallocate,265996,265996,178430,4.50418e-07,600,600,0,19212,5504.77
1,46500,reallocate,265839,265839,178158,3.9748e-07,600,600,0,19180,5523.32
1,46750,reallocate,265787,265787,178099,3.50764e-07,600,600,0,19175,5547.29
1,47000,reallocate,265556,265556,178054,3.09538e-07,600,600,0,19133,5576.69
1,47250,reallocate,265499,265499,177834,2.73158e-07,600,600,0,19107,5606.26
1,47500,reallocate,265435,265435,177657,2.41054e-07,600,600,0,19105,5635.88
1,47750,reallocate,265256,265256,177645,2.12722e-07,600,600,0,19129,5665.13
1,48000,reallocate,265190,265190,177586,1.87721e-07,600,600,0,19117,5694.06
1,48250,reallocate,265164,265164,177586,1.65658e-07,600,600,0,19118,5723.54
1,48500,reallocate,265064,265064,177559,1.46188e-07,600,600,0,19097,5753.24
1,48750,reallocate,264914,264914,177540,1.29007e-07,600,600,0,19102,5782.35
1,49000,reallocate,264764,264764,177465,1.13844e-07,600,600,0,19086,5811.87
1,49250,reallocate,264649,264649,177449,1.00464e-07,600,600,0,19077,5841.12
1,49500,reallocate,264501,264501,177435,8.86565e-08,600,600,0,19058,5870.47
1,49750,reallocate,264405,264405,177354,7.82367e-08,600,600,0,19062,5899.72
1,50000,reallocate,264144,264144,177283,6.90415e-08,600,600,0,19041,5929.58
1,50250,reallocate,264099,264099,177120,6.0927e-08,600,600,0,19048,5958.55
1,50500,reallocate,263975,263975,177077,5.37662e-08,600,600,0,19019,5987.84
1,50750,reallocate,263946,263946,177042,4.7447e-08,600,600,0,19010,6016.8
1,51000,reallocate,263942,263942,177041,4.18705e-08,600,600,0,19010,6045.67
