sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
093KT7ZK38_L,14,19,23,31,54,28,15,8,11,38,70
093KT7ZK38_M,27,35,34,55,81,41,27,14,23,71,125
093KT7ZK38_S,35,38,37,63,88,50,28,13,28,111,145
093KT7ZK38_XL,7,10,15,18,33,18,9,5,7,27,48
093KT7ZK38_XS,31,39,28,57,79,49,39,13,29,77,194
093KT7ZK38_XXS,22,23,35,54,65,32,25,10,18,48,111
0Z6K6Y21KR_L,3,4,5,4,6,4,4,2,1,5,12
0Z6K6Y21KR_M,4,6,6,7,4,5,4,2,3,9,9
0Z6K6Y21KR_S,10,9,10,16,11,10,16,3,4,26,26
0Z6K6Y21KR_XL,0,1,4,2,4,4,3,1,1,1,4
0Z6K6Y21KR_XS,9,8,16,19,13,11,15,4,7,26,26
0Z6K6Y21KR_XXS,6,7,8,13,8,7,7,3,3,16,17
1KZZ8PMFB1_L,14,8,12,16,24,12,9,6,8,21,34
1KZZ8PMFB1_M,8,8,8,11,15,12,9,3,5,11,34
1KZZ8PMFB1_S,4,6,6,13,7,7,7,3,1,11,15
1KZZ8PMFB1_XL,5,9,12,16,13,8,6,3,2,16,29
1KZZ8PMFB1_XS,8,4,2,4,4,6,2,2,2,4,4
1KZZ8PMFB1_XXL,4,4,7,7,7,5,4,1,1,7,9
1S7GY8JV18_L,50,51,67,89,148,91,70,27,19,124,209
1S7GY8JV18_M,54,79,129,150,137,103,71,30,32,156,274
1S7GY8JV18_S,41,34,48,67,79,61,53,26,18,101,155
1S7GY8JV18_XL,33,20,28,41,63,27,27,6,27,54,116
1S7GY8JV18_XS,17,19,48,54,46,31,21,8,12,48,98
1S7GY8JV18_XXL,13,16,29,58,42,34,18,8,7,30,77
20RE1NI7XN_L,29,42,82,90,109,50,44,18,25,111,178
20RE1NI7XN_M,55,68,82,78,140,85,59,27,40,135,194
20RE1NI7XN_S,24,32,46,46,77,62,32,15,29,65,133
20RE1NI7XN_XL,17,26,36,42,43,26,20,8,8,47,67
20RE1NI7XN_XS,18,13,35,29,41,35,20,14,8,47,89
20RE1NI7XN_XXL,15,11,23,27,29,31,10,5,25,39,40
29NEO5JDJT_L,18,14,38,64,53,36,20,15,16,51,134
29NEO5JDJT_M,58,30,64,85,89,65,42,19,21,67,135
29NEO5JDJT_S,27,19,28,35,55,30,28,10,11,28,82
29NEO5JDJT_XL,21,13,17,30,31,20,18,8,6,23,61
29NEO5JDJT_XS,10,9,15,20,15,17,10,4,13,21,58
29NEO5JDJT_XXL,21,7,12,21,13,17,14,6,5,22,32
50WUQDWI2V_L,8,8,7,19,12,5,9,2,4,14,27
50WUQDWI2V_M,13,13,19,35,28,21,16,5,6,29,48
50WUQDWI2V_S,43,24,50,94,58,42,34,16,20,60,103
50WUQDWI2V_XL,13,6,8,14,10,14,8,5,3,9,21
50WUQDWI2V_XS,47,27,43,70,62,52,41,9,24,62,145
50WUQDWI2V_XXS,26,24,32,45,45,28,32,7,15,42,121
83N1Y7P1Q5_L,22,20,40,43,59,50,42,10,14,71,95
83N1Y7P1Q5_M,18,22,25,35,39,31,26,8,12,45,99
83N1Y7P1Q5_S,14,11,10,12,21,17,12,7,7,16,42
83N1Y7P1Q5_XL,12,14,16,26,29,27,18,4,11,48,62
83N1Y7P1Q5_XS,8,5,8,7,14,11,9,3,3,15,21
83N1Y7P1Q5_XXL,8,5,7,12,18,12,11,5,3,16,26
8D2X9QGLQF_L,9,9,10,12,15,12,10,4,7,17,44
8D2X9QGLQF_M,8,6,8,16,12,7,6,1,4,16,21
8D2X9QGLQF_S,4,4,7,9,8,5,5,1,3,8,9
8D2X9QGLQF_XL,6,6,7,8,10,8,5,2,3,11,19
8D2X9QGLQF_XS,6,2,2,4,6,2,2,2,0,2,8
8D2X9QGLQF_XXL,4,4,6,7,7,5,3,1,1,7,9
8WVHOXLVJ2_L,2,2,2,6,14,2,4,2,2,4,10
8WVHOXLVJ2_M,5,6,11,14,11,9,12,3,4,14,32
8WVHOXLVJ2_S,6,9,16,16,33,17,12,6,6,34,34
8WVHOXLVJ2_XL,5,2,3,9,7,3,3,3,2,3,5
8WVHOXLVJ2_XS,11,9,14,25,32,14,18,6,7,20,47
8WVHOXLVJ2_XXS,5,8,11,16,21,9,22,3,4,14,47
ARCCMK4UZC_onesize,24,22,30,23,67,22,30,8,22,60,79
AU6KWT18AC_L,9,12,15,18,33,20,9,5,7,27,48
AU6KWT18AC_M,11,13,24,30,43,25,13,7,8,40,65
AU6KWT18AC_S,31,26,44,57,97,54,32,15,18,78,133
AU6KWT18AC_XL,8,7,16,17,17,12,12,6,4,15,43
AU6KWT18AC_XS,54,55,63,97,105,61,42,17,27,107,222
AU6KWT18AC_XXS,37,31,36,46,54,37,21,12,13,59,122
AVGFALJGZU_L,2,2,4,2,2,3,4,1,0,6,9
AVGFALJGZU_M,4,6,4,4,4,3,7,4,3,10,9
