sku_id,channel_id,forecast_units,shipped_units,overstock_units,shortage_units,unit_cost,capital_cost
093KT7ZK38_L,Amsterdam,7,14,7,0,12,20.412
093KT7ZK38_L,Berlin,9,19,10,0,12,29.16
093KT7ZK38_L,Brussels,15,23,8,0,12,23.328
093KT7ZK38_L,Copenhagen,31,31,0,0,12,0
093KT7ZK38_L,Helsinki,33,54,21,0,12,61.236
093KT7ZK38_L,Madrid,19,28,9,0,12,26.244
093KT7ZK38_L,Paris,10,15,5,0,12,14.58
093KT7ZK38_L,Platform,3,8,5,0,12,14.58
093KT7ZK38_L,Rome,5,11,6,0,12,17.496
093KT7ZK38_L,Stockholm,21,38,17,0,12,49.572
093KT7ZK38_L,Webshop,70,70,0,0,12,0
093KT7ZK38_M,Amsterdam,13,27,14,0,12,40.824
093KT7ZK38_M,Berlin,20,35,15,0,12,43.74
093KT7ZK38_M,Brussels,29,34,5,0,12,14.58
093KT7ZK38_M,Copenhagen,53,55,2,0,12,5.832
093KT7ZK38_M,Helsinki,62,81,19,0,12,55.404
093KT7ZK38_M,Madrid,39,41,2,0,12,5.832
093KT7ZK38_M,Paris,19,27,8,0,12,23.328
093KT7ZK38_M,Platform,7,14,7,0,12,20.412
093KT7ZK38_M,Rome,22,23,1,0,12,2.916
093KT7ZK38_M,Stockholm,38,71,33,0,12,96.228
093KT7ZK38_M,Webshop,125,125,0,0,12,0
093KT7ZK38_S,Amsterdam,32,35,3,0,12,8.748
093KT7ZK38_S,Berlin,28,38,10,0,12,29.16
093KT7ZK38_S,Brussels,35,37,2,0,12,5.832
093KT7ZK38_S,Copenhagen,62,63,1,0,12,2.916
093KT7ZK38_S,Helsinki,79,88,9,0,12,26.244
093KT7ZK38_S,Madrid,47,50,3,0,12,8.748
093KT7ZK38_S,Paris,25,28,3,0,12,8.748
093KT7ZK38_S,Platform,10,13,3,0,12,8.748
093KT7ZK38_S,Rome,19,28,9,0,12,26.244
093KT7ZK38_S,Stockholm,111,111,0,0,12,0
093KT7ZK38_S,Webshop,142,145,3,0,12,8.748
093KT7ZK38_XL,Amsterdam,5,7,2,0,12,5.832
093KT7ZK38_XL,Berlin,8,10,2,0,12,5.832
093KT7ZK38_XL,Brussels,8,15,7,0,12,20.412
093KT7ZK38_XL,Copenhagen,15,18,3,0,12,8.748
093KT7ZK38_XL,Helsinki,11,33,22,0,12,64.152
093KT7ZK38_XL,Madrid,8,18,10,0,12,29.16
093KT7ZK38_XL,Paris,6,9,3,0,12,8.748
093KT7ZK38_XL,Platform,1,5,4,0,12,11.664
093KT7ZK38_XL,Rome,2,7,5,0,12,14.58
093KT7ZK38_XL,Stockholm,13,27,14,0,12,40.824
093KT7ZK38_XL,Webshop,36,48,12,0,12,34.992
093KT7ZK38_XS,Amsterdam,30,31,1,0,12,2.916
093KT7ZK38_XS,Berlin,37,39,2,0,12,5.832
093KT7ZK38_XS,Brussels,28,28,0,0,12,0
093KT7ZK38_XS,Copenhagen,53,57,4,0,12,11.664
093KT7ZK38_XS,Helsinki,77,79,2,0,12,5.832
093KT7ZK38_XS,Madrid,42,49,7,0,12,20.412
093KT7ZK38_XS,Paris,16,39,23,0,12,67.068
093KT7ZK38_XS,Platform,13,13,0,0,12,0
093KT7ZK38_XS,Rome,29,29,0,0,12,0
093KT7ZK38_XS,Stockholm,73,77,4,0,12,11.664
093KT7ZK38_XS,Webshop,194,194,0,0,12,0
093KT7ZK38_XXS,Amsterdam,22,22,0,0,12,0
093KT7ZK38_XXS,Berlin,22,23,1,0,12,2.916
093KT7ZK38_XXS,Brussels,17,35,18,0,12,52.488
093KT7ZK38_XXS,Copenhagen,33,54,21,0,12,61.236
093KT7ZK38_XXS,Helsinki,49,65,16,0,12,46.656
093KT7ZK38_XXS,Madrid,25,32,7,0,12,20.412
093KT7ZK38_XXS,Paris,24,25,1,0,12,2.916
093KT7ZK38_XXS,Platform,6,10,4,0,12,11.664
093KT7ZK38_XXS,Rome,11,18,7,0,12,20.412
093KT7ZK38_XXS,Stockholm,48,48,0,0,12,0
093KT7ZK38_XXS,Webshop,111,111,0,0,12,0
0Z6K6Y21KR_L,Amsterdam,3,3,0,0,72,0
0Z6K6Y21KR_L,Berlin,1,4,3,0,72,52.488
0Z6K6Y21KR_L,Brussels,2,5,3,0,72,52.488
0Z6K6Y21KR_L,Copenhagen,3,4,1,0,72,17.496
0Z6K6Y21KR_L,Helsinki,2,6,4,0,72,69.984
0Z6K6Y21KR_L,Madrid,1,4,3,0,72,52.488
0Z6K6Y21KR_L,Paris,2,4,2,0,72,34.992
0Z6K6Y21KR_L,Platform,1,2,1,0,72,17.496
0Z6K6Y21KR_L,Rome,1,1,0,0,72,0
0Z6K6Y21KR_L,Stockholm,5,5,0,0,72,0
0Z6K6Y21KR_L,Webshop,11,12,1,0,72,17.496
0Z6K6Y21KR_M,Amsterdam,2,4,2,0,72,34.992
0Z6K6Y21KR_M,Berlin,6,6,0,0,72,0
0Z6K6Y21KR_M,Brussels,5,6,1,0,72,17.496
0Z6K6Y21KR_M,Copenhagen,5,7,2,0,72,34.992
0Z6K6Y21KR_M,Helsinki,4,4,0,0,72,0
0Z6K6Y21KR_M,Madrid,4,5,1,0,72,17.496
0Z6K6Y21KR_M,Paris,4,4,0,0,72,0
0Z6K6Y21KR_M,Platform,2,2,0,0,72,0
0Z6K6Y21KR_M,Rome,3,3,0,0,72,0
0Z6K6Y21KR_M,Stockholm,5,9,4,0,72,69.984
0Z6K6Y21KR_M,Webshop,6,9,3,0,72,52.488
0Z6K6Y21KR_S,Amsterdam,7,10,3,0,72,52.488
0Z6K6Y21KR_S,Berlin,8,9,1,0,72,17.496
0Z6K6Y21KR_S,Brussels,10,10,0,0,72,0
0Z6K6Y21KR_S,Copenhagen,16,16,0,0,72,0
0Z6K6Y21KR_S,Helsinki,11,11,0,0,72,0
0Z6K6Y21KR_S,Madrid,8,10,2,0,72,34.992
0Z6K6Y21KR_S,Paris,16,16,0,0,72,0
0Z6K6Y21KR_S,Platform,3,3,0,0,72,0
0Z6K6Y21KR_S,Rome,4,4,0,0,72,0
0Z6K6Y21KR_S,Stockholm,26,26,0,0,72,0
0Z6K6Y21KR_S,Webshop,13,26,13,0,72,227.448
0Z6K6Y21KR_XL,Amsterdam,0,0,0,0,72,0
0Z6K6Y21KR_XL,Berlin,1,1,0,0,72,0
0Z6K6Y21KR_XL,Brussels,1,4,3,0,72,52.488
0Z6K6Y21KR_XL,Copenhagen,2,2,0,0,72,0
0Z6K6Y21KR_XL,Helsinki,4,4,0,0,72,0
0Z6K6Y21KR_XL,Madrid,4,4,0,0,72,0
0Z6K6Y21KR_XL,Paris,1,3,2,0,72,34.992
0Z6K6Y21KR_XL,Platform,1,1,0,0,72,0
0Z6K6Y21KR_XL,Rome,1,1,0,0,72,0
0Z6K6Y21KR_XL,Stockholm,1,1,0,0,72,0
0Z6K6Y21KR_XL,Webshop,4,4,0,0,72,0
0Z6K6Y21KR_XS,Amsterdam,7,9,2,0,72,34.992
0Z6K6Y21KR_XS,Berlin,8,8,0,0,72,0
0Z6K6Y21KR_XS,Brussels,14,16,2,0,72,34.992
0Z6K6Y21KR_XS,Copenhagen,17,19,2,0,72,34.992
0Z6K6Y21KR_XS,Helsinki,12,13,1,0,72,17.496
0Z6K6Y21KR_XS,Madrid,11,11,0,0,72,0
0Z6K6Y21KR_XS,Paris,15,15,0,0,72,0
0Z6K6Y21KR_XS,Platform,3,4,1,0,72,17.496
0Z6K6Y21KR_XS,Rome,7,7,0,0,72,0
0Z6K6Y21KR_XS,Stockholm,26,26,0,0,72,0
0Z6K6Y21KR_XS,Webshop,26,26,0,0,72,0
0Z6K6Y21KR_XXS,Amsterdam,6,6,0,0,72,0
0Z6K6Y21KR_XXS,Berlin,2,7,5,0,72,87.48
0Z6K6Y21KR_XXS,Brussels,7,8,1,0,72,17.496
0Z6K6Y21KR_XXS,Copenhagen,11,13,2,0,72,34.992
0Z6K6Y21KR_XXS,Helsinki,6,8,2,0,72,34.992
0Z6K6Y21KR_XXS,Madrid,7,7,0,0,72,0
0Z6K6Y21KR_XXS,Paris,4,7,3,0,72,52.488
0Z6K6Y21KR_XXS,Platform,1,3,2,0,72,34.992
0Z6K6Y21KR_XXS,Rome,1,3,2,0,72,34.992
0Z6K6Y21KR_XXS,Stockholm,16,16,0,0,72,0
0Z6K6Y21KR_XXS,Webshop,9,17,8,0,72,139.968
1KZZ8PMFB1_L,Amsterdam,8,14,6,0,58,84.564
1KZZ8PMFB1_L,Berlin,8,8,0,0,58,0
1KZZ8PMFB1_L,Brussels,12,12,0,0,58,0
1KZZ8PMFB1_L,Copenhagen,12,16,4,0,58,56.376
1KZZ8PMFB1_L,Helsinki,24,24,0,0,58,0
1KZZ8PMFB1_L,Madrid,12,12,0,0,58,0
1KZZ8PMFB1_L,Paris,9,9,0,0,58,0
1KZZ8PMFB1_L,Platform,2,6,4,0,58,56.376
1KZZ8PMFB1_L,Rome,5,8,3,0,58,42.282
1KZZ8PMFB1_L,Stockholm,19,21,2,0,58,28.188
1KZZ8PMFB1_L,Webshop,18,34,16,0,58,225.504
1KZZ8PMFB1_M,Amsterdam,4,8,4,0,58,56.376
1KZZ8PMFB1_M,Berlin,8,8,0,0,58,0
1KZZ8PMFB1_M,Brussels,8,8,0,0,58,0
1KZZ8PMFB1_M,Copenhagen,7,11,4,0,58,56.376
1KZZ8PMFB1_M,Helsinki,9,15,6,0,58,84.564
1KZZ8PMFB1_M,Madrid,7,12,5,0,58,70.47
1KZZ8PMFB1_M,Paris,8,9,1,0,58,14.094
1KZZ8PMFB1_M,Platform,2,3,1,0,58,14.094
1KZZ8PMFB1_M,Rome,5,5,0,0,58,0
1KZZ8PMFB1_M,Stockholm,11,11,0,0,58,0
1KZZ8PMFB1_M,Webshop,34,34,0,0,58,0
1KZZ8PMFB1_S,Amsterdam,3,4,1,0,58,14.094
1KZZ8PMFB1_S,Berlin,4,6,2,0,58,28.188
1KZZ8PMFB1_S,Brussels,6,6,0,0,58,0
1KZZ8PMFB1_S,Copenhagen,8,13,5,0,58,70.47
1KZZ8PMFB1_S,Helsinki,5,7,2,0,58,28.188
1KZZ8PMFB1_S,Madrid,3,7,4,0,58,56.376
1KZZ8PMFB1_S,Paris,7,7,0,0,58,0
1KZZ8PMFB1_S,Platform,3,3,0,0,58,0
1KZZ8PMFB1_S,Rome,1,1,0,0,58,0
1KZZ8PMFB1_S,Stockholm,11,11,0,0,58,0
1KZZ8PMFB1_S,Webshop,9,15,6,0,58,84.564
1KZZ8PMFB1_XL,Amsterdam,4,5,1,0,58,14.094
1KZZ8PMFB1_XL,Berlin,8,9,1,0,58,14.094
