restart,iteration,operator,current_cost,restart_best_cost,global_best_cost,temperature,pack_types_current,pack_types_best,shortage_units_best,overstock_units_best,elapsed_seconds
1,1,split_pack,786350,786350,786350,5000,503,502,0,0,0.0573642
1,250,split_pack,554765,554421,554421,4414.55,538,537,0,4386,2.39929
1,500,mutate_pack_content,462170,461899,461899,3895.71,591,591,0,9419,4.70404
1,750,reallocate,429026,425272,425272,3437.84,598,596,0,13609,8.69916
1,1000,reallocate,408218,407637,407637,3033.79,600,600,0,17633,13.9034
1,1250,reallocate,398072,396114,396114,2677.23,601,601,0,19847,19.7849
1,1500,reallocate,393484,391938,391938,2362.57,600,600,0,21520,26.0992
1,1750,reallocate,390588,389648,389648,2084.9,600,600,0,22667,31.5907
1,2000,reallocate,385058,383525,383525,1839.86,600,600,0,24267,37.221
1,2250,reallocate,384796,382761,382761,1623.62,600,600,0,25092,42.4072
1,2500,reallocate,388334,382761,382761,1432.79,600,600,0,25092,47.3489
1,2750,reallocate,383181,382761,382761,1264.4,600,600,0,25092,52.2199
1,3000,reallocate,381957,381465,381465,1115.79,600,600,0,26836,57.018
1,3250,reallocate,379100,376577,376577,984.651,600,600,0,27116,61.6434
1,3500,reallocate,379078,376180,376180,868.924,600,600,0,27394,66.2341
1,3750,reallocate,377125,376180,376180,766.799,600,600,0,27394,70.4861
1,4000,reallocate,375679,375205,375205,676.676,600,600,0,27983,74.8008
1,4250,reallocate,372723,371803,371803,597.146,600,600,0,27822,79.2274
1,4500,reallocate,375206,371564,371564,526.963,600,600,0,27937,83.5624
1,4750,reallocate,370512,369378,369378,465.029,600,600,0,28074,87.9257
1,5000,reallocate,373000,369378,369378,410.374,600,600,0,28074,92.0826
1,5250,reallocate,369008,368295,368295,362.142,600,600,0,28491,96.3876
1,5500,reallocate,368169,366323,366323,319.579,600,600,0,28369,100.658
1,5750,reallocate,365686,365686,365686,282.019,600,600,0,28572,105.148
1,6000,reallocate,359646,359246,359246,248.873,600,600,0,28029,109.418
1,6250,reallocate,357360,357360,357360,219.623,600,600,0,27787,113.808
1,6500,reallocate,353298,353019,353019,193.81,600,600,0,27416,118.296
1,6750,reallocate,352310,351537,351537,171.032,600,600,0,27334,122.789
1,7000,reallocate,347654,347592,347592,150.93,600,600,0,26919,127.246
1,7250,reallocate,346717,346717,346717,133.191,600,600,0,26996,131.137
1,7500,reallocate,344182,344100,344100,117.537,600,600,0,26797,135.711
1,7750,reallocate,343606,343439,343439,103.723,600,600,0,26774,140.191
1,8000,reallocate,340867,340648,340648,91.5324,600,600,0,26659,144.712
1,8250,reallocate,339211,339008,339008,80.7745,600,600,0,26376,149.3
1,8500,reallocate,336577,336577,336577,71.281,600,600,0,26419,153.881
1,8750,reallocate,332469,332469,332469,62.9033,600,600,0,26009,158.347
