sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
093KT7ZK38_L,18,8,15,28,31,18,14,6,9,17,57
093KT7ZK38_M,23,19,32,44,55,32,20,7,20,49,100
093KT7ZK38_S,29,24,33,51,65,44,37,11,20,89,134
093KT7ZK38_XL,16,14,20,24,24,19,14,7,7,26,44
093KT7ZK38_XS,31,31,46,65,73,54,37,13,24,78,157
093KT7ZK38_XXS,29,20,34,42,63,36,24,10,18,39,107
0Z6K6Y21KR_L,4,4,2,5,5,8,3,2,2,4,12
0Z6K6Y21KR_M,6,6,5,6,6,7,4,3,3,7,12
0Z6K6Y21KR_S,9,9,16,16,12,9,14,4,5,21,22
0Z6K6Y21KR_XL,4,2,2,2,4,4,3,2,1,5,4
0Z6K6Y21KR_XS,8,7,14,14,12,9,12,4,6,22,22
0Z6K6Y21KR_XXS,7,7,6,10,7,12,8,5,3,13,16
1KZZ8PMFB1_L,7,7,11,11,20,10,9,6,6,17,28
1KZZ8PMFB1_M,4,10,7,6,10,12,7,2,5,9,31
1KZZ8PMFB1_S,4,4,5,9,4,3,6,4,2,9,12
1KZZ8PMFB1_XL,5,14,10,23,14,7,4,5,5,15,41
1KZZ8PMFB1_XS,4,4,7,19,4,5,2,7,3,7,22
1KZZ8PMFB1_XXL,6,2,4,6,7,6,6,2,3,4,8
1S7GY8JV18_L,41,35,55,77,119,53,46,22,17,83,139
1S7GY8JV18_M,52,65,104,119,94,86,59,30,43,129,251
1S7GY8JV18_S,29,31,50,80,56,45,36,20,17,81,125
1S7GY8JV18_XL,22,14,36,62,54,22,22,12,12,45,93
1S7GY8JV18_XS,14,16,46,44,32,29,13,8,9,40,70
1S7GY8JV18_XXL,17,8,21,46,50,24,17,6,9,31,68
20RE1NI7XN_L,43,34,67,70,88,57,32,26,25,83,151
20RE1NI7XN_M,46,47,61,92,112,68,39,23,33,100,178
20RE1NI7XN_S,23,26,40,29,50,58,33,11,22,60,106
20RE1NI7XN_XL,12,16,36,27,21,21,13,6,8,44,51
20RE1NI7XN_XS,14,10,28,21,42,27,16,8,11,36,70
20RE1NI7XN_XXL,11,8,18,21,25,20,10,4,11,34,53
29NEO5JDJT_L,23,18,33,51,43,29,25,12,15,36,108
29NEO5JDJT_M,34,31,52,68,59,51,33,12,23,54,150
29NEO5JDJT_S,22,12,24,32,41,24,23,6,12,36,85
29NEO5JDJT_XL,18,15,22,30,41,25,26,6,14,27,60
29NEO5JDJT_XS,11,15,14,18,21,17,12,3,11,22,46
29NEO5JDJT_XXL,15,11,20,18,20,14,22,7,4,19,44
50WUQDWI2V_L,7,6,10,17,10,4,9,3,4,12,23
50WUQDWI2V_M,9,11,14,26,21,18,10,5,4,24,52
50WUQDWI2V_S,33,22,41,76,44,26,33,11,17,48,107
50WUQDWI2V_XL,4,6,14,12,11,12,8,3,3,8,17
50WUQDWI2V_XS,41,22,35,73,47,42,33,14,12,53,96
50WUQDWI2V_XXS,11,22,23,36,39,16,22,5,12,25,100
83N1Y7P1Q5_L,24,19,34,35,47,40,34,9,12,40,78
83N1Y7P1Q5_M,17,17,20,31,28,22,17,10,12,36,55
83N1Y7P1Q5_S,7,5,11,17,16,11,13,6,7,13,33
83N1Y7P1Q5_XL,13,16,23,26,26,23,16,9,8,40,52
83N1Y7P1Q5_XS,9,10,10,18,21,14,12,3,4,15,43
83N1Y7P1Q5_XXL,9,5,9,11,15,7,10,5,3,13,22
8D2X9QGLQF_L,12,11,19,21,20,18,10,11,9,13,36
8D2X9QGLQF_M,12,8,9,18,15,7,7,8,8,13,18
8D2X9QGLQF_S,4,4,4,7,6,4,4,4,4,4,9
8D2X9QGLQF_XL,4,4,8,8,6,8,4,4,5,10,19
8D2X9QGLQF_XS,2,2,3,4,4,3,2,2,2,3,6
8D2X9QGLQF_XXL,3,7,5,9,9,3,3,3,3,3,15
8WVHOXLVJ2_L,2,2,2,4,8,6,4,2,4,6,4
8WVHOXLVJ2_M,2,3,10,11,9,9,6,3,3,7,18
8WVHOXLVJ2_S,6,9,8,19,27,16,11,5,12,23,25
8WVHOXLVJ2_XL,1,3,3,3,6,3,2,2,2,3,4
8WVHOXLVJ2_XS,9,15,12,20,26,12,11,7,9,19,42
8WVHOXLVJ2_XXS,8,7,7,9,13,11,11,3,4,9,19
ARCCMK4UZC_onesize,21,21,24,21,63,21,21,21,21,63,63
AU6KWT18AC_L,8,10,9,12,15,11,7,5,3,16,28
AU6KWT18AC_M,13,12,16,25,32,15,8,4,7,17,50
AU6KWT18AC_S,20,22,35,62,78,34,16,7,14,45,110
AU6KWT18AC_XL,11,16,10,21,13,8,10,6,6,16,16
AU6KWT18AC_XS,45,43,55,79,91,44,44,23,20,72,181
AU6KWT18AC_XXS,30,22,22,62,46,32,24,11,12,38,101
AVGFALJGZU_L,4,5,5,5,5,5,3,2,3,5,11
AVGFALJGZU_M,4,5,6,6,7,7,6,3,3,8,14
AVGFALJGZU_S,5,5,12,13,11,9,7,5,4,12,21
AVGFALJGZU_XL,1,1,1,2,3,1,1,2,2,4,5
AVGFALJGZU_XS,8,13,18,27,15,12,11,5,4,21,34
AVGFALJGZU_XXS,6,8,10,16,18,9,8,3,4,14,22
B5K8O3NA22_L,22,22,22,50,44,30,24,8,14,37,119
B5K8O3NA22_M,21,22,21,56,43,35,28,9,18,70,99
B5K8O3NA22_S,14,12,15,37,27,15,14,10,7,24,91
B5K8O3NA22_XL,6,6,10,20,11,16,8,4,5,16,38
B5K8O3NA22_XS,6,9,12,14,12,10,10,3,4,19,21
B5K8O3NA22_XXL,4,9,5,17,12,5,7,3,3,16,19
B5ZJF102L8_onesize,27,35,44,68,104,32,19,10,17,62,101
B8OG8GFQDG_L,6,4,4,8,6,4,6,2,2,6,12
B8OG8GFQDG_M,6,4,4,8,6,4,6,2,2,6,12
B8OG8GFQDG_S,10,9,12,15,13,14,10,2,5,17,27
B8OG8GFQDG_XL,3,2,2,4,3,2,3,1,1,3,6
B8OG8GFQDG_XS,11,9,13,24,16,14,12,5,7,21,31
B8OG8GFQDG_XXS,10,8,8,19,14,15,11,3,5,14,36
BH075SYWYT_L,4,4,10,9,11,6,7,2,4,10,24
BH075SYWYT_M,15,6,9,22,20,16,9,3,5,17,37
BH075SYWYT_S,31,18,29,63,48,27,28,7,10,50,68
BH075SYWYT_XL,12,7,13,9,14,9,10,1,6,8,33
BH075SYWYT_XS,26,31,34,49,41,40,32,8,11,50,80
BH075SYWYT_XXS,14,12,20,32,19,18,22,8,6,27,37
D9J7V1UG3B_L,29,34,45,54,64,33,35,15,16,66,192
D9J7V1UG3B_M,32,43,62,86,92,67,42,25,21,71,168
D9J7V1UG3B_S,19,22,31,41,38,45,18,9,12,50,87
D9J7V1UG3B_XL,10,13,18,25,22,20,12,8,9,21,53
D9J7V1UG3B_XS,8,13,15,26,25,16,15,11,6,22,48
D9J7V1UG3B_XXL,4,5,12,17,23,18,8,4,5,12,34
DVAZLH292T_L,2,3,4,4,4,3,4,2,3,5,11
DVAZLH292T_M,4,6,7,8,9,4,5,5,8,6,23
DVAZLH292T_S,9,5,8,12,12,8,14,3,9,12,22
DVAZLH292T_XL,2,2,2,2,4,1,2,1,4,3,10
DVAZLH292T_XS,4,10,13,12,16,12,12,9,13,16,43
DVAZLH292T_XXS,4,7,6,7,8,8,5,2,7,8,20
DY2XGBW1QT_L,24,33,37,55,63,50,29,17,28,56,128
DY2XGBW1QT_M,31,20,33,49,64,39,43,12,21,89,137
DY2XGBW1QT_S,15,16,15,32,30,19,14,8,8,32,79
