pack_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
P001,0,1,1,1,1,0,0,0,0,0,2
P002,0,0,0,1,0,3,0,0,0,3,0
P003,2,3,2,0,1,2,1,0,0,1,0
P004,1,0,1,0,2,3,0,0,0,0,0
P005,0,1,1,2,0,1,1,0,0,0,3
P006,1,0,0,0,0,0,0,0,0,0,0
P007,1,1,1,2,1,1,1,1,1,0,2
P008,0,1,0,1,1,1,0,1,0,2,4
P009,1,0,0,1,0,0,0,0,0,1,2
P010,0,0,0,2,4,3,2,0,0,1,2
P011,0,2,0,3,0,0,0,1,0,1,4
P012,1,1,1,2,3,0,0,0,1,1,3
P013,2,0,0,5,0,0,2,0,0,0,11
P014,2,0,3,5,0,0,0,0,0,1,10
P015,2,4,4,12,8,2,1,0,0,3,11
P016,12,10,14,20,21,8,13,3,6,20,52
P017,0,0,0,2,0,0,1,1,0,1,0
P018,1,1,1,2,4,3,2,1,2,3,2
P019,0,0,0,0,2,0,0,0,1,10,7
P020,0,2,3,1,0,0,1,0,0,0,0
P021,1,0,1,0,1,1,2,0,1,0,0
P022,6,0,0,10,0,0,5,0,0,0,22
P023,1,0,3,6,1,0,0,0,1,0,0
P024,0,0,1,0,1,0,0,0,0,0,0
P025,1,0,1,0,3,0,1,0,0,0,0
P026,0,0,0,0,0,0,1,0,0,0,1
P027,0,0,0,4,2,5,1,0,0,0,0
P028,0,0,6,0,0,0,0,0,0,1,5
P029,1,0,0,0,0,0,0,0,0,0,6
P030,0,0,0,0,0,1,0,0,0,0,0
P031,9,10,10,17,20,14,12,3,4,14,43
P032,4,0,1,2,1,2,1,1,0,0,17
P033,0,0,1,0,0,0,1,0,0,2,5
P034,2,0,0,0,1,0,0,0,0,0,5
P035,1,0,2,0,0,0,2,1,0,1,0
P036,6,6,10,11,12,7,1,2,3,16,19
P037,0,0,1,1,1,0,0,0,0,0,0
P038,1,0,0,0,2,0,0,1,0,0,0
P039,0,1,5,10,0,0,0,0,1,2,14
P040,1,0,0,0,0,0,2,0,0,1,0
P041,0,0,0,0,0,1,0,0,0,1,0
P042,0,0,0,2,0,0,0,0,1,2,4
P043,1,0,0,6,1,3,1,0,1,2,6
P044,5,0,3,5,14,3,5,2,1,1,10
P045,4,1,3,2,8,2,1,0,1,7,8
P046,2,0,1,0,2,0,1,0,0,2,0
P047,0,1,0,1,0,0,0,0,0,1,0
P048,0,0,0,0,0,1,0,0,0,1,1
P049,0,0,0,2,0,1,1,0,0,0,3
P050,2,2,2,2,1,3,1,1,0,3,3
P051,0,0,1,0,0,0,0,0,0,0,7
P052,3,2,2,4,3,2,3,1,1,3,6
P053,1,1,2,1,1,3,2,1,0,2,2
P054,2,1,1,1,2,2,1,1,0,2,2
P055,0,0,2,0,0,0,0,1,0,0,0
P056,0,0,0,4,0,1,0,0,1,1,0
P057,0,0,0,1,0,0,1,0,0,1,2
P058,3,2,4,3,2,2,4,0,1,2,4
P059,0,0,2,2,0,1,1,0,0,1,1
P060,0,0,0,0,1,0,0,0,0,0,0
P061,1,0,1,1,0,0,1,0,0,0,0
P062,0,1,0,1,1,11,3,1,0,0,2
P063,0,0,1,0,0,0,0,0,0,1,1
P064,0,1,0,0,0,0,0,0,0,0,0
P065,0,0,0,0,0,1,1,0,0,1,0
P066,0,0,1,2,2,4,0,0,0,3,3
P067,0,2,0,0,0,3,0,0,0,3,0
P068,0,2,1,0,0,1,0,0,0,1,0
P069,0,1,1,2,2,1,1,0,0,1,6
P070,0,0,0,0,0,0,2,1,0,0,0
P071,3,1,2,3,5,2,3,1,2,4,4
