sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
093KT7ZK38_L,15,19,24,31,56,29,15,8,10,38,70
093KT7ZK38_M,28,35,35,54,84,43,27,14,22,71,125
093KT7ZK38_S,33,31,35,63,80,50,30,11,26,111,142
093KT7ZK38_XL,7,10,16,18,34,19,10,5,8,27,52
093KT7ZK38_XS,31,41,29,64,85,51,47,13,29,83,194
093KT7ZK38_XXS,22,23,39,56,67,32,27,10,17,48,112
0Z6K6Y21KR_L,3,4,5,4,6,4,4,2,1,5,11
0Z6K6Y21KR_M,4,6,6,7,4,5,4,2,3,9,9
0Z6K6Y21KR_S,10,10,10,19,13,9,17,6,6,26,29
0Z6K6Y21KR_XL,2,1,8,2,4,4,3,1,1,1,4
0Z6K6Y21KR_XS,9,9,17,18,17,14,15,3,7,26,26
0Z6K6Y21KR_XXS,6,7,8,13,8,7,9,3,3,16,19
1KZZ8PMFB1_L,14,8,12,16,25,12,9,6,8,22,35
1KZZ8PMFB1_M,10,8,14,12,17,14,9,3,5,13,34
1KZZ8PMFB1_S,4,6,10,13,8,7,7,3,1,12,15
1KZZ8PMFB1_XL,5,9,13,16,13,9,9,4,2,16,29
1KZZ8PMFB1_XS,9,5,2,4,4,7,2,2,2,4,9
1KZZ8PMFB1_XXL,4,4,7,16,7,5,4,1,1,7,18
1S7GY8JV18_L,56,60,89,111,148,99,80,27,28,149,251
1S7GY8JV18_M,55,85,129,153,137,104,73,32,34,156,283
1S7GY8JV18_S,40,34,50,69,75,64,55,26,18,101,163
1S7GY8JV18_XL,34,37,28,41,53,28,36,6,27,54,121
1S7GY8JV18_XS,17,21,48,54,42,30,19,10,12,50,97
1S7GY8JV18_XXL,13,16,29,59,40,31,18,7,7,29,77
20RE1NI7XN_L,30,42,82,95,109,49,46,18,27,121,182
20RE1NI7XN_M,55,74,91,107,140,98,72,30,42,173,235
20RE1NI7XN_S,23,32,48,64,70,58,29,14,27,71,132
20RE1NI7XN_XL,20,27,39,45,41,30,20,9,8,47,69
20RE1NI7XN_XS,19,13,35,30,41,36,20,14,8,47,94
20RE1NI7XN_XXL,9,11,22,27,23,32,11,7,18,38,61
29NEO5JDJT_L,25,14,38,63,53,34,24,14,17,53,134
29NEO5JDJT_M,61,34,64,85,94,63,46,20,21,68,139
29NEO5JDJT_S,27,18,32,40,51,30,28,11,11,33,92
29NEO5JDJT_XL,21,12,17,33,31,20,20,8,6,23,64
29NEO5JDJT_XS,12,9,19,27,21,19,10,5,13,21,55
29NEO5JDJT_XXL,24,7,21,29,20,17,16,10,9,23,38
50WUQDWI2V_L,8,8,7,18,12,5,10,5,4,15,28
50WUQDWI2V_M,13,14,19,35,27,22,17,5,6,29,49
50WUQDWI2V_S,43,25,50,94,58,42,36,16,20,62,104
50WUQDWI2V_XL,17,7,9,19,10,15,8,7,4,10,21
50WUQDWI2V_XS,47,28,44,69,65,52,42,10,24,63,149
50WUQDWI2V_XXS,43,24,42,65,45,37,37,15,19,47,121
83N1Y7P1Q5_L,22,20,40,44,60,49,42,10,14,71,95
83N1Y7P1Q5_M,19,23,25,39,44,31,27,8,11,45,102
83N1Y7P1Q5_S,14,11,10,12,23,17,12,8,6,16,47
