pack_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
P001,0,0,0,0,0,0,0,0,0,0,4
P002,0,0,0,0,0,0,1,0,0,0,0
P003,0,0,0,0,0,0,0,0,0,0,4
P004,0,0,0,0,0,0,2,0,0,1,0
P005,1,0,1,0,0,0,0,0,0,1,0
P006,5,0,9,12,6,2,5,1,3,4,11
P007,1,0,2,0,1,2,1,1,0,2,4
P008,0,0,0,0,0,0,0,0,0,0,4
P009,0,0,0,1,0,0,0,0,0,0,0
P010,2,0,0,0,0,0,1,0,0,0,0
P011,0,0,0,1,0,1,0,0,0,0,0
P012,0,0,0,0,0,0,0,0,0,0,2
P013,1,0,0,1,0,0,0,0,0,0,0
P014,0,0,0,0,1,0,0,0,0,0,0
P015,0,0,0,0,0,0,0,0,0,0,6
P016,0,0,0,0,0,0,0,0,2,1,0
P017,0,0,0,0,0,1,0,0,0,1,3
P018,0,0,1,1,0,0,0,0,0,0,0
P019,0,0,2,1,0,0,0,0,0,0,0
P020,2,1,0,0,1,0,1,0,0,0,2
P021,0,0,0,1,0,1,0,0,0,0,0
P022,2,0,1,2,2,3,2,0,1,4,0
P023,0,0,1,0,0,1,1,1,1,0,1
P024,0,1,1,4,3,2,0,0,0,4,0
P025,0,0,0,5,0,0,0,0,0,0,0
P026,0,0,0,2,1,0,0,0,0,0,0
P027,0,0,0,0,3,5,1,0,0,2,0
P028,1,1,3,3,6,0,2,0,0,0,6
P029,0,0,0,0,0,2,0,0,0,1,0
P030,1,0,0,1,0,0,0,0,0,0,0
P031,0,0,0,0,0,1,0,1,0,0,0
P032,0,0,0,1,0,0,0,0,0,0,2
P033,0,0,0,0,0,0,1,0,0,0,0
P034,0,0,0,1,0,0,0,0,0,0,0
P035,2,0,0,2,0,2,0,0,0,0,0
P036,0,0,0,2,0,0,0,0,0,1,1
P037,0,0,1,1,0,0,0,0,0,0,0
P038,0,0,0,3,0,2,0,0,0,1,0
P039,0,1,0,1,0,0,0,0,0,1,0
P040,0,1,1,0,2,0,0,0,0,0,0
P041,0,0,1,0,0,0,1,0,2,0,0
P042,0,0,1,1,1,1,0,0,0,0,1
P043,0,2,0,0,0,0,0,0,0,0,0
P044,2,0,0,0,1,0,1,0,0,2,2
P045,0,0,0,0,0,0,0,0,0,0,2
P046,0,0,0,1,1,0,0,0,0,0,1
P047,1,0,6,0,0,1,0,0,0,0,10
P048,1,0,0,1,0,0,0,0,0,0,2
P049,0,1,1,0,0,0,0,2,0,0,0
P050,0,0,0,1,0,0,0,0,1,0,2
P051,0,1,0,0,0,0,0,0,2,0,3
P052,0,0,0,0,2,0,0,0,0,0,0
P053,0,0,0,0,3,0,0,0,0,0,0
P054,0,1,0,0,0,0,0,1,0,0,0
P055,0,1,0,0,0,0,0,0,0,1,0
P056,3,0,4,5,1,1,1,1,0,6,3
P057,1,0,1,0,0,0,1,1,1,0,0
P058,0,1,2,4,1,2,1,1,1,3,0
P059,0,0,0,0,1,0,0,0,0,0,1
P060,0,0,0,0,1,0,0,0,0,0,0
P061,0,0,0,0,0,1,0,0,0,0,0
P062,4,8,7,14,9,8,7,2,2,10,34
P063,0,0,1,0,2,1,0,0,2,1,2
P064,0,0,0,0,0,0,1,0,1,0,4
P065,2,1,0,0,0,0,0,0,0,1,2
P066,0,0,1,1,0,0,0,1,2,0,8
P067,2,5,2,6,4,9,4,0,1,8,10
P068,0,0,0,0,0,0,0,0,0,0,4
P069,0,0,2,0,0,0,1,1,0,0,0
P070,2,2,3,6,5,0,1,0,0,5,4
P071,0,0,0,0,1,0,0,0,0,0,0
P072,0,2,0,0,0,0,1,0,2,0,0
P073,0,1,0,6,0,0,0,0,0,1,4
P074,0,4,1,3,3,8,3,2,1,0,11
P075,1,0,1,0,1,0,0,0,0,0,0
P076,0,0,0,1,0,0,0,0,0,1,1
P077,3,1,4,6,5,3,1,1,2,0,10
P078,0,0,2,0,0,0,0,0,0,0,0
P079,0,1,0,1,4,4,1,1,2,5,0
P080,0,1,0,2,0,0,0,0,0,0,0
P081,0,0,0,0,2,0,0,0,0,0,0
P082,0,0,8,0,0,0,0,0,0,1,0
P083,0,1,3,0,0,1,3,0,0,6,8
P084,1,5,4,8,4,3,0,0,2,5,10
P085,1,0,0,2,2,1,1,0,2,2,1
P086,1,1,1,2,2,1,1,0,1,2,3
P087,3,3,2,3,5,3,3,1,2,1,9
P088,2,3,10,5,5,7,1,1,0,4,3
P089,2,0,1,1,0,1,2,1,1,1,3
P090,0,0,4,0,0,1,0,0,1,0,0
P091,0,0,0,0,0,2,0,0,0,0,0
P092,0,0,0,0,0,2,0,0,1,1,2
P093,0,0,0,0,1,1,1,1,0,1,4
P094,1,1,0,1,5,0,2,1,1,0,0
P095,8,6,9,13,10,0,3,2,1,11,18
P096,0,0,0,0,1,0,2,0,0,0,8
P097,0,0,1,0,0,0,0,0,0,0,0
P098,1,2,1,0,2,2,1,0,0,2,5
P099,3,0,2,0,3,0,4,1,0,0,6
P100,0,0,0,1,0,0,0,0,0,2,3
P101,2,0,0,0,0,0,1,1,0,1,0
P102,0,0,0,0,0,0,1,1,0,1,0
P103,0,0,1,0,2,0,0,1,0,0,0
P104,0,3,0,0,0,4,0,0,0,0,2
P105,4,3,5,6,5,7,5,2,2,7,11
P106,1,0,4,2,0,2,2,0,1,4,13
P107,0,0,0,0,0,2,0,1,0,0,0
P108,0,2,0,0,0,1,1,0,0,1,0
P109,0,1,1,1,3,0,0,1,0,0,4
P110,1,1,0,0,0,0,0,1,0,0,0
P111,3,0,0,1,1,0,3,0,1,4,2
P112,1,0,2,2,5,3,2,1,2,1,8
P113,0,0,1,2,2,0,0,0,1,1,0
P114,1,1,1,3,7,2,2,1,1,2,5
P115,0,2,3,4,2,3,1,1,1,7,7
P116,1,0,5,1,1,1,0,0,0,0,0
P117,5,3,8,12,9,6,5,4,3,6,27
P118,2,1,1,2,4,3,1,1,1,5,13
P119,0,0,3,3,2,1,2,2,0,2,1
P120,5,0,0,5,2,4,0,0,1,3,0
P121,0,0,0,0,1,0,0,0,1,2,4
P122,0,1,0,0,2,1,0,0,0,0,0
P123,0,0,0,3,0,0,0,0,1,0,1
P124,2,1,5,0,4,1,1,2,0,4,0
P125,0,0,3,3,1,0,0,0,1,0,0
P126,0,0,1,0,0,0,1,0,0,0,0
P127,1,1,0,0,1,0,1,0,1,1,3
P128,2,2,2,6,3,2,1,0,2,5,3
P129,0,0,1,0,0,0,1,0,0,4,7
P130,0,1,0,2,1,6,3,1,2,0,4
P131,11,5,11,16,9,3,7,3,5,12,22
P132,4,4,6,7,7,5,3,1,1,7,9
P133,0,2,0,2,10,0,11,0,0,0,15
P134,0,1,0,3,1,0,1,0,1,3,3
P135,0,2,1,0,0,0,0,0,1,2,2
P136,1,1,0,0,0,0,0,0,0,3,0
P137,1,1,0,3,1,2,0,1,1,1,2
P138,2,2,3,5,6,4,4,0,2,4,14
P139,1,0,1,2,4,3,1,0,0,2,7
P140,0,0,0,0,2,1,0,0,3,3,5
P141,0,1,2,1,4,0,0,0,0,0,4
P142,0,2,0,0,0,0,0,0,1,2,0
P143,1,0,0,0,3,2,0,0,0,0,2
P144,1,2,2,1,3,3,3,2,1,3,4
P145,5,2,2,3,1,0,0,0,0,3,8
P146,1,1,0,1,3,0,0,1,0,0,0
P147,1,0,2,0,2,1,2,0,1,2,0
P148,0,0,0,2,0,0,1,1,0,0,0
P149,0,3,1,3,4,1,1,0,0,0,0
P150,0,0,0,0,0,1,0,0,0,1,0
P151,0,0,0,0,0,1,5,0,1,1,0
P152,1,4,8,11,0,0,0,0,2,4,4
P153,1,0,1,2,1,0,2,0,0,3,4
P154,1,0,1,1,0,0,0,0,0,0,0
