restart,iteration,operator,current_cost,restart_best_cost,global_best_cost,temperature,pack_types_current,pack_types_best,shortage_units_best,overstock_units_best,elapsed_seconds
1,1,split_pack,786350,786350,781522,5000,503,502,0,0,0.107377
1,250,split_pack,554765,554421,421637,4414.55,538,537,0,4386,5.57584
1,500,mutate_pack_content,462170,461899,365287,3895.71,591,591,0,9419,11.2013
1,750,reallocate,429026,425272,363413,3437.84,598,596,0,13609,17.1417
1,1000,reallocate,408218,407637,360760,3033.79,600,600,0,17633,24.2505
1,1250,reallocate,398072,396114,356000,2677.23,601,601,0,19847,31.331
1,1500,reallocate,393484,391938,353060,2362.57,600,600,0,21520,37.9245
1,1750,reallocate,390588,389648,351599,2084.9,600,600,0,22667,44.4261
1,2000,reallocate,385058,383525,348552,1839.86,600,600,0,24267,50.5925
1,2250,reallocate,384796,382761,343500,1623.62,600,600,0,25092,56.9205
1,2500,reallocate,388334,382761,338274,1432.79,600,600,0,25092,63.0592
1,2750,reallocate,383181,382761,330690,1264.4,600,600,0,25092,68.8739
1,3000,reallocate,381957,381465,329588,1115.79,600,600,0,26836,74.6425
1,3250,reallocate,379100,376577,327833,984.651,600,600,0,27116,80.436
1,3500,reallocate,379078,376180,321589,868.924,600,600,0,27394,85.9886
1,3750,reallocate,377125,376180,319213,766.799,600,600,0,27394,91.6143
1,4000,reallocate,375679,375205,316985,676.676,600,600,0,27983,97.0967
1,4250,reallocate,372723,371803,312834,597.146,600,600,0,27822,102.318
1,4500,reallocate,375206,371564,309490,526.963,600,600,0,27937,107.645
1,4750,reallocate,370512,369378,307249,465.029,600,600,0,28074,113.094
1,5000,reallocate,373000,369378,302336,410.374,600,600,0,28074,118.176
1,5250,reallocate,369008,368295,297750,362.142,600,600,0,28491,123.242
1,5500,reallocate,368169,366323,294188,319.579,600,600,0,28369,128.551
1,5750,reallocate,365686,365686,289017,282.019,600,600,0,28572,134.199
1,6000,reallocate,359646,359246,286092,248.873,600,600,0,28029,139.719
1,6250,reallocate,357360,357360,281477,219.623,600,600,0,27787,145.846
1,6500,reallocate,353298,353019,279753,193.81,600,600,0,27416,153.244
1,6750,reallocate,352310,351537,275534,171.032,600,600,0,27334,159.75
1,7000,reallocate,347654,347592,272853,150.93,600,600,0,26919,165.941
1,7250,reallocate,346717,346717,269667,133.191,600,600,0,26996,171.477
1,7500,reallocate,344182,344100,265215,117.537,600,600,0,26797,176.876
1,7750,reallocate,343606,343439,261742,103.723,600,600,0,26774,182.073
1,8000,reallocate,340867,340648,258733,91.5324,600,600,0,26659,187.556
1,8250,reallocate,339211,339008,255255,80.7745,600,600,0,26376,192.883
1,8500,reallocate,336577,336577,252576,71.281,600,600,0,26419,198.21
1,8750,reallocate,332469,332469,248701,62.9033,600,600,0,26009,203.511
1,9000,reallocate,329550,329550,243607,55.5103,600,600,0,25679,208.758
1,9250,reallocate,327133,327133,240192,48.9861,600,600,0,25455,213.97
1,9500,reallocate,326361,326344,234520,43.2287,600,600,0,25437,219.474
1,9750,reallocate,324665,324665,232294,38.148,600,600,0,25242,224.798
1,10000,reallocate,322369,322369,230131,33.6645,600,600,0,25041,230.17
1,10250,reallocate,321599,321512,227787,29.7079,600,600,0,24924,235.191
1,10500,reallocate,319639,319639,226141,26.2163,600,600,0,24725,240.333
1,10750,reallocate,318548,318548,223319,23.1351,600,600,0,24629,245.942
1,11000,reallocate,317127,317127,221067,20.416,600,600,0,24466,251.227
1,11250,reallocate,315210,315210,219163,18.0165,600,600,0,24335,256.601
1,11500,reallocate,313425,313425,217187,15.899,600,600,0,24021,262.422
1,11750,reallocate,311455,311455,215987,14.0304,600,600,0,23756,269.492
1,12000,reallocate,310503,310503,214894,12.3814,600,600,0,23665,275.623
1,12250,reallocate,309713,309665,213864,10.9262,600,600,0,23602,281.664
1,12500,reallocate,308740,308740,213076,9.64202,600,600,0,23504,287.384
1,12750,reallocate,307952,307952,212450,8.50878,600,600,0,23441,292.951
1,13000,reallocate,306656,306656,211306,7.50874,600,600,0,23264,298.476
1,13250,reallocate,305151,305151,209716,6.62623,600,600,0,23157,303.765
1,13500,reallocate,303684,303679,209244,5.84745,600,600,0,22970,309.062
1,13750,reallocate,302444,302444,208770,5.16019,600,600,0,22831,314.474
1,14000,reallocate,301411,301411,208309,4.55371,600,600,0,22743,319.799
1,14250,reallocate,300556,300556,207806,4.01851,600,600,0,22662,324.938
1,14500,reallocate,299748,299748,207273,3.54621,600,600,0,22628,330.328
1,14750,reallocate,298264,298264,206426,3.12942,600,600,0,22459,336
1,15000,reallocate,297485,297485,206190,2.76162,600,600,0,22362,340.981
1,15250,reallocate,296831,296828,205625,2.43705,600,600,0,22301,346.488
1,15500,reallocate,295611,295611,205410,2.15062,600,600,0,22196,351.752
1,15750,reallocate,294995,294995,204972,1.89785,600,600,0,22102,356.947
1,16000,reallocate,294352,294352,204570,1.6748,600,600,0,22082,361.98
1,16250,reallocate,293911,293911,204052,1.47796,600,600,0,22035,367.208
1,16500,reallocate,293446,293446,203721,1.30425,600,600,0,22014,372.717
1,16750,reallocate,292530,292530,203177,1.15096,600,600,0,21890,377.714
1,17000,reallocate,291588,291588,203177,1.01569,600,600,0,21838,382.285
1,17250,reallocate,291408,291408,203177,0.896315,600,600,0,21818,387.314
1,17500,reallocate,290707,290707,203177,0.79097,600,600,0,21767,392.044
1,17750,reallocate,290523,290523,203177,0.698007,600,600,0,21764,397.025
1,18000,reallocate,290265,290265,203177,0.61597,600,600,0,21749,401.713
1,18250,reallocate,289870,289870,203177,0.543574,600,600,0,21677,406.689
1,18500,reallocate,289514,289514,203177,0.479688,600,600,0,21642,411.916
1,18750,reallocate,289265,289265,203177,0.42331,600,600,0,21620,416.641
1,19000,reallocate,289101,289101,203177,0.373558,600,600,0,21613,421.074
1,19250,reallocate,288661,288661,203177,0.329653,600,600,0,21588,425.925
1,19500,reallocate,288237,288237,203177,0.290909,600,600,0,21539,430.544
1,19750,reallocate,288081,288081,203177,0.256718,600,600,0,21513,435.102
1,20000,reallocate,287432,287432,203177,0.226546,600,600,0,21459,439.722
2,1,reallocate,785530,785530,785530,5000,494,494,0,0,0.0932158
2,250,add_curve_pack,521303,521125,421637,4414.55,543,540,0,4678,5.57085
2,500,mutate_pack_content,419124,419124,365287,3895.71,554,554,0,12386,11.2997
2,750,add_curve_pack,397879,396141,363975,3437.84,573,569,0,15412,16.6228
2,1000,reallocate,379766,379766,360760,3033.79,583,583,0,19228,22.901
2,1250,mutate_pack_content,375515,372451,358459,2677.23,583,581,0,20858,28.6404
2,1500,mutate_pack_content,372503,371423,355161,2362.57,590,588,0,24440,34.329
2,1750,reallocate,369901,368076,352166,2084.9,588,593,0,25064,39.8526
2,2000,mutate_pack_content,368638,368076,351599,1839.86,597,593,0,25064,45.2235
2,2250,mutate_pack_content,374411,368076,348552,1623.62,602,593,0,25064,50.4591
2,2500,mutate_pack_content,367892,367713,343500,1432.79,607,607,0,27514,55.7748
2,2750,mutate_pack_content,361799,361102,338274,1264.4,612,610,0,26914,61.0407
2,3000,mutate_pack_content,354968,354968,333837,1115.79,614,614,0,26695,66.2649
2,3250,mutate_pack_content,351453,350235,330498,984.651,615,615,0,26941,71.5211
2,3500,reallocate,348800,348039,329588,868.924,614,615,0,26449,76.7928
2,3750,reallocate,347638,345352,326529,766.799,611,613,0,26515,82.2347
2,4000,reallocate,342813,342813,319213,676.676,611,611,0,26840,87.693
2,4250,reallocate,342418,340601,319213,597.146,613,613,0,26366,93.2229
2,4500,reallocate,337458,337319,315555,526.963,613,613,0,26346,98.5963
2,4750,reallocate,335377,335195,312658,465.029,613,613,0,26440,103.905
2,5000,reallocate,332276,331704,308488,410.374,613,613,0,26133,109.213
2,5250,reallocate,329809,329469,306599,362.142,613,613,0,26079,114.591
2,5500,reallocate,327566,327320,302336,319.579,613,613,0,26189,120.06
2,5750,reallocate,325762,325148,295857,282.019,613,613,0,26522,125.695
2,6000,reallocate,322191,322181,292525,248.873,613,613,0,26181,131.356
2,6250,reallocate,317802,317749,288124,219.623,613,613,0,25866,137.34
2,6500,reallocate,316564,316534,283289,193.81,613,613,0,25751,142.853
2,6750,reallocate,317578,316534,281250,171.032,613,613,0,25751,150.078
2,7000,reallocate,314903,314571,276869,150.93,613,613,0,25531,157.022
2,7250,reallocate,312745,312745,273434,133.191,613,613,0,25518,163.271
2,7500,reallocate,309138,309138,271293,117.537,613,613,0,25053,169.339
2,7750,reallocate,308173,308062,268362,103.723,613,613,0,24908,174.341
2,8000,reallocate,307653,307216,262963,91.5324,613,613,0,24644,180.028
2,8250,reallocate,305811,305472,259657,80.7745,613,613,0,24520,185.983
2,8500,reallocate,302240,302240,255989,71.281,613,613,0,24174,191.73
2,8750,reallocate,299334,299334,253260,62.9033,613,613,0,23930,197.002
