sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
093KT7ZK38_L,20,16,20,37,41,26,23,8,16,46,80
093KT7ZK38_M,25,30,34,56,62,40,32,8,23,77,127
093KT7ZK38_S,41,37,36,63,80,47,31,17,32,113,143
093KT7ZK38_XL,9,8,9,16,13,11,6,4,7,13,37
093KT7ZK38_XS,32,44,39,67,84,44,32,20,31,90,197
093KT7ZK38_XXS,22,22,20,35,49,31,24,11,18,59,117
0Z6K6Y21KR_L,4,4,5,7,7,4,11,4,4,10,12
0Z6K6Y21KR_M,5,6,5,5,7,5,6,2,3,14,9
0Z6K6Y21KR_S,7,8,10,17,15,14,16,5,7,26,18
0Z6K6Y21KR_XL,2,1,1,2,4,4,2,1,1,7,4
0Z6K6Y21KR_XS,7,8,16,17,14,11,17,7,7,26,26
0Z6K6Y21KR_XXS,8,5,7,11,11,8,12,2,3,17,11
1KZZ8PMFB1_L,12,10,16,20,24,13,10,4,9,34,29
1KZZ8PMFB1_M,7,10,18,14,20,10,14,4,10,36,35
1KZZ8PMFB1_S,8,6,9,8,11,5,7,3,5,14,11
1KZZ8PMFB1_XL,4,8,12,16,14,8,8,2,8,23,21
1KZZ8PMFB1_XS,2,7,8,9,5,6,5,3,4,18,10
1KZZ8PMFB1_XXL,6,6,7,7,12,7,7,4,7,16,14
1S7GY8JV18_L,53,59,92,121,148,101,56,30,33,142,232
1S7GY8JV18_M,64,80,129,185,177,112,79,41,47,188,315
1S7GY8JV18_S,44,52,73,96,109,68,44,25,30,111,202
1S7GY8JV18_XL,22,16,33,49,59,30,26,9,12,54,116
1S7GY8JV18_XS,23,20,48,54,50,30,21,9,14,47,99
1S7GY8JV18_XXL,16,13,27,57,40,28,18,8,13,34,80
20RE1NI7XN_L,38,52,82,84,113,56,43,23,40,119,193
20RE1NI7XN_M,69,91,113,127,165,88,78,30,47,182,262
20RE1NI7XN_S,28,33,56,67,72,64,32,15,26,82,132
20RE1NI7XN_XL,26,22,60,38,43,35,29,9,14,56,99
20RE1NI7XN_XS,22,23,49,44,53,31,24,8,15,58,108
20RE1NI7XN_XXL,9,12,22,27,19,17,13,5,13,37,39
29NEO5JDJT_L,19,29,38,63,53,42,25,14,21,49,134
29NEO5JDJT_M,48,47,69,85,105,79,56,29,38,110,198
29NEO5JDJT_S,27,16,25,33,51,30,28,8,11,27,82
29NEO5JDJT_XL,16,21,22,40,36,30,15,7,17,40,85
29NEO5JDJT_XS,9,11,15,24,22,18,9,5,13,27,55
29NEO5JDJT_XXL,18,15,26,9,44,16,27,5,14,33,42
50WUQDWI2V_L,9,7,9,17,12,6,8,4,5,18,27
50WUQDWI2V_M,13,13,15,30,26,22,12,6,8,29,48
50WUQDWI2V_S,20,24,50,96,55,27,26,10,17,60,103
50WUQDWI2V_XL,4,6,7,13,12,14,8,1,4,10,23
50WUQDWI2V_XS,49,30,43,74,79,52,39,12,18,75,119
50WUQDWI2V_XXS,14,25,33,42,45,21,25,8,12,29,121
83N1Y7P1Q5_L,23,26,40,47,58,47,44,11,17,58,99
83N1Y7P1Q5_M,18,21,23,33,36,27,15,6,11,45,68
83N1Y7P1Q5_S,8,11,12,16,18,15,11,7,9,24,44
83N1Y7P1Q5_XL,16,22,27,32,38,30,18,7,17,49,88
83N1Y7P1Q5_XS,4,4,8,9,8,8,7,2,2,8,18
83N1Y7P1Q5_XXL,5,6,13,16,16,13,11,2,3,15,20
