sku_id,channel_id,forecast_units,shipped_units,overstock_units,shortage_units,unit_cost,capital_cost
093KT7ZK38_L,Amsterdam,7,20,13,0,12,37.908
093KT7ZK38_L,Berlin,9,16,7,0,12,20.412
093KT7ZK38_L,Brussels,15,20,5,0,12,14.58
093KT7ZK38_L,Copenhagen,31,37,6,0,12,17.496
093KT7ZK38_L,Helsinki,33,41,8,0,12,23.328
093KT7ZK38_L,Madrid,19,26,7,0,12,20.412
093KT7ZK38_L,Paris,10,23,13,0,12,37.908
093KT7ZK38_L,Platform,3,8,5,0,12,14.58
093KT7ZK38_L,Rome,5,16,11,0,12,32.076
093KT7ZK38_L,Stockholm,21,46,25,0,12,72.9
093KT7ZK38_L,Webshop,70,80,10,0,12,29.16
093KT7ZK38_M,Amsterdam,13,25,12,0,12,34.992
093KT7ZK38_M,Berlin,20,30,10,0,12,29.16
093KT7ZK38_M,Brussels,29,34,5,0,12,14.58
093KT7ZK38_M,Copenhagen,53,56,3,0,12,8.748
093KT7ZK38_M,Helsinki,62,62,0,0,12,0
093KT7ZK38_M,Madrid,39,40,1,0,12,2.916
093KT7ZK38_M,Paris,19,32,13,0,12,37.908
093KT7ZK38_M,Platform,7,8,1,0,12,2.916
093KT7ZK38_M,Rome,22,23,1,0,12,2.916
093KT7ZK38_M,Stockholm,38,77,39,0,12,113.724
093KT7ZK38_M,Webshop,125,127,2,0,12,5.832
093KT7ZK38_S,Amsterdam,32,41,9,0,12,26.244
093KT7ZK38_S,Berlin,28,37,9,0,12,26.244
093KT7ZK38_S,Brussels,35,36,1,0,12,2.916
093KT7ZK38_S,Copenhagen,62,63,1,0,12,2.916
093KT7ZK38_S,Helsinki,79,80,1,0,12,2.916
093KT7ZK38_S,Madrid,47,47,0,0,12,0
093KT7ZK38_S,Paris,25,31,6,0,12,17.496
093KT7ZK38_S,Platform,10,17,7,0,12,20.412
093KT7ZK38_S,Rome,19,32,13,0,12,37.908
093KT7ZK38_S,Stockholm,111,113,2,0,12,5.832
093KT7ZK38_S,Webshop,142,143,1,0,12,2.916
093KT7ZK38_XL,Amsterdam,5,9,4,0,12,11.664
093KT7ZK38_XL,Berlin,8,8,0,0,12,0
093KT7ZK38_XL,Brussels,8,9,1,0,12,2.916
093KT7ZK38_XL,Copenhagen,15,16,1,0,12,2.916
093KT7ZK38_XL,Helsinki,11,13,2,0,12,5.832
093KT7ZK38_XL,Madrid,8,11,3,0,12,8.748
093KT7ZK38_XL,Paris,6,6,0,0,12,0
093KT7ZK38_XL,Platform,1,4,3,0,12,8.748
093KT7ZK38_XL,Rome,2,7,5,0,12,14.58
093KT7ZK38_XL,Stockholm,13,13,0,0,12,0
093KT7ZK38_XL,Webshop,36,37,1,0,12,2.916
093KT7ZK38_XS,Amsterdam,30,32,2,0,12,5.832
