pack_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
P001,0,0,13,0,0,0,0,0,0,0,0
P002,0,0,0,25,0,3,0,0,0,0,0
P003,1,0,0,8,0,0,0,0,0,0,0
P004,4,3,5,4,0,4,0,0,0,2,0
P005,0,0,0,0,0,0,0,0,0,0,1
P006,1,0,0,0,0,0,1,0,0,0,3
P007,0,2,0,0,0,0,0,0,0,1,0
P008,0,0,0,0,0,0,0,0,0,0,21
P009,0,0,0,1,0,0,0,0,0,0,0
P010,0,0,1,6,0,1,0,1,0,1,1
P011,0,0,0,0,0,4,0,0,0,2,0
P012,0,0,6,0,0,1,0,0,1,0,5
P013,1,5,3,0,17,3,8,6,4,13,7
P014,0,0,0,7,0,0,0,0,0,3,14
P015,2,0,4,0,0,0,0,0,0,3,0
P016,0,0,0,0,0,9,0,0,0,0,0
P017,0,0,0,0,0,0,0,0,0,0,9
P018,0,0,0,0,1,3,0,0,0,4,0
P019,1,0,0,0,0,0,0,0,0,0,1
P020,0,0,0,0,0,0,1,0,0,0,0
P021,0,0,0,0,0,0,2,0,0,0,2
P022,4,3,4,7,4,1,1,1,1,6,11
P023,5,5,5,6,8,7,3,2,4,6,23
P024,1,0,0,0,2,0,0,0,0,0,0
P025,0,2,2,5,5,1,3,0,1,2,6
P026,1,0,2,1,1,2,0,0,0,2,9
P027,1,6,0,6,0,2,0,0,2,7,6
P028,0,0,0,0,0,3,0,0,1,1,0
P029,0,1,1,1,0,0,0,0,0,0,1
P030,1,0,6,3,1,3,2,1,0,4,8
P031,1,2,1,1,2,2,1,2,2,1,1
P032,0,0,0,2,0,0,0,0,0,0,6
P033,3,0,0,7,7,1,2,0,1,14,1
P034,2,0,1,0,6,0,1,1,0,4,5
P035,0,2,1,2,4,2,0,1,0,1,3
P036,0,0,1,1,1,1,1,0,0,1,4
P037,3,0,4,0,5,4,2,1,0,5,0
P038,1,1,0,0,1,0,0,0,0,3,0
P039,2,0,0,0,1,3,0,0,0,0,5
P040,0,3,3,6,9,2,0,2,0,11,16
P041,0,0,0,0,0,0,0,0,0,0,3
P042,0,0,0,2,2,1,1,2,0,0,2
P043,0,0,0,0,0,1,0,0,1,1,0
P044,1,0,0,2,2,0,0,0,0,0,0
P045,0,0,0,0,0,0,0,0,1,0,0
P046,0,1,4,0,2,0,2,0,0,0,6
P047,1,2,2,10,8,2,0,1,0,10,10
P048,1,0,0,0,0,0,0,0,0,0,1
P049,0,0,1,4,0,2,0,0,1,1,2
P050,0,0,3,0,0,1,0,0,0,2,0
P051,0,0,0,3,0,0,0,0,0,0,0
P052,2,3,5,7,3,5,1,0,1,3,6
P053,0,0,2,0,1,1,1,0,0,0,3
P054,1,0,1,0,0,0,1,0,0,0,0
P055,0,0,3,1,0,1,0,0,0,0,3
P056,0,1,1,2,0,2,1,0,0,1,2
P057,0,0,3,0,0,0,0,0,0,2,3
P058,4,5,7,4,5,2,2,1,3,4,12
P059,0,3,1,0,0,0,0,0,1,0,1
P060,0,0,0,0,0,0,0,2,0,0,0
P061,7,2,4,10,12,10,7,2,3,8,23
P062,0,0,1,0,3,0,0,0,0,0,0
P063,1,0,0,0,0,2,0,0,0,0,0
P064,1,0,0,1,2,1,0,1,0,0,0
P065,0,0,0,0,0,0,0,0,2,0,1
P066,0,0,1,0,0,0,0,0,1,0,0
P067,3,4,7,11,12,8,2,0,3,11,24
P068,1,0,0,1,4,2,0,0,0,1,2
P069,0,0,0,3,1,0,0,0,0,1,5
P070,0,0,0,0,1,0,0,0,0,0,1
P071,3,3,3,5,2,2,1,1,2,1,3
P072,0,3,1,0,0,0,0,0,1,0,0
P073,3,0,1,2,4,2,1,1,0,4,1
P074,0,2,3,2,1,0,2,1,2,4,4
P075,6,3,6,6,7,3,1,1,6,7,20
P076,1,0,0,0,1,3,1,0,0,0,0
P077,0,1,1,0,0,0,1,0,0,0,0
P078,0,0,2,3,0,0,0,0,1,2,1
P079,1,1,0,0,0,0,0,0,0,0,1
P080,1,1,2,0,0,1,2,0,0,0,1
P081,2,6,3,4,2,6,0,0,0,4,2
P082,0,3,0,0,0,0,0,1,0,0,0
P083,0,0,0,0,3,1,1,0,0,4,0
P084,0,0,0,1,0,1,0,0,0,0,1
P085,0,0,0,0,1,0,0,0,0,0,0
P086,0,0,0,0,3,1,0,0,1,0,1
P087,1,1,1,1,2,0,3,1,0,3,3
P088,0,0,0,0,0,1,0,0,0,0,0
P089,0,0,0,0,0,0,0,0,0,1,0
P090,4,4,6,4,11,3,2,1,0,5,22
P091,0,0,0,0,0,0,0,1,0,0,1
P092,0,0,0,1,0,0,2,0,0,0,1
P093,1,3,1,3,3,2,1,0,2,4,4
P094,0,0,0,1,0,0,0,0,0,0,2
P095,0,1,0,0,0,0,0,0,0,0,0
P096,3,2,3,8,7,3,2,2,0,4,16
P097,1,1,1,0,0,0,0,0,0,0,2
P098,3,1,5,3,5,9,4,0,3,4,7
P099,2,0,0,0,8,0,9,0,0,0,0
P100,1,1,0,0,0,0,0,0,0,0,3
