restart,iteration,operator,current_cost,restart_best_cost,global_best_cost,temperature,pack_types_current,pack_types_best,shortage_units_best,overstock_units_best,elapsed_seconds
1,1,split_pack,786350,786350,786350,5000,503,502,0,0,0.106231
1,250,add_curve_pack,524941,524932,437570,4414.55,535,530,0,4511,6.16699
1,500,merge_packs,393374,392415,382505,3895.71,573,569,0,13324,12.4723
1,750,add_curve_pack,380826,379271,353520,3437.84,592,590,0,17711,18.2532
1,1000,add_curve_pack,373506,372812,348965,3033.79,646,642,0,19669,24.2568
1,1250,reallocate,378734,372291,348965,2677.23,691,646,0,20044,30.6452
1,1500,add_curve_pack,379184,372291,347440,2362.57,749,646,0,20044,36.3323
1,1750,reallocate,375535,370418,347000,2084.9,798,753,0,23218,42.3096
1,2000,split_pack,367915,367234,347000,1839.86,850,844,0,22970,48.7354
1,2250,remove_pack,358175,358175,347000,1623.62,896,896,0,22524,55.7289
1,2500,mutate_pack_content,357965,354081,347000,1432.79,939,923,0,22089,62.2793
1,2750,mutate_pack_content,357399,354081,347000,1264.4,969,923,0,22089,69.5162
1,3000,reallocate,358946,354081,346338,1115.79,1016,923,0,22089,77.0034
1,3250,add_curve_pack,360010,354081,344458,984.651,1060,923,0,22089,84.5639
1,3500,add_curve_pack,357369,354081,343587,868.924,1088,923,0,22089,92.3233
1,3750,reallocate,353722,353126,343587,766.799,1128,1128,0,22583,101.121
1,4000,mutate_pack_content,350714,350144,343587,676.676,1191,1149,0,22325,110.082
1,4250,add_curve_pack,351359,350144,340442,597.146,1230,1149,0,22325,118.899
1,4500,merge_packs,354330,350144,338644,526.963,1259,1149,0,22325,128.64
1,4750,mutate_pack_content,351746,350144,338644,465.029,1305,1149,0,22325,138.61
1,5000,remove_pack,349219,349070,338644,410.374,1335,1328,0,22323,148.99
1,5250,add_curve_pack,349144,347818,338644,362.142,1379,1355,0,22219,159.402
1,5500,mutate_pack_content,345250,345095,338299,319.579,1407,1407,0,22021,170.538
1,5750,reallocate,345426,345095,337435,282.019,1451,1407,0,22021,183.219
1,6000,reallocate,343059,341940,337435,248.873,1486,1466,0,21466,197.091
1,6250,reallocate,340442,340299,334404,219.623,1525,1521,0,21398,208.495
1,6500,merge_packs,339167,339068,330807,193.81,1556,1554,0,21022,219.698
1,6750,mutate_pack_content,339579,339068,327870,171.032,1606,1554,0,21022,230.956
1,7000,add_curve_pack,336732,336649,326411,150.93,1669,1664,0,20784,242.599
1,7250,reallocate,335939,335939,323605,133.191,1697,1696,0,20812,255.844
1,7500,remove_pack,334731,334731,322148,117.537,1751,1752,0,20745,269.092
1,7750,merge_packs,331693,331693,317497,103.723,1785,1786,0,20465,281.031
1,8000,merge_packs,327344,327270,316105,91.5324,1814,1812,0,20069,293.016
1,8250,merge_packs,327203,327051,315213,80.7745,1847,1829,0,20084,304.893
1,8500,remove_pack,326755,326747,313626,71.281,1872,1872,0,20065,316.995
1,8750,mutate_pack_content,325676,325657,311765,62.9033,1908,1907,0,20100,329.647
1,9000,mutate_pack_content,323931,323931,310227,55.5103,1937,1936,0,19844,342.883
1,9250,mutate_pack_content,321536,321536,307403,48.9861,2004,2001,0,19675,356.278
1,9500,reallocate,320222,320010,306153,43.2287,2030,2023,0,19584,369.474
1,9750,merge_packs,319529,319529,305161,38.148,2070,2067,0,19535,382.75
1,10000,mutate_pack_content,318407,318394,303147,33.6645,2109,2101,0,19454,397.38
1,10250,remove_pack,316973,316973,301895,29.7079,2148,2148,0,19750,411.871
1,10500,merge_packs,315926,315926,300849,26.2163,2198,2196,0,19558,428.461
1,10750,merge_packs,315312,315312,299590,23.1351,2230,2229,0,19335,445.251
1,11000,remove_pack,313926,313926,298384,20.416,2256,2255,0,19164,461.054
1,11250,add_curve_pack,312514,312514,297284,18.0165,2284,2282,0,18894,476.672
1,11500,add_curve_pack,311735,311735,296517,15.899,2337,2337,0,18787,492.518
1,11750,reallocate,310870,310870,295166,14.0304,2377,2374,0,18723,509.169
1,12000,mutate_pack_content,310476,310476,294502,12.3814,2404,2398,0,18682,528.048
1,12250,add_curve_pack,309235,309235,292894,10.9262,2443,2444,0,18640,545.295
1,12500,add_curve_pack,308290,308290,291789,9.64202,2477,2476,0,18700,561.849
1,12750,reallocate,306899,306899,291082,8.50878,2502,2500,0,18590,578.608
1,13000,merge_packs,306520,306520,289899,7.50874,2546,2545,0,18561,600.682
1,13250,remove_pack,305834,305834,289131,6.62623,2585,2577,0,18491,618.789
1,13500,add_curve_pack,305356,305356,287983,5.84745,2648,2646,0,18460,636.598
1,13750,add_curve_pack,304585,304585,286864,5.16019,2681,2681,0,18351,654.375
1,14000,reallocate,304144,304144,286831,4.55371,2715,2714,0,18337,672.022
1,14250,add_curve_pack,302970,302970,286445,4.01851,2749,2747,0,18248,690.18
1,14500,mutate_pack_content,302487,302487,286187,3.54621,2767,2767,0,18230,708.229
1,14750,add_curve_pack,301986,301986,285617,3.12942,2789,2788,0,18200,726.845
1,15000,add_curve_pack,301012,301012,285432,2.76162,2829,2827,0,18161,745.13
1,15250,reallocate,300637,300637,284141,2.43705,2832,2835,0,18122,763.593
1,15500,split_pack,300399,300399,283888,2.15062,2858,2858,0,18073,781.86
1,15750,mutate_pack_content,299451,299451,283621,1.89785,2902,2898,0,18018,800.436
1,16000,reallocate,299104,299104,282604,1.6748,2924,2924,0,17961,819.632
1,16250,reallocate,298612,298612,282125,1.47796,2954,2952,0,17985,838.641
1,16500,mutate_pack_content,298133,298133,281898,1.30425,2988,2988,0,17939,857.957
1,16750,reallocate,297983,297983,281715,1.15096,3020,3016,0,17946,878.037
1,17000,remove_pack,297605,297605,281554,1.01569,3054,3053,0,17925,898.03
1,17250,split_pack,297176,297176,281103,0.896315,3102,3101,0,17914,919.072
1,17500,reallocate,296389,296389,280829,0.79097,3154,3152,0,17796,939.482
1,17750,merge_packs,295443,295443,280591,0.698007,3203,3201,0,17475,960.196
1,18000,remove_pack,294923,294923,280059,0.61597,3231,3227,0,17424,980.763
1,18250,reallocate,294055,294055,279945,0.543574,3260,3261,0,17336,1001.34
1,18500,mutate_pack_content,293634,293634,279603,0.479688,3289,3285,0,17307,1022.2
1,18750,add_curve_pack,293452,293452,279141,0.42331,3322,3310,0,17263,1043.41
1,19000,add_curve_pack,293338,293338,278711,0.373558,3354,3355,0,17250,1065
1,19250,mutate_pack_content,293101,293101,278683,0.329653,3390,3384,0,17235,1086.2
1,19500,split_pack,292646,292646,277896,0.290909,3421,3420,0,17151,1106.14
1,19750,merge_packs,292189,292189,277896,0.256718,3451,3450,0,17150,1121.56
1,20000,add_curve_pack,292189,292189,277896,0.226546,3478,3450,0,17150,1129.53
2,1,reallocate,785530,785530,781522,5000,494,494,0,0,0.122715
2,250,reallocate,590391,590391,437570,4414.55,551,551,0,5315,5.66149
2,500,add_curve_pack,446458,444644,384443,3895.71,605,591,0,14195,11.4999
