sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
093KT7ZK38_L,19,17,29,44,48,35,23,7,12,46,93
093KT7ZK38_M,37,28,45,67,76,56,35,10,27,83,151
093KT7ZK38_S,39,36,60,86,107,57,55,19,27,134,190
093KT7ZK38_XL,11,11,14,21,15,19,14,6,4,32,48
093KT7ZK38_XS,43,53,40,73,105,51,33,26,35,88,233
093KT7ZK38_XXS,27,28,38,52,64,44,29,13,16,66,134
0Z6K6Y21KR_L,4,2,3,4,3,2,3,2,2,8,14
0Z6K6Y21KR_M,3,8,6,7,6,6,5,4,4,7,10
0Z6K6Y21KR_S,9,10,15,20,14,16,20,5,5,33,39
0Z6K6Y21KR_XL,2,4,7,3,5,5,3,2,3,10,8
0Z6K6Y21KR_XS,11,13,20,24,22,18,18,9,10,32,37
0Z6K6Y21KR_XXS,8,8,13,15,12,12,13,4,4,20,21
1KZZ8PMFB1_L,13,11,18,18,29,16,11,13,8,23,22
1KZZ8PMFB1_M,6,11,10,16,19,11,10,5,6,14,42
1KZZ8PMFB1_S,10,11,18,22,16,9,10,4,5,17,18
1KZZ8PMFB1_XL,8,10,18,21,16,10,8,5,3,12,26
1KZZ8PMFB1_XS,6,3,5,7,5,8,5,2,3,6,6
1KZZ8PMFB1_XXL,6,6,10,10,12,8,6,4,4,8,12
1S7GY8JV18_L,60,66,114,116,178,96,86,38,33,180,291
1S7GY8JV18_M,67,94,156,176,216,124,115,40,43,193,388
1S7GY8JV18_S,45,41,83,86,90,84,53,30,26,128,200
1S7GY8JV18_XL,27,25,55,58,66,58,28,11,18,66,140
1S7GY8JV18_XS,22,24,61,65,62,37,32,13,18,56,104
1S7GY8JV18_XXL,23,21,57,72,54,39,23,10,14,60,94
20RE1NI7XN_L,45,51,102,106,131,80,61,23,32,147,228
20RE1NI7XN_M,66,73,106,120,168,102,64,35,49,158,327
20RE1NI7XN_S,28,41,52,58,87,70,34,17,30,78,169
20RE1NI7XN_XL,18,20,42,39,54,33,19,10,14,57,76
20RE1NI7XN_XS,23,26,45,47,53,48,24,10,18,66,105
20RE1NI7XN_XXL,19,17,39,35,48,32,15,10,16,54,71
29NEO5JDJT_L,42,24,47,76,68,40,29,21,21,63,161
29NEO5JDJT_M,66,37,81,102,87,77,50,33,28,78,166
29NEO5JDJT_S,35,19,35,60,62,40,35,7,15,43,102
29NEO5JDJT_XL,33,13,32,37,38,24,18,9,13,31,99
29NEO5JDJT_XS,11,11,18,23,30,29,11,9,16,26,66
29NEO5JDJT_XXL,22,10,15,22,19,15,15,8,9,31,65
50WUQDWI2V_L,10,10,11,26,17,14,13,3,7,20,44
50WUQDWI2V_M,15,21,17,36,34,26,24,5,11,36,58
50WUQDWI2V_S,26,30,61,113,75,35,28,12,21,72,126
50WUQDWI2V_XL,10,9,8,15,19,17,12,2,5,39,28
50WUQDWI2V_XS,57,37,53,89,70,64,47,12,21,79,143
50WUQDWI2V_XXS,30,30,48,114,65,42,39,11,23,64,146
83N1Y7P1Q5_L,22,24,48,53,70,58,52,14,22,60,115
83N1Y7P1Q5_M,22,32,28,42,45,34,17,8,14,54,82
83N1Y7P1Q5_S,10,17,12,15,24,16,24,9,9,22,49
83N1Y7P1Q5_XL,19,17,18,32,35,33,24,5,10,58,81
83N1Y7P1Q5_XS,7,3,11,9,11,12,10,5,3,11,22
83N1Y7P1Q5_XXL,8,6,8,15,20,14,14,2,5,18,29
8D2X9QGLQF_L,19,10,14,17,26,9,11,5,6,21,52
8D2X9QGLQF_M,11,8,13,21,16,18,8,6,8,20,24
8D2X9QGLQF_S,8,5,6,5,6,5,5,3,4,6,12
8D2X9QGLQF_XL,6,5,10,13,9,10,7,5,5,10,15
8D2X9QGLQF_XS,6,4,7,5,6,11,5,2,5,3,9
8D2X9QGLQF_XXL,4,5,4,5,6,4,4,4,3,7,19
8WVHOXLVJ2_L,3,3,5,10,6,7,8,4,4,7,18
8WVHOXLVJ2_M,6,4,7,11,15,9,9,5,5,11,22
8WVHOXLVJ2_S,8,15,12,23,41,22,14,3,8,34,37
8WVHOXLVJ2_XL,2,3,5,3,21,4,4,4,1,3,9
8WVHOXLVJ2_XS,10,14,17,30,34,16,19,7,7,29,48
8WVHOXLVJ2_XXS,5,10,5,8,17,11,11,5,5,11,32
ARCCMK4UZC_onesize,29,27,38,30,79,27,30,11,22,72,92
