sku_id,channel_id,forecast_units,shipped_units,overstock_units,shortage_units,unit_cost,capital_cost
093KT7ZK38_L,Amsterdam,9,19,10,0,12,29.16
093KT7ZK38_L,Berlin,11,17,6,0,12,17.496
093KT7ZK38_L,Brussels,18,29,11,0,12,32.076
093KT7ZK38_L,Copenhagen,38,44,6,0,12,17.496
093KT7ZK38_L,Helsinki,40,48,8,0,12,23.328
093KT7ZK38_L,Madrid,23,35,12,0,12,34.992
093KT7ZK38_L,Paris,12,23,11,0,12,32.076
093KT7ZK38_L,Platform,4,7,3,0,12,8.748
093KT7ZK38_L,Rome,6,12,6,0,12,17.496
093KT7ZK38_L,Stockholm,26,46,20,0,12,58.32
093KT7ZK38_L,Webshop,84,93,9,0,12,26.244
093KT7ZK38_M,Amsterdam,16,37,21,0,12,61.236
093KT7ZK38_M,Berlin,24,28,4,0,12,11.664
093KT7ZK38_M,Brussels,35,45,10,0,12,29.16
093KT7ZK38_M,Copenhagen,64,67,3,0,12,8.748
093KT7ZK38_M,Helsinki,75,76,1,0,12,2.916
093KT7ZK38_M,Madrid,47,56,9,0,12,26.244
093KT7ZK38_M,Paris,23,35,12,0,12,34.992
093KT7ZK38_M,Platform,9,10,1,0,12,2.916
093KT7ZK38_M,Rome,27,27,0,0,12,0
093KT7ZK38_M,Stockholm,46,83,37,0,12,107.892
093KT7ZK38_M,Webshop,150,151,1,0,12,2.916
093KT7ZK38_S,Amsterdam,39,39,0,0,12,0
093KT7ZK38_S,Berlin,34,36,2,0,12,5.832
093KT7ZK38_S,Brussels,42,60,18,0,12,52.488
093KT7ZK38_S,Copenhagen,75,86,11,0,12,32.076
093KT7ZK38_S,Helsinki,95,107,12,0,12,34.992
093KT7ZK38_S,Madrid,57,57,0,0,12,0
093KT7ZK38_S,Paris,30,55,25,0,12,72.9
093KT7ZK38_S,Platform,12,19,7,0,12,20.412
093KT7ZK38_S,Rome,23,27,4,0,12,11.664
093KT7ZK38_S,Stockholm,134,134,0,0,12,0
093KT7ZK38_S,Webshop,171,190,19,0,12,55.404
093KT7ZK38_XL,Amsterdam,6,11,5,0,12,14.58
