pack_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
P001,1,0,0,0,0,1,1,0,0,1,0
P002,0,0,0,1,1,0,1,0,0,2,1
P003,1,2,1,1,1,1,0,0,0,0,2
P004,0,0,0,0,1,1,0,0,0,0,1
P005,0,0,0,0,0,0,1,0,0,1,0
P006,0,0,2,0,0,0,0,0,1,0,0
P007,3,0,0,0,0,0,0,0,0,0,0
P008,0,0,0,0,0,0,0,0,0,0,5
P009,3,3,3,5,3,0,6,1,3,3,14
P010,0,0,0,0,0,0,1,0,0,1,0
P011,0,2,2,1,2,1,3,2,0,0,1
P012,0,0,2,0,1,0,2,2,2,1,3
P013,1,0,1,1,2,0,0,1,1,1,0
P014,0,2,0,0,0,0,1,0,0,0,5
P015,1,0,0,0,1,0,0,0,0,0,0
P016,1,0,0,1,0,3,1,0,0,2,0
P017,1,0,2,0,3,1,1,0,0,0,1
P018,0,4,0,0,0,0,2,0,0,0,3
P019,0,0,0,0,0,0,0,0,0,0,1
P020,0,0,0,0,1,0,0,0,0,0,0
P021,0,0,0,0,0,0,2,0,0,0,0
P022,0,0,0,0,0,0,0,0,0,0,1
P023,5,5,3,5,9,7,2,0,3,5,14
P024,1,0,0,0,0,0,1,0,1,0,0
P025,4,3,6,7,7,2,3,1,1,4,10
P026,0,0,0,1,0,2,0,0,0,0,0
P027,0,1,3,0,0,0,0,0,1,1,0
P028,0,0,0,1,2,0,0,0,0,0,0
P029,0,0,0,1,2,1,0,0,1,4,0
P030,0,0,1,0,0,1,0,0,0,0,0
P031,0,0,0,0,0,0,0,0,1,2,0
P032,0,0,0,0,1,0,0,1,0,0,3
P033,1,2,0,3,0,0,0,0,0,1,0
P034,0,0,0,0,0,1,1,0,2,0,0
P035,0,0,1,0,0,1,0,0,0,0,0
P036,0,0,4,0,0,0,0,1,1,2,1
P037,0,0,2,0,0,0,0,0,0,0,0
P038,0,0,2,0,1,0,0,0,0,0,0
P039,0,0,0,1,0,0,0,0,3,0,0
P040,0,0,1,0,0,2,0,0,0,0,0
P041,0,0,1,0,0,0,1,0,0,0,0
P042,0,0,1,0,1,1,0,0,1,1,2
P043,2,1,0,2,0,0,0,0,1,2,6
P044,1,3,3,0,0,0,0,1,0,18,1
P045,1,0,0,1,0,0,0,0,0,0,0
P046,0,0,0,0,2,0,0,0,0,0,0
P047,0,3,0,0,0,2,0,0,0,0,1
P048,0,0,0,0,0,0,0,0,0,0,1
P049,0,0,0,0,0,0,0,0,1,0,0
P050,1,0,3,0,0,0,0,0,0,0,0
P051,0,3,0,1,0,0,0,0,0,1,0
P052,0,1,1,0,0,0,0,0,0,1,3
P053,0,0,1,0,1,0,2,0,0,4,0
P054,0,1,1,1,1,0,0,0,1,1,2
P055,3,4,2,6,7,9,6,1,3,11,16
P056,11,9,14,21,15,18,11,3,4,31,44
P057,5,4,4,10,11,2,5,3,2,4,14
P058,0,0,0,5,0,0,0,0,0,0,0
P059,0,1,0,3,1,2,0,0,0,1,1
P060,1,1,3,2,0,2,0,2,0,2,7
P061,1,0,0,3,4,3,4,1,0,8,8
P062,2,5,5,8,11,11,0,2,0,6,26
P063,3,3,4,10,3,5,8,3,3,6,17
P064,0,0,0,0,0,0,0,0,1,0,0
P065,0,4,4,2,0,9,1,0,2,6,7
P066,0,1,1,5,0,0,0,0,0,3,0
P067,0,0,0,0,0,0,0,0,0,0,2
P068,0,1,0,1,0,4,2,0,0,1,4
P069,1,3,7,8,0,0,1,0,2,4,22
P070,0,0,0,1,0,1,0,0,0,0,0
P071,0,0,1,2,3,0,0,1,0,0,0
P072,0,0,0,0,0,0,0,0,0,3,0
P073,0,0,0,0,0,2,2,0,0,0,3
P074,3,2,2,2,2,1,3,2,1,5,9
P075,0,0,0,0,0,1,1,3,0,0,3
P076,1,0,0,3,0,0,0,0,2,4,0
P077,3,3,3,8,6,6,3,2,2,7,11
P078,2,1,0,4,5,0,0,0,1,1,6
P079,5,3,5,10,13,14,8,1,2,15,15
P080,0,0,2,0,0,0,0,2,0,3,8
P081,1,3,0,2,6,0,1,1,0,0,3
P082,0,0,0,0,0,0,1,0,0,0,6
P083,0,3,0,5,0,3,2,0,1,6,12
P084,0,1,0,5,0,0,3,0,0,0,0
P085,0,0,0,0,0,2,1,1,0,0,9
P086,0,1,1,1,3,4,1,0,0,0,6
P087,5,6,12,33,14,10,9,1,5,16,36
P088,0,3,0,1,0,0,2,0,0,0,0
P089,0,2,7,4,13,4,5,1,2,1,8
P090,1,3,0,1,0,0,0,0,0,3,0
P091,1,1,0,1,2,0,2,1,0,1,2
P092,1,0,2,1,1,1,1,1,1,1,0
P093,1,0,4,1,4,3,3,0,2,3,0
P094,0,0,0,2,0,2,0,1,0,1,1
P095,0,0,0,0,0,0,0,0,0,0,1
P096,0,0,0,2,1,0,0,0,0,0,9
P097,1,3,1,1,0,0,0,1,1,0,5
P098,0,1,1,0,0,0,3,0,0,0,1
P099,4,0,0,4,9,0,2,2,0,4,6
P100,0,0,0,0,0,0,1,0,0,0,4
P101,2,1,1,4,3,1,0,0,0,0,5
P102,0,0,0,0,0,0,1,0,0,1,0
P103,0,0,0,9,15,8,2,5,4,16,13
P104,0,0,5,2,1,0,0,0,0,0,8
P105,2,0,0,0,0,0,0,2,0,6,0
P106,2,0,0,0,4,7,0,0,1,0,18
P107,0,0,0,0,0,0,0,0,0,0,4
P108,0,5,3,1,10,7,0,1,3,3,4
P109,0,0,0,0,0,1,0,1,0,0,0
P110,2,2,4,2,5,2,1,1,0,8,10
P111,10,8,23,17,29,16,12,3,6,27,36
P112,2,0,0,1,1,0,2,0,0,0,0
P113,0,1,0,1,1,0,0,0,0,0,0
P114,5,4,0,4,3,6,1,3,1,6,9
P115,1,1,2,2,1,0,0,1,0,1,6
P116,1,1,6,8,9,5,4,1,0,2,9
P117,0,0,0,0,0,2,0,0,0,0,0
P118,0,0,0,3,0,0,0,0,1,0,0
P119,0,1,3,0,10,0,3,1,1,1,13
P120,0,0,0,0,0,1,0,0,0,0,1
P121,0,0,1,0,2,0,1,0,0,0,2
P122,0,1,0,0,0,0,0,0,0,0,0
P123,3,2,0,4,0,0,3,0,0,1,0
P124,1,1,2,11,7,2,0,1,2,2,7
P125,1,0,3,1,3,0,0,1,0,2,0
P126,8,8,15,23,33,17,12,4,8,15,49
P127,1,2,2,3,5,1,1,1,1,4,1
P128,1,2,1,0,0,2,0,0,0,3,3
P129,0,1,0,1,0,0,1,0,1,0,3
