restart,iteration,operator,current_cost,restart_best_cost,global_best_cost,temperature,pack_types_current,pack_types_best,shortage_units_best,overstock_units_best,elapsed_seconds
1,1,reallocate,950369,950288,943772,5000,488,488,0,0,0.11731
1,250,split_pack,677963,677963,562557,4414.55,530,526,0,3807,5.25664
1,500,mutate_pack_content,516240,516240,438252,3895.71,551,551,0,10790,11.2414
1,750,reallocate,456638,456557,409146,3437.84,564,564,0,15964,16.5808
1,1000,reallocate,450798,448984,394497,3033.79,571,571,0,18991,21.9645
1,1250,reallocate,448506,448032,388674,2677.23,578,575,0,20553,27.0231
1,1500,reallocate,444884,444508,387032,2362.57,581,581,0,24060,32.4544
1,1750,reallocate,444059,441340,387032,2084.9,586,586,0,25147,38.0991
1,2000,reallocate,447310,441340,386193,1839.86,584,586,0,25147,43.0188
1,2250,reallocate,448295,441340,386193,1623.62,587,586,0,25147,48.3049
1,2500,reallocate,448036,441340,386193,1432.79,591,586,0,25147,53.2293
1,2750,split_pack,443708,441340,385643,1264.4,592,586,0,25147,57.9416
1,3000,reallocate,445048,441340,384659,1115.79,592,586,0,25147,62.8445
1,3250,reallocate,447251,441340,378498,984.651,593,586,0,25147,67.8218
1,3500,reallocate,445792,441340,372303,868.924,592,586,0,25147,72.2272
1,3750,reallocate,443128,441340,367107,766.799,594,586,0,25147,76.7715
1,4000,reallocate,440105,439420,363181,676.676,592,591,0,30324,81.687
1,4250,reallocate,440928,437550,360997,597.146,592,592,0,30437,86.3096
1,4500,reallocate,439462,437550,354337,526.963,593,592,0,30437,90.9847
1,4750,reallocate,438064,437328,349112,465.029,592,593,0,31153,95.5838
1,5000,reallocate,435671,435170,343619,410.374,595,595,0,31277,100.247
1,5250,reallocate,434327,433855,338665,362.142,594,594,0,31224,105.006
1,5500,reallocate,432532,430576,336260,319.579,596,596,0,31251,109.797
1,5750,reallocate,430570,430540,329432,282.019,596,596,0,31556,114.369
1,6000,reallocate,425835,425663,321783,248.873,596,596,0,31322,119.068
