sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
093KT7ZK38_L,19,29,21,31,36,33,16,7,6,24,72
093KT7ZK38_M,18,25,29,53,67,39,19,7,23,54,127
093KT7ZK38_S,32,29,37,65,91,52,25,10,19,112,142
093KT7ZK38_XL,7,7,7,14,11,8,6,2,8,13,37
093KT7ZK38_XS,30,36,34,54,78,48,18,16,29,75,192
093KT7ZK38_XXS,22,23,24,44,52,25,25,8,12,46,122
0Z6K6Y21KR_L,3,4,2,3,4,6,4,4,4,10,12
0Z6K6Y21KR_M,2,7,5,5,4,4,4,2,3,6,6
0Z6K6Y21KR_S,9,8,10,17,12,11,16,4,6,27,18
0Z6K6Y21KR_XL,0,1,1,2,4,4,2,1,1,1,4
0Z6K6Y21KR_XS,7,8,14,17,14,11,15,3,8,26,27
0Z6K6Y21KR_XXS,6,4,7,13,6,7,4,2,1,18,10
1KZZ8PMFB1_L,8,11,12,12,24,12,10,2,5,19,18
1KZZ8PMFB1_M,5,8,9,7,10,8,10,5,5,11,34
1KZZ8PMFB1_S,3,4,7,8,5,3,7,3,1,13,11
1KZZ8PMFB1_XL,4,8,12,17,13,8,5,3,2,10,25
1KZZ8PMFB1_XS,2,4,2,6,4,6,2,2,2,4,2
1KZZ8PMFB1_XXL,4,3,4,6,5,4,4,3,1,5,9
1S7GY8JV18_L,50,37,69,89,148,54,53,27,14,103,160
1S7GY8JV18_M,49,78,128,143,113,109,57,19,34,156,297
1S7GY8JV18_S,36,34,47,78,71,60,47,25,19,101,152
1S7GY8JV18_XL,22,33,35,49,60,36,33,6,12,62,116
1S7GY8JV18_XS,17,20,48,54,51,28,16,9,12,40,92
1S7GY8JV18_XXL,13,21,28,56,44,29,19,9,7,43,88
20RE1NI7XN_L,36,42,82,84,109,55,41,18,22,110,128
20RE1NI7XN_M,55,49,80,102,142,84,51,28,40,122,196
20RE1NI7XN_S,26,31,38,35,65,66,29,12,24,73,132
20RE1NI7XN_XL,16,15,34,33,42,34,17,7,9,51,64
20RE1NI7XN_XS,19,16,34,23,42,31,18,8,8,44,87
20RE1NI7XN_XXL,10,11,22,26,24,17,9,5,12,36,43
29NEO5JDJT_L,19,15,38,64,53,33,21,12,15,53,134
29NEO5JDJT_M,42,37,66,85,103,63,41,17,22,65,134
