pack_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
P001,0,0,0,2,0,3,0,0,0,0,1
P002,3,1,0,3,0,1,1,2,0,5,0
P003,0,1,1,0,1,0,0,0,0,1,3
P004,1,3,0,0,0,0,0,0,1,1,1
P005,2,1,2,3,2,2,1,0,0,4,0
P006,2,0,2,4,1,0,2,1,2,4,1
P007,2,1,0,3,0,5,1,0,2,2,0
P008,1,1,2,1,1,1,2,1,0,4,2
P009,4,7,11,11,13,4,3,2,1,9,16
P010,1,0,0,0,4,0,0,0,0,0,0
P011,0,0,3,4,7,1,0,1,1,1,0
P012,1,4,2,1,0,1,1,0,1,1,5
P013,0,0,0,5,0,1,2,0,0,0,2
P014,1,0,0,0,0,2,0,0,0,0,0
P015,0,0,4,1,2,0,1,0,0,0,1
P016,1,1,4,1,0,0,2,0,0,0,0
P017,0,0,0,0,0,2,0,0,0,2,0
P018,0,0,2,3,3,2,1,0,1,0,4
P019,3,5,0,17,7,4,8,3,1,0,1
P020,1,1,2,5,4,2,1,1,2,7,3
P021,0,0,0,4,0,0,0,0,0,1,0
P022,0,0,1,0,0,0,0,0,0,0,0
P023,0,1,0,1,0,0,1,0,1,0,0
P024,0,0,0,0,0,0,0,0,0,1,2
P025,0,0,2,11,0,0,0,0,2,2,0
P026,0,4,4,2,4,1,3,0,1,0,7
P027,0,0,0,1,0,1,0,0,0,1,0
P028,1,6,4,11,7,3,4,0,2,2,20
P029,0,2,0,0,12,5,8,2,3,2,1
P030,3,4,3,3,3,1,2,1,2,7,0
P031,4,0,7,12,0,3,7,0,0,12,17
P032,0,0,0,0,0,0,0,0,1,0,0
P033,0,1,2,0,0,0,0,1,1,0,4
P034,0,1,0,3,1,0,1,0,0,0,1
P035,0,0,0,0,1,1,1,0,1,0,0
P036,0,0,1,0,0,0,0,0,0,0,0
P037,0,0,0,0,0,2,0,0,1,2,0
P038,0,1,0,1,0,0,0,0,0,0,0
P039,1,0,2,0,0,0,0,0,1,0,0
P040,1,0,7,4,0,2,1,0,3,7,7
P041,8,6,10,8,19,8,1,2,6,17,26
P042,0,0,0,0,1,0,0,1,0,1,0
P043,0,0,0,0,1,0,0,0,1,0,1
P044,0,0,0,0,0,0,1,0,0,0,1
P045,2,0,0,0,2,0,0,0,1,5,0
