restart,iteration,operator,current_cost,restart_best_cost,global_best_cost,temperature,pack_types_current,pack_types_best,shortage_units_best,overstock_units_best,elapsed_seconds
1,1,mutate_pack_content,768924,768924,768924,5000,502,502,5588,39,0.122111
1,250,remove_pack,634117,634117,619390,4414.55,566,566,1612,2788,8.26376
1,500,mutate_pack_content,579196,579196,535967,3895.71,628,628,871,3182,17.5612
1,750,mutate_pack_content,562652,562387,499357,3437.84,720,706,820,3523,24.9755
1,1000,add_curve_pack,552003,551819,461433,3033.79,836,823,1008,3720,33.1289
1,1250,add_curve_pack,510424,508818,407561,2677.23,957,948,830,4307,43.7586
1,1500,add_curve_pack,481351,481351,388157,2362.57,1096,1073,713,4852,55.6676
1,1750,add_curve_pack,481377,481335,365197,2084.9,1211,1096,713,4847,66.9955
1,2000,add_curve_pack,481075,480669,351481,1839.86,1330,1269,647,4919,80.1694
1,2250,add_curve_pack,481896,480669,330988,1623.62,1437,1269,647,4919,93.1783
1,2500,add_curve_pack,481886,480669,313349,1432.79,1538,1269,647,4919,106.799
1,2750,add_curve_pack,482047,480669,302644,1264.4,1623,1269,647,4919,121.504
1,3000,add_curve_pack,480233,480109,292196,1115.79,1718,1689,463,5392,136.951
1,3250,add_curve_pack,480362,480109,288280,984.651,1815,1689,463,5392,152.878
1,3500,add_curve_pack,481037,480109,278359,868.924,1891,1689,463,5392,169.427
1,3750,add_curve_pack,480748,480109,270563,766.799,1975,1689,463,5392,186.351
1,4000,add_curve_pack,477263,477263,261526,676.676,2057,2057,483,5590,204.017
1,4250,add_curve_pack,477606,477199,254800,597.146,2143,2100,471,5633,221.658
1,4500,add_curve_pack,477768,477199,249719,526.963,2225,2100,471,5633,240.382
1,4750,add_curve_pack,478737,477199,243018,465.029,2304,2100,471,5633,259.78
1,5000,add_curve_pack,476146,476146,236903,410.374,2364,2354,417,5695,279.574
1,5250,add_curve_pack,476323,476146,233621,362.142,2440,2354,417,5695,299.034
1,5500,mutate_pack_content,476262,476146,226949,319.579,2513,2354,417,5695,319.09
1,5750,mutate_pack_content,475796,475793,220987,282.019,2585,2560,360,5720,339.848
1,6000,add_curve_pack,475790,475790,217140,248.873,2649,2625,359,5716,360.802
1,6250,add_curve_pack,475843,475790,213683,219.623,2729,2625,359,5716,382.406
1,6500,add_curve_pack,475931,475790,210506,193.81,2793,2625,359,5716,404.556
1,6750,add_curve_pack,476334,475790,207221,171.032,2854,2625,359,5716,426.854
1,7000,add_curve_pack,476321,475790,204690,150.93,2905,2625,359,5716,449.414
1,7250,add_curve_pack,476269,475790,202815,133.191,2959,2625,359,5716,474.273
1,7500,add_curve_pack,476231,475790,201595,117.537,3015,2625,359,5716,499.564
1,7750,add_curve_pack,476229,475790,199671,103.723,3080,2625,359,5716,526.738
1,8000,add_curve_pack,476229,475790,198154,91.5324,3129,2625,359,5716,553.895
1,8250,add_curve_pack,476194,475790,196206,80.7745,3188,2625,359,5716,579.226
1,8500,add_curve_pack,476210,475790,195142,71.281,3241,2625,359,5716,606.134
1,8750,add_curve_pack,476210,475790,194793,62.9033,3285,2625,359,5716,632.036
1,9000,add_curve_pack,476250,475790,194547,55.5103,3334,2625,359,5716,659.454
1,9250,add_curve_pack,476250,475790,193317,48.9861,3391,2625,359,5716,687.095
1,9500,add_curve_pack,475939,475790,191692,43.2287,3448,2625,359,5716,716.156
1,9750,add_curve_pack,475592,475592,190968,38.148,3513,3496,343,5718,743.657
1,10000,add_curve_pack,475559,475559,190551,33.6645,3571,3519,343,5718,770.019
1,10250,add_curve_pack,475537,475537,190551,29.7079,3630,3595,343,5718,792.163
1,10500,add_curve_pack,475515,475515,190551,26.2163,3673,3649,343,5718,814.241
1,10750,add_curve_pack,475539,475515,190551,23.1351,3722,3649,343,5718,836.272
1,11000,add_curve_pack,475341,475341,190551,20.416,3767,3725,343,5686,858.526
1,11250,add_curve_pack,475341,475341,190551,18.0165,3813,3725,343,5686,880.801
2,1,merge_packs,725153,725153,708823,5000,495,495,2210,601,0.301407
2,250,remove_pack,658290,658065,632193,4414.55,521,522,1857,2669,7.82333
2,500,mutate_pack_content,612953,609515,543177,3895.71,536,535,1847,3567,15.5807
2,750,mutate_pack_content,533176,533176,501978,3437.84,560,560,1554,4595,23.2958
2,1000,mutate_pack_content,464546,464546,461433,3033.79,571,571,1702,5326,32.1398
2,1250,mutate_pack_content,409586,409186,409186,2677.23,571,571,1740,6251,41.6831
2,1500,mutate_pack_content,396977,396977,396977,2362.57,571,571,1732,7183,51.3883
2,1750,mutate_pack_content,379851,379814,373594,2084.9,571,571,1337,8411,61.0995
2,2000,mutate_pack_content,366160,366160,359683,1839.86,571,571,1240,9274,70.6559
2,2250,mutate_pack_content,345261,345261,345261,1623.62,571,571,1323,8778,81.2841
2,2500,mutate_pack_content,333309,331050,331050,1432.79,571,571,1160,9108,90.9657
2,2750,mutate_pack_content,320359,320359,320359,1264.4,571,571,1202,9468,100.98
2,3000,mutate_pack_content,314669,311459,311459,1115.79,571,571,1072,9980,111.662
2,3250,mutate_pack_content,302231,302231,302231,984.651,571,571,1028,10254,121.95
2,3500,mutate_pack_content,292832,292820,292820,868.924,571,571,881,10870,132.699
2,3750,mutate_pack_content,290353,290328,290328,766.799,571,571,908,10697,142.469
2,4000,mutate_pack_content,291460,288874,288281,676.676,571,571,892,10563,152.493
2,4250,mutate_pack_content,286564,285501,280939,597.146,571,571,772,10295,162.683
2,4500,mutate_pack_content,279927,279203,277091,526.963,571,571,815,10242,172.938
2,4750,mutate_pack_content,271046,271046,271046,465.029,571,571,939,9571,183.374
2,5000,mutate_pack_content,269831,269597,265371,410.374,571,571,963,9409,193.91
2,5250,mutate_pack_content,263777,263607,261806,362.142,571,571,969,9446,203.822
2,5500,mutate_pack_content,259365,259284,259041,319.579,571,571,949,9455,213.693
2,5750,mutate_pack_content,256357,256354,254700,282.019,571,571,874,9446,223.776
2,6000,mutate_pack_content,254505,253610,251356,248.873,571,571,896,9146,233.678
2,6250,mutate_pack_content,249380,249043,249043,219.623,571,571,741,8933,243.151
2,6500,mutate_pack_content,247041,245989,245989,193.81,571,571,759,8729,253.064
2,6750,mutate_pack_content,242706,242365,242365,171.032,571,571,850,8372,263.39
2,7000,mutate_pack_content,240696,240224,239819,150.93,571,571,822,8188,273.134
2,7250,mutate_pack_content,237720,237571,236366,133.191,571,571,779,8433,283.103
2,7500,mutate_pack_content,236036,235859,234584,117.537,571,571,735,8501,292.464
2,7750,mutate_pack_content,234147,234147,233293,103.723,571,571,801,8284,301.995
2,8000,mutate_pack_content,229033,229033,229033,91.5324,571,571,588,8309,311.769
2,8250,mutate_pack_content,226533,226528,226528,80.7745,571,571,561,8207,321.193
2,8500,mutate_pack_content,223322,223322,223322,71.281,571,571,507,8093,330.793
2,8750,mutate_pack_content,221058,220987,220987,62.9033,571,571,481,7960,340.377
2,9000,mutate_pack_content,219350,219279,219279,55.5103,571,571,480,8063,349.432
2,9250,mutate_pack_content,217317,217317,217317,48.9861,571,571,477,7977,358.512
2,9500,mutate_pack_content,216140,216055,216055,43.2287,571,571,463,7926,367.828
2,9750,mutate_pack_content,214726,214705,214705,38.148,571,571,457,7859,377.462
2,10000,mutate_pack_content,213544,213544,213544,33.6645,571,571,483,7693,386.656
2,10250,mutate_pack_content,212363,212363,212363,29.7079,571,571,427,7713,396.236
2,10500,mutate_pack_content,210168,210168,210168,26.2163,571,571,351,7661,405.645
2,10750,mutate_pack_content,208714,208714,208714,23.1351,571,571,362,7506,415.256
2,11000,mutate_pack_content,207602,207565,207565,20.416,571,571,394,7361,424.695
2,11250,mutate_pack_content,206564,206495,206495,18.0165,571,571,402,7297,433.809
2,11500,mutate_pack_content,205560,205560,205560,15.899,571,571,404,7280,443.184
2,11750,mutate_pack_content,204518,204516,204516,14.0304,571,571,385,7297,452.615
2,12000,mutate_pack_content,203540,203526,203526,12.3814,571,571,386,7229,462.341
2,12250,mutate_pack_content,202964,202964,202964,10.9262,571,571,384,7164,472.317
2,12500,mutate_pack_content,202613,202613,202613,9.64202,571,571,411,7074,482.888
2,12750,mutate_pack_content,201918,201918,201918,8.50878,571,571,373,7132,492.577
2,13000,mutate_pack_content,201487,201487,201487,7.50874,571,571,381,7098,502.269
2,13250,mutate_pack_content,200722,200722,200722,6.62623,571,571,400,6998,512.186
2,13500,mutate_pack_content,199829,199816,199816,5.84745,571,571,353,6953,522.32
2,13750,mutate_pack_content,199468,199468,199468,5.16019,571,571,378,6926,533.462
2,14000,mutate_pack_content,198758,198758,198758,4.55371,571,571,366,6881,543.395
2,14250,mutate_pack_content,198172,198172,198172,4.01851,571,571,366,6831,553.298
2,14500,mutate_pack_content,197599,197599,197599,3.54621,571,571,358,6778,563.407
2,14750,mutate_pack_content,196546,196546,196546,3.12942,571,571,347,6795,573.19
2,15000,mutate_pack_content,195880,195877,195877,2.76162,571,571,329,6752,582.506
2,15250,mutate_pack_content,195634,195634,195634,2.43705,571,571,330,6717,592.397
2,15500,mutate_pack_content,195263,195263,195263,2.15062,571,571,322,6697,601.685
2,15750,mutate_pack_content,195131,195131,195131,1.89785,571,571,312,6714,611.24
2,16000,mutate_pack_content,194979,194979,194979,1.6748,571,571,311,6707,620.425
2,16250,mutate_pack_content,194793,194793,194793,1.47796,571,571,301,6712,629.647
2,16500,mutate_pack_content,194698,194698,194698,1.30425,571,571,310,6685,638.525
2,16750,mutate_pack_content,194682,194682,194682,1.15096,571,571,302,6712,647.743
2,17000,mutate_pack_content,194589,194589,194589,1.01569,571,571,287,6735,657.677
2,17250,mutate_pack_content,194544,194544,194544,0.896315,571,571,270,6766,667.298
2,17500,mutate_pack_content,194537,194537,194097,0.79097,571,571,267,6772,676.518
2,17750,mutate_pack_content,194537,194537,193317,0.698007,571,571,267,6772,686.924
2,18000,mutate_pack_content,194521,194521,192456,0.61597,571,571,269,6756,698.057
2,18250,mutate_pack_content,194504,194504,191977,0.543574,571,571,264,6764,708.124
2,18500,mutate_pack_content,194457,194457,191681,0.479688,571,571,261,6780,718.057
2,18750,mutate_pack_content,194293,194293,191485,0.42331,571,571,245,6766,727.291
2,19000,mutate_pack_content,194291,194291,191148,0.373558,571,571,243,6766,736.737
2,19250,mutate_pack_content,194290,194290,190819,0.329653,571,571,242,6766,746.673
2,19500,mutate_pack_content,194273,194273,190551,0.290909,571,571,243,6760,755.757
2,19750,mutate_pack_content,194273,194273,190551,0.256718,571,571,243,6760,764.86
2,20000,mutate_pack_content,194273,194273,190551,0.226546,571,571,243,6760,773.175
3,1,split_pack,734225,734225,708823,5000,492,492,1761,869,0.290994
3,250,mutate_pack_content,653522,652980,621259,4414.55,567,563,876,2028,8.06186
3,500,merge_packs,584521,584521,535967,3895.71,619,618,1754,2582,16.8037
3,750,mutate_pack_content,562088,562088,499357,3437.84,695,695,1629,3012,24.8806
3,1000,add_curve_pack,514006,513910,442614,3033.79,796,794,1113,3911,35.2196
3,1250,add_curve_pack,487452,487452,402955,2677.23,923,923,886,4885,46.6462
3,1500,add_curve_pack,467053,467053,384914,2362.57,1088,1059,689,5189,57.1585
3,1750,add_curve_pack,465232,465232,364275,2084.9,1225,1225,702,5397,68.574
3,2000,add_curve_pack,464299,464267,351198,1839.86,1345,1227,685,5414,80.5606
3,2250,add_curve_pack,460374,460354,331050,1623.62,1461,1423,664,5477,92.6679
3,2500,add_curve_pack,460531,460354,313579,1432.79,1582,1423,664,5477,105.863
3,2750,add_curve_pack,454208,454088,304035,1264.4,1683,1679,532,5387,120.477
3,3000,add_curve_pack,454331,454088,292820,1115.79,1775,1679,532,5387,135.466
3,3250,add_curve_pack,454446,454088,288874,984.651,1866,1679,532,5387,151.062
3,3500,add_curve_pack,454735,454088,280374,868.924,1949,1679,532,5387,167.1
3,3750,add_curve_pack,454754,454088,271046,766.799,2026,1679,532,5387,183.956
3,4000,add_curve_pack,454754,454088,263059,676.676,2096,1679,532,5387,201.254
3,4250,add_curve_pack,454635,454088,255529,597.146,2157,1679,532,5387,219.067
3,4500,add_curve_pack,454635,454088,251095,526.963,2236,1679,532,5387,237.396
3,4750,add_curve_pack,454685,454088,244104,465.029,2319,1679,532,5387,256.37
3,5000,add_curve_pack,454358,454088,238575,410.374,2388,1679,532,5387,275.988
3,5250,add_curve_pack,453555,453555,234204,362.142,2453,2433,479,5397,295.683
3,5500,add_curve_pack,453338,453338,227247,319.579,2511,2500,477,5397,315.587
3,5750,add_curve_pack,453201,453201,222259,282.019,2585,2555,476,5396,336.426
3,6000,add_curve_pack,453201,453201,217449,248.873,2655,2555,476,5396,357.094
3,6250,add_curve_pack,453201,453201,214515,219.623,2720,2555,476,5396,378.618
3,6500,add_curve_pack,453201,453201,211296,193.81,2788,2555,476,5396,400.314
3,6750,add_curve_pack,446080,446080,207633,171.032,2832,2825,432,5471,422.575
3,7000,add_curve_pack,446080,446080,205438,150.93,2887,2825,432,5471,445.049
3,7250,add_curve_pack,446080,446080,203300,133.191,2944,2825,432,5471,469.324
3,7500,add_curve_pack,446080,446080,201626,117.537,2998,2825,432,5471,495.487
3,7750,add_curve_pack,446080,446080,199816,103.723,3045,2825,432,5471,522.278
3,8000,add_curve_pack,446080,446080,198440,91.5324,3104,2825,432,5471,550.267
3,8250,add_curve_pack,446080,446080,196344,80.7745,3160,2825,432,5471,576.545
3,8500,add_curve_pack,446080,446080,195226,71.281,3217,2825,432,5471,603.28
3,8750,add_curve_pack,445505,445505,194793,62.9033,3270,3227,434,5477,629.713
3,9000,add_curve_pack,445505,445505,194589,55.5103,3324,3227,434,5477,657.229
3,9250,add_curve_pack,445505,445505,193393,48.9861,3380,3227,434,5477,685.085
3,9500,add_curve_pack,445505,445505,191719,43.2287,3434,3227,434,5477,714.514
3,9750,add_curve_pack,445505,445505,191013,38.148,3480,3227,434,5477,741.973
3,10000,add_curve_pack,445505,445505,190551,33.6645,3525,3227,434,5477,769.193
3,10250,add_curve_pack,445505,445505,190551,29.7079,3571,3227,434,5477,792.076
3,10500,add_curve_pack,445437,445437,190551,26.2163,3611,3603,434,5479,814.365
3,10750,add_curve_pack,445437,445437,190551,23.1351,3657,3603,434,5479,836.058
3,11000,add_curve_pack,445437,445437,190551,20.416,3695,3603,434,5479,858.074
3,11250,add_curve_pack,445369,445330,190551,18.0165,3734,3715,436,5494,880.199
4,1,merge_packs,719032,719032,719032,5000,497,497,920,1127,0.279461
4,250,reallocate,650515,648168,618502,4414.55,570,564,540,3392,8.61747
4,500,mutate_pack_content,576484,576484,535967,3895.71,617,617,896,4463,16.9681
4,750,mutate_pack_content,520853,519619,500386,3437.84,666,653,633,5568,24.2724
4,1000,mutate_pack_content,483779,483779,461433,3033.79,700,700,1638,6081,32.7703
4,1250,mutate_pack_content,444533,444533,407591,2677.23,703,703,1102,6468,43.465
