sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
093KT7ZK38_L,10,15,19,31,35,20,10,6,11,24,76
093KT7ZK38_M,15,26,28,53,63,39,21,7,22,38,125
093KT7ZK38_S,33,42,45,68,81,57,44,22,19,113,150
093KT7ZK38_XL,5,17,8,24,22,21,6,3,6,30,50
093KT7ZK38_XS,29,39,29,54,78,41,47,17,29,71,196
093KT7ZK38_XXS,23,22,22,45,51,25,24,7,17,50,117
0Z6K6Y21KR_L,3,4,4,11,3,5,5,1,1,6,11
0Z6K6Y21KR_M,3,6,5,6,4,4,4,2,3,5,7
0Z6K6Y21KR_S,7,9,15,17,14,9,16,3,6,26,16
0Z6K6Y21KR_XL,0,2,3,3,4,4,3,1,1,7,4
0Z6K6Y21KR_XS,7,8,14,17,13,15,15,5,9,26,27
0Z6K6Y21KR_XXS,6,6,7,11,6,7,4,2,4,16,10
1KZZ8PMFB1_L,8,8,13,13,25,14,16,2,6,20,29
1KZZ8PMFB1_M,4,9,8,13,11,12,14,3,5,24,34
1KZZ8PMFB1_S,3,4,6,14,11,4,7,3,1,11,9
1KZZ8PMFB1_XL,4,8,12,16,13,10,12,3,2,19,21
1KZZ8PMFB1_XS,2,2,1,4,5,6,6,1,2,4,6
1KZZ8PMFB1_XXL,4,2,5,9,5,4,4,2,1,7,9
1S7GY8JV18_L,56,44,77,63,148,65,56,28,31,109,221
1S7GY8JV18_M,52,79,132,149,148,103,71,14,38,157,251
1S7GY8JV18_S,36,38,62,82,87,52,44,25,18,101,152
1S7GY8JV18_XL,21,24,66,95,51,43,25,7,12,57,116
1S7GY8JV18_XS,23,19,48,54,55,31,23,8,12,40,96
1S7GY8JV18_XXL,11,10,25,48,40,23,16,7,6,32,77
20RE1NI7XN_L,38,41,86,85,108,50,31,22,24,104,174
20RE1NI7XN_M,66,56,97,106,157,93,54,31,40,177,243
20RE1NI7XN_S,27,33,40,29,67,58,29,13,24,64,134
20RE1NI7XN_XL,13,13,35,32,29,25,15,8,8,47,63
20RE1NI7XN_XS,16,15,36,20,41,32,16,9,9,45,87
20RE1NI7XN_XXL,9,10,22,26,19,16,10,4,13,37,52
29NEO5JDJT_L,21,16,40,63,53,33,21,12,15,45,134
29NEO5JDJT_M,47,20,64,86,71,63,42,14,22,68,162
29NEO5JDJT_S,27,15,25,34,51,30,28,7,11,21,80
29NEO5JDJT_XL,14,10,27,33,31,15,15,7,9,24,70
29NEO5JDJT_XS,5,9,15,19,12,11,9,3,13,21,55
29NEO5JDJT_XXL,18,7,7,13,13,12,11,5,7,22,30
50WUQDWI2V_L,8,10,8,17,15,8,8,2,4,16,27
50WUQDWI2V_M,11,13,16,30,26,22,13,5,5,29,50
50WUQDWI2V_S,21,24,50,95,54,28,23,10,17,63,106
50WUQDWI2V_XL,4,6,8,12,9,14,8,1,4,9,26
50WUQDWI2V_XS,47,32,43,72,61,52,39,12,17,62,123
50WUQDWI2V_XXS,18,24,30,45,44,21,26,4,14,27,124
83N1Y7P1Q5_L,25,19,40,43,58,47,42,11,15,62,98
83N1Y7P1Q5_M,18,21,23,33,35,28,27,8,11,45,69
83N1Y7P1Q5_S,9,6,13,21,19,14,13,8,6,24,39
83N1Y7P1Q5_XL,17,15,25,27,32,27,28,7,11,48,62
83N1Y7P1Q5_XS,4,5,8,14,6,6,7,5,2,8,18
83N1Y7P1Q5_XXL,6,8,9,14,16,10,11,2,4,16,27
8D2X9QGLQF_L,13,9,11,5,13,8,10,3,5,17,43
8D2X9QGLQF_M,9,7,8,16,12,7,6,1,5,16,24
8D2X9QGLQF_S,4,3,5,6,7,5,1,2,3,4,9
8D2X9QGLQF_XL,7,4,7,6,7,8,8,3,2,12,17
8D2X9QGLQF_XS,2,1,1,4,4,2,2,0,0,2,7
8D2X9QGLQF_XXL,2,2,3,3,6,3,3,2,1,3,10
8WVHOXLVJ2_L,2,2,2,4,4,2,6,1,2,3,7
8WVHOXLVJ2_M,4,7,4,8,11,7,7,3,3,7,18
8WVHOXLVJ2_S,7,8,8,16,33,17,13,2,6,28,31
8WVHOXLVJ2_XL,3,2,12,6,11,3,5,0,1,5,16
8WVHOXLVJ2_XS,7,8,14,28,30,14,13,4,3,20,39
8WVHOXLVJ2_XXS,5,8,5,9,17,9,8,3,4,9,22
ARCCMK4UZC_onesize,25,18,30,24,66,22,31,10,20,60,80
AU6KWT18AC_L,8,7,8,14,18,7,6,3,2,20,34
AU6KWT18AC_M,15,9,20,29,41,17,10,4,7,19,61
AU6KWT18AC_S,33,24,43,67,96,39,17,8,17,43,139
AU6KWT18AC_XL,14,7,5,8,24,16,8,5,5,11,36
AU6KWT18AC_XS,53,58,59,93,101,44,38,19,25,94,251
AU6KWT18AC_XXS,37,25,24,40,47,38,20,7,12,46,117
AVGFALJGZU_L,2,3,12,12,9,3,5,1,1,7,9
AVGFALJGZU_M,3,5,3,11,7,8,7,3,3,9,10
AVGFALJGZU_S,6,9,14,17,9,8,7,3,4,15,23
AVGFALJGZU_XL,1,2,3,4,2,3,2,0,1,8,6
AVGFALJGZU_XS,11,14,21,33,23,15,10,3,6,26,32
AVGFALJGZU_XXS,7,10,15,19,16,15,7,1,10,14,28
B5K8O3NA22_L,21,25,32,57,44,37,29,10,17,55,147
B5K8O3NA22_M,26,25,26,70,56,42,33,11,18,87,122
B5K8O3NA22_S,12,15,13,29,27,18,15,6,8,31,114
B5K8O3NA22_XL,7,11,10,21,15,17,10,4,6,21,47
B5K8O3NA22_XS,6,11,16,15,14,11,10,3,4,24,26
B5K8O3NA22_XXL,5,10,7,18,14,10,8,2,3,19,29
B5ZJF102L8_onesize,29,37,53,84,133,39,23,15,19,78,125
B8OG8GFQDG_L,2,0,5,3,4,3,2,1,1,3,7
B8OG8GFQDG_M,5,3,3,8,8,5,6,1,3,6,15
B8OG8GFQDG_S,9,11,12,17,15,11,12,2,11,20,30
B8OG8GFQDG_XL,2,2,6,4,3,3,2,1,1,8,8
B8OG8GFQDG_XS,11,10,16,21,20,14,15,2,8,22,32
B8OG8GFQDG_XXS,7,8,8,10,15,17,9,5,9,15,45
BH075SYWYT_L,5,6,11,10,11,8,5,2,3,11,25
BH075SYWYT_M,17,7,11,20,26,19,12,6,4,20,43
BH075SYWYT_S,8,21,35,75,59,29,26,7,8,62,69
BH075SYWYT_XL,5,4,10,20,18,8,9,1,3,10,22
BH075SYWYT_XS,23,30,41,61,52,51,29,7,17,56,99
BH075SYWYT_XXS,18,14,15,41,24,22,27,8,4,30,36
D9J7V1UG3B_L,36,37,59,67,69,39,34,17,14,81,238
D9J7V1UG3B_M,34,52,69,95,116,56,31,25,25,101,259
D9J7V1UG3B_S,22,26,37,49,43,48,17,8,14,59,106
D9J7V1UG3B_XL,10,15,18,25,25,24,15,4,8,16,46
