sku_id,channel_id,forecast_units,shipped_units,overstock_units,shortage_units,unit_cost,capital_cost
093KT7ZK38_L,Amsterdam,7,10,3,0,12,8.748
093KT7ZK38_L,Berlin,9,15,6,0,12,17.496
093KT7ZK38_L,Brussels,15,19,4,0,12,11.664
093KT7ZK38_L,Copenhagen,31,31,0,0,12,0
093KT7ZK38_L,Helsinki,33,35,2,0,12,5.832
093KT7ZK38_L,Madrid,19,20,1,0,12,2.916
093KT7ZK38_L,Paris,10,10,0,0,12,0
093KT7ZK38_L,Platform,3,6,3,0,12,8.748
093KT7ZK38_L,Rome,5,11,6,0,12,17.496
093KT7ZK38_L,Stockholm,21,24,3,0,12,8.748
093KT7ZK38_L,Webshop,70,76,6,0,12,17.496
093KT7ZK38_M,Amsterdam,13,15,2,0,12,5.832
093KT7ZK38_M,Berlin,20,26,6,0,12,17.496
093KT7ZK38_M,Brussels,29,28,0,1,12,0
093KT7ZK38_M,Copenhagen,53,53,0,0,12,0
093KT7ZK38_M,Helsinki,62,63,1,0,12,2.916
093KT7ZK38_M,Madrid,39,39,0,0,12,0
093KT7ZK38_M,Paris,19,21,2,0,12,5.832
093KT7ZK38_M,Platform,7,7,0,0,12,0
093KT7ZK38_M,Rome,22,22,0,0,12,0
093KT7ZK38_M,Stockholm,38,38,0,0,12,0
093KT7ZK38_M,Webshop,125,125,0,0,12,0
093KT7ZK38_S,Amsterdam,32,33,1,0,12,2.916
093KT7ZK38_S,Berlin,28,42,14,0,12,40.824
093KT7ZK38_S,Brussels,35,45,10,0,12,29.16
093KT7ZK38_S,Copenhagen,62,68,6,0,12,17.496
093KT7ZK38_S,Helsinki,79,81,2,0,12,5.832
093KT7ZK38_S,Madrid,47,57,10,0,12,29.16
093KT7ZK38_S,Paris,25,44,19,0,12,55.404
093KT7ZK38_S,Platform,10,22,12,0,12,34.992
093KT7ZK38_S,Rome,19,19,0,0,12,0
093KT7ZK38_S,Stockholm,111,113,2,0,12,5.832
093KT7ZK38_S,Webshop,142,150,8,0,12,23.328
093KT7ZK38_XL,Amsterdam,5,5,0,0,12,0
093KT7ZK38_XL,Berlin,8,17,9,0,12,26.244
093KT7ZK38_XL,Brussels,8,8,0,0,12,0
093KT7ZK38_XL,Copenhagen,15,24,9,0,12,26.244
093KT7ZK38_XL,Helsinki,11,22,11,0,12,32.076
093KT7ZK38_XL,Madrid,8,21,13,0,12,37.908
093KT7ZK38_XL,Paris,6,6,0,0,12,0
093KT7ZK38_XL,Platform,1,3,2,0,12,5.832
093KT7ZK38_XL,Rome,2,6,4,0,12,11.664
093KT7ZK38_XL,Stockholm,13,30,17,0,12,49.572
093KT7ZK38_XL,Webshop,36,50,14,0,12,40.824
093KT7ZK38_XS,Amsterdam,30,29,0,1,12,0
093KT7ZK38_XS,Berlin,37,39,2,0,12,5.832
093KT7ZK38_XS,Brussels,28,29,1,0,12,2.916
093KT7ZK38_XS,Copenhagen,53,54,1,0,12,2.916
093KT7ZK38_XS,Helsinki,77,78,1,0,12,2.916
093KT7ZK38_XS,Madrid,42,41,0,1,12,0
093KT7ZK38_XS,Paris,16,47,31,0,12,90.396
093KT7ZK38_XS,Platform,13,17,4,0,12,11.664
093KT7ZK38_XS,Rome,29,29,0,0,12,0
093KT7ZK38_XS,Stockholm,73,71,0,2,12,0
093KT7ZK38_XS,Webshop,194,196,2,0,12,5.832
093KT7ZK38_XXS,Amsterdam,22,23,1,0,12,2.916
093KT7ZK38_XXS,Berlin,22,22,0,0,12,0
093KT7ZK38_XXS,Brussels,17,22,5,0,12,14.58
093KT7ZK38_XXS,Copenhagen,33,45,12,0,12,34.992
093KT7ZK38_XXS,Helsinki,49,51,2,0,12,5.832
093KT7ZK38_XXS,Madrid,25,25,0,0,12,0
093KT7ZK38_XXS,Paris,24,24,0,0,12,0
093KT7ZK38_XXS,Platform,6,7,1,0,12,2.916
093KT7ZK38_XXS,Rome,11,17,6,0,12,17.496
093KT7ZK38_XXS,Stockholm,48,50,2,0,12,5.832
093KT7ZK38_XXS,Webshop,111,117,6,0,12,17.496
0Z6K6Y21KR_L,Amsterdam,3,3,0,0,72,0
0Z6K6Y21KR_L,Berlin,1,4,3,0,72,52.488
0Z6K6Y21KR_L,Brussels,2,4,2,0,72,34.992
0Z6K6Y21KR_L,Copenhagen,3,11,8,0,72,139.968
0Z6K6Y21KR_L,Helsinki,2,3,1,0,72,17.496
0Z6K6Y21KR_L,Madrid,1,5,4,0,72,69.984
0Z6K6Y21KR_L,Paris,2,5,3,0,72,52.488
0Z6K6Y21KR_L,Platform,1,1,0,0,72,0
0Z6K6Y21KR_L,Rome,1,1,0,0,72,0
0Z6K6Y21KR_L,Stockholm,5,6,1,0,72,17.496
0Z6K6Y21KR_L,Webshop,11,11,0,0,72,0
0Z6K6Y21KR_M,Amsterdam,2,3,1,0,72,17.496
0Z6K6Y21KR_M,Berlin,6,6,0,0,72,0
0Z6K6Y21KR_M,Brussels,5,5,0,0,72,0
0Z6K6Y21KR_M,Copenhagen,5,6,1,0,72,17.496
0Z6K6Y21KR_M,Helsinki,4,4,0,0,72,0
0Z6K6Y21KR_M,Madrid,4,4,0,0,72,0
0Z6K6Y21KR_M,Paris,4,4,0,0,72,0
0Z6K6Y21KR_M,Platform,2,2,0,0,72,0
0Z6K6Y21KR_M,Rome,3,3,0,0,72,0
0Z6K6Y21KR_M,Stockholm,5,5,0,0,72,0
0Z6K6Y21KR_M,Webshop,6,7,1,0,72,17.496
0Z6K6Y21KR_S,Amsterdam,7,7,0,0,72,0
0Z6K6Y21KR_S,Berlin,8,9,1,0,72,17.496
0Z6K6Y21KR_S,Brussels,10,15,5,0,72,87.48
0Z6K6Y21KR_S,Copenhagen,16,17,1,0,72,17.496
0Z6K6Y21KR_S,Helsinki,11,14,3,0,72,52.488
0Z6K6Y21KR_S,Madrid,8,9,1,0,72,17.496
0Z6K6Y21KR_S,Paris,16,16,0,0,72,0
0Z6K6Y21KR_S,Platform,3,3,0,0,72,0
0Z6K6Y21KR_S,Rome,4,6,2,0,72,34.992
0Z6K6Y21KR_S,Stockholm,26,26,0,0,72,0
0Z6K6Y21KR_S,Webshop,13,16,3,0,72,52.488
0Z6K6Y21KR_XL,Amsterdam,0,0,0,0,72,0
0Z6K6Y21KR_XL,Berlin,1,2,1,0,72,17.496
0Z6K6Y21KR_XL,Brussels,1,3,2,0,72,34.992
0Z6K6Y21KR_XL,Copenhagen,2,3,1,0,72,17.496
0Z6K6Y21KR_XL,Helsinki,4,4,0,0,72,0
0Z6K6Y21KR_XL,Madrid,4,4,0,0,72,0
0Z6K6Y21KR_XL,Paris,1,3,2,0,72,34.992
0Z6K6Y21KR_XL,Platform,1,1,0,0,72,0
0Z6K6Y21KR_XL,Rome,1,1,0,0,72,0
0Z6K6Y21KR_XL,Stockholm,1,7,6,0,72,104.976
0Z6K6Y21KR_XL,Webshop,4,4,0,0,72,0
0Z6K6Y21KR_XS,Amsterdam,7,7,0,0,72,0
0Z6K6Y21KR_XS,Berlin,8,8,0,0,72,0
0Z6K6Y21KR_XS,Brussels,14,14,0,0,72,0
0Z6K6Y21KR_XS,Copenhagen,17,17,0,0,72,0
0Z6K6Y21KR_XS,Helsinki,12,13,1,0,72,17.496
0Z6K6Y21KR_XS,Madrid,11,15,4,0,72,69.984
0Z6K6Y21KR_XS,Paris,15,15,0,0,72,0
0Z6K6Y21KR_XS,Platform,3,5,2,0,72,34.992
0Z6K6Y21KR_XS,Rome,7,9,2,0,72,34.992
0Z6K6Y21KR_XS,Stockholm,26,26,0,0,72,0
0Z6K6Y21KR_XS,Webshop,26,27,1,0,72,17.496
0Z6K6Y21KR_XXS,Amsterdam,6,6,0,0,72,0
0Z6K6Y21KR_XXS,Berlin,2,6,4,0,72,69.984
0Z6K6Y21KR_XXS,Brussels,7,7,0,0,72,0
0Z6K6Y21KR_XXS,Copenhagen,11,11,0,0,72,0
0Z6K6Y21KR_XXS,Helsinki,6,6,0,0,72,0
0Z6K6Y21KR_XXS,Madrid,7,7,0,0,72,0
0Z6K6Y21KR_XXS,Paris,4,4,0,0,72,0
0Z6K6Y21KR_XXS,Platform,1,2,1,0,72,17.496
0Z6K6Y21KR_XXS,Rome,1,4,3,0,72,52.488
0Z6K6Y21KR_XXS,Stockholm,16,16,0,0,72,0
0Z6K6Y21KR_XXS,Webshop,9,10,1,0,72,17.496
1KZZ8PMFB1_L,Amsterdam,8,8,0,0,58,0
1KZZ8PMFB1_L,Berlin,8,8,0,0,58,0
1KZZ8PMFB1_L,Brussels,12,13,1,0,58,14.094
1KZZ8PMFB1_L,Copenhagen,12,13,1,0,58,14.094
1KZZ8PMFB1_L,Helsinki,24,25,1,0,58,14.094
1KZZ8PMFB1_L,Madrid,12,14,2,0,58,28.188
1KZZ8PMFB1_L,Paris,9,16,7,0,58,98.658
1KZZ8PMFB1_L,Platform,2,2,0,0,58,0
1KZZ8PMFB1_L,Rome,5,6,1,0,58,14.094
1KZZ8PMFB1_L,Stockholm,19,20,1,0,58,14.094
1KZZ8PMFB1_L,Webshop,18,29,11,0,58,155.034
1KZZ8PMFB1_M,Amsterdam,4,4,0,0,58,0
1KZZ8PMFB1_M,Berlin,8,9,1,0,58,14.094
1KZZ8PMFB1_M,Brussels,8,8,0,0,58,0
1KZZ8PMFB1_M,Copenhagen,7,13,6,0,58,84.564
1KZZ8PMFB1_M,Helsinki,9,11,2,0,58,28.188
1KZZ8PMFB1_M,Madrid,7,12,5,0,58,70.47
1KZZ8PMFB1_M,Paris,8,14,6,0,58,84.564
1KZZ8PMFB1_M,Platform,2,3,1,0,58,14.094
1KZZ8PMFB1_M,Rome,5,5,0,0,58,0
1KZZ8PMFB1_M,Stockholm,11,24,13,0,58,183.222
1KZZ8PMFB1_M,Webshop,34,34,0,0,58,0
1KZZ8PMFB1_S,Amsterdam,3,3,0,0,58,0
1KZZ8PMFB1_S,Berlin,4,4,0,0,58,0
1KZZ8PMFB1_S,Brussels,6,6,0,0,58,0
1KZZ8PMFB1_S,Copenhagen,8,14,6,0,58,84.564
1KZZ8PMFB1_S,Helsinki,5,11,6,0,58,84.564
1KZZ8PMFB1_S,Madrid,3,4,1,0,58,14.094
1KZZ8PMFB1_S,Paris,7,7,0,0,58,0
1KZZ8PMFB1_S,Platform,3,3,0,0,58,0
1KZZ8PMFB1_S,Rome,1,1,0,0,58,0
1KZZ8PMFB1_S,Stockholm,11,11,0,0,58,0
1KZZ8PMFB1_S,Webshop,9,9,0,0,58,0
1KZZ8PMFB1_XL,Amsterdam,4,4,0,0,58,0
1KZZ8PMFB1_XL,Berlin,8,8,0,0,58,0
1KZZ8PMFB1_XL,Brussels,12,12,0,0,58,0
1KZZ8PMFB1_XL,Copenhagen,16,16,0,0,58,0
1KZZ8PMFB1_XL,Helsinki,13,13,0,0,58,0
1KZZ8PMFB1_XL,Madrid,8,10,2,0,58,28.188
1KZZ8PMFB1_XL,Paris,5,12,7,0,58,98.658
1KZZ8PMFB1_XL,Platform,2,3,1,0,58,14.094
1KZZ8PMFB1_XL,Rome,1,2,1,0,58,14.094
1KZZ8PMFB1_XL,Stockholm,10,19,9,0,58,126.846
1KZZ8PMFB1_XL,Webshop,21,21,0,0,58,0
1KZZ8PMFB1_XS,Amsterdam,1,2,1,0,58,14.094
1KZZ8PMFB1_XS,Berlin,0,2,2,0,58,28.188
1KZZ8PMFB1_XS,Brussels,1,1,0,0,58,0
1KZZ8PMFB1_XS,Copenhagen,4,4,0,0,58,0
1KZZ8PMFB1_XS,Helsinki,4,5,1,0,58,14.094
1KZZ8PMFB1_XS,Madrid,6,6,0,0,58,0
1KZZ8PMFB1_XS,Paris,1,6,5,0,58,70.47
1KZZ8PMFB1_XS,Platform,1,1,0,0,58,0
1KZZ8PMFB1_XS,Rome,2,2,0,0,58,0
1KZZ8PMFB1_XS,Stockholm,4,4,0,0,58,0
1KZZ8PMFB1_XS,Webshop,2,6,4,0,58,56.376
1KZZ8PMFB1_XXL,Amsterdam,4,4,0,0,58,0
1KZZ8PMFB1_XXL,Berlin,2,2,0,0,58,0
1KZZ8PMFB1_XXL,Brussels,4,5,1,0,58,14.094
1KZZ8PMFB1_XXL,Copenhagen,6,9,3,0,58,42.282
1KZZ8PMFB1_XXL,Helsinki,5,5,0,0,58,0
1KZZ8PMFB1_XXL,Madrid,4,4,0,0,58,0
1KZZ8PMFB1_XXL,Paris,4,4,0,0,58,0
1KZZ8PMFB1_XXL,Platform,1,2,1,0,58,14.094
1KZZ8PMFB1_XXL,Rome,1,1,0,0,58,0
1KZZ8PMFB1_XXL,Stockholm,5,7,2,0,58,28.188
1KZZ8PMFB1_XXL,Webshop,9,9,0,0,58,0
1S7GY8JV18_L,Amsterdam,50,56,6,0,13,18.954
1S7GY8JV18_L,Berlin,34,44,10,0,13,31.59
1S7GY8JV18_L,Brussels,67,77,10,0,13,31.59
1S7GY8JV18_L,Copenhagen,61,63,2,0,13,6.318
1S7GY8JV18_L,Helsinki,148,148,0,0,13,0
1S7GY8JV18_L,Madrid,54,65,11,0,13,34.749
1S7GY8JV18_L,Paris,53,56,3,0,13,9.477
1S7GY8JV18_L,Platform,27,28,1,0,13,3.159
1S7GY8JV18_L,Rome,10,31,21,0,13,66.339
1S7GY8JV18_L,Stockholm,103,109,6,0,13,18.954
1S7GY8JV18_L,Webshop,160,221,61,0,13,192.699
1S7GY8JV18_M,Amsterdam,39,52,13,0,13,41.067
1S7GY8JV18_M,Berlin,78,79,1,0,13,3.159
1S7GY8JV18_M,Brussels,129,132,3,0,13,9.477
1S7GY8JV18_M,Copenhagen,143,149,6,0,13,18.954
1S7GY8JV18_M,Helsinki,113,148,35,0,13,110.565
1S7GY8JV18_M,Madrid,103,103,0,0,13,0
1S7GY8JV18_M,Paris,56,71,15,0,13,47.385
1S7GY8JV18_M,Platform,12,14,2,0,13,6.318
1S7GY8JV18_M,Rome,29,38,9,0,13,28.431
1S7GY8JV18_M,Stockholm,156,157,1,0,13,3.159
1S7GY8JV18_M,Webshop,250,251,1,0,13,3.159
1S7GY8JV18_S,Amsterdam,36,36,0,0,13,0
1S7GY8JV18_S,Berlin,34,38,4,0,13,12.636
1S7GY8JV18_S,Brussels,47,62,15,0,13,47.385
1S7GY8JV18_S,Copenhagen,62,82,20,0,13,63.18
1S7GY8JV18_S,Helsinki,70,87,17,0,13,53.703
1S7GY8JV18_S,Madrid,52,52,0,0,13,0
1S7GY8JV18_S,Paris,44,44,0,0,13,0
1S7GY8JV18_S,Platform,25,25,0,0,13,0
1S7GY8JV18_S,Rome,18,18,0,0,13,0
1S7GY8JV18_S,Stockholm,101,101,0,0,13,0
1S7GY8JV18_S,Webshop,152,152,0,0,13,0
1S7GY8JV18_XL,Amsterdam,22,21,0,1,13,0
1S7GY8JV18_XL,Berlin,16,24,8,0,13,25.272
1S7GY8JV18_XL,Brussels,28,66,38,0,13,120.042
1S7GY8JV18_XL,Copenhagen,41,95,54,0,13,170.586
1S7GY8JV18_XL,Helsinki,49,51,2,0,13,6.318
1S7GY8JV18_XL,Madrid,16,43,27,0,13,85.293
1S7GY8JV18_XL,Paris,22,25,3,0,13,9.477
1S7GY8JV18_XL,Platform,6,7,1,0,13,3.159
1S7GY8JV18_XL,Rome,12,12,0,0,13,0
1S7GY8JV18_XL,Stockholm,54,57,3,0,13,9.477
1S7GY8JV18_XL,Webshop,116,116,0,0,13,0
1S7GY8JV18_XS,Amsterdam,17,23,6,0,13,18.954
1S7GY8JV18_XS,Berlin,19,19,0,0,13,0
1S7GY8JV18_XS,Brussels,48,48,0,0,13,0
1S7GY8JV18_XS,Copenhagen,54,54,0,0,13,0
1S7GY8JV18_XS,Helsinki,40,55,15,0,13,47.385
1S7GY8JV18_XS,Madrid,29,31,2,0,13,6.318
1S7GY8JV18_XS,Paris,12,23,11,0,13,34.749
1S7GY8JV18_XS,Platform,7,8,1,0,13,3.159
1S7GY8JV18_XS,Rome,11,12,1,0,13,3.159
1S7GY8JV18_XS,Stockholm,40,40,0,0,13,0
1S7GY8JV18_XS,Webshop,86,96,10,0,13,31.59
1S7GY8JV18_XXL,Amsterdam,11,11,0,0,13,0
1S7GY8JV18_XXL,Berlin,10,10,0,0,13,0
1S7GY8JV18_XXL,Brussels,25,25,0,0,13,0
1S7GY8JV18_XXL,Copenhagen,57,48,0,9,13,0
1S7GY8JV18_XXL,Helsinki,40,40,0,0,13,0
1S7GY8JV18_XXL,Madrid,28,23,0,5,13,0
1S7GY8JV18_XXL,Paris,18,16,0,2,13,0
1S7GY8JV18_XXL,Platform,7,7,0,0,13,0
1S7GY8JV18_XXL,Rome,4,6,2,0,13,6.318
1S7GY8JV18_XXL,Stockholm,21,32,11,0,13,34.749
1S7GY8JV18_XXL,Webshop,77,77,0,0,13,0
20RE1NI7XN_L,Amsterdam,29,38,9,0,14,30.618
20RE1NI7XN_L,Berlin,42,41,0,1,14,0
20RE1NI7XN_L,Brussels,82,86,4,0,14,13.608
20RE1NI7XN_L,Copenhagen,84,85,1,0,14,3.402
20RE1NI7XN_L,Helsinki,109,108,0,1,14,0
20RE1NI7XN_L,Madrid,49,50,1,0,14,3.402
20RE1NI7XN_L,Paris,17,31,14,0,14,47.628
20RE1NI7XN_L,Platform,18,22,4,0,14,13.608
