pack_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
P001,0,2,3,6,0,2,1,0,0,3,2
P002,0,1,2,3,0,2,5,0,0,0,16
P003,0,0,0,0,0,0,3,1,0,0,0
P004,0,0,5,0,0,5,2,0,3,0,17
P005,8,6,0,0,0,0,0,3,0,10,0
P006,0,0,0,9,0,0,0,0,0,0,0
P007,2,2,1,0,0,0,0,0,0,4,0
P008,0,0,1,0,1,0,0,0,0,1,0
P009,1,0,3,0,1,0,1,0,0,0,0
P010,0,0,2,0,0,0,1,1,0,0,0
P011,1,1,0,4,1,2,0,0,1,4,0
P012,0,1,11,5,0,3,0,0,2,5,2
P013,0,0,2,0,0,1,2,0,0,1,4
P014,0,0,0,0,0,1,0,0,0,1,0
P015,0,0,1,0,0,0,0,0,0,0,1
P016,5,1,0,0,6,8,0,0,0,1,19
P017,0,0,0,0,0,2,0,0,1,2,1
P018,0,2,0,19,0,1,0,0,0,15,0
P019,1,0,0,0,0,0,0,0,0,0,0
P020,1,0,5,4,0,25,0,0,3,4,0
P021,0,5,0,6,2,9,11,0,2,0,10
P022,1,1,3,0,4,1,3,3,0,2,2
P023,2,0,0,2,0,0,9,1,1,6,13
P024,1,0,0,0,4,4,5,0,0,3,5
P025,0,0,0,0,0,0,0,0,0,6,0
P026,0,1,1,5,6,3,0,0,2,0,16
P027,2,1,0,0,6,0,0,2,1,2,0
P028,2,4,0,1,0,4,0,0,0,2,4
P029,0,0,0,2,1,0,0,1,1,0,0
P030,0,0,0,0,0,0,1,0,0,0,52
P031,0,6,1,9,0,0,0,0,0,3,13
P032,0,0,0,0,0,1,0,0,0,0,40
P033,0,8,3,0,0,0,0,0,1,0,4
P034,0,0,0,0,0,0,0,0,1,0,0
P035,0,0,0,2,0,0,0,0,1,2,0
P036,0,0,4,0,4,0,0,0,0,0,4
P037,0,0,0,7,1,0,5,0,0,4,1
P038,0,0,0,0,0,1,2,0,0,3,0
P039,0,0,4,0,0,2,1,0,1,0,0
P040,0,0,0,4,0,1,0,0,0,0,0
P041,1,4,0,14,0,1,0,0,0,0,2
P042,0,0,0,0,0,0,0,0,0,1,1
P043,7,0,2,0,19,4,1,0,5,17,22
P044,3,1,3,0,2,0,0,1,0,6,0
P045,0,0,1,22,0,0,0,0,0,18,16
P046,3,2,3,4,8,4,0,3,0,3,14
P047,0,0,1,0,0,2,0,0,0,0,5
P048,0,1,6,3,5,5,2,0,0,6,7
P049,0,0,0,0,0,0,0,0,0,1,0
P050,0,0,0,1,1,2,0,0,0,0,6
P051,0,0,1,0,0,0,0,0,0,0,0
P052,0,0,1,3,0,0,0,0,0,4,6
P053,0,0,0,1,4,0,0,0,0,4,1
P054,0,2,0,1,0,1,1,0,0,0,1
P055,5,0,1,0,1,0,0,1,2,0,0
P056,0,0,0,0,1,0,0,0,0,0,0
P057,0,0,0,1,0,0,1,0,0,0,0
P058,0,2,0,2,0,2,0,0,1,0,0
P059,1,0,0,0,0,0,0,0,0,3,0
P060,0,2,1,0,1,2,1,0,1,7,2
P061,3,2,0,3,0,3,1,0,0,9,15
P062,0,0,0,0,0,0,1,0,0,0,0
P063,1,1,0,0,2,0,0,0,0,0,9
P064,0,0,0,0,0,0,0,0,0,4,0
P065,1,0,0,1,1,0,0,0,0,0,0
P066,0,0,0,0,0,0,0,0,0,1,0
P067,0,0,0,0,1,0,0,0,0,1,8
P068,1,1,1,0,0,3,1,0,0,2,3
P069,3,0,0,0,0,7,1,2,0,0,0
P070,1,0,2,3,3,0,4,2,0,3,4
P071,2,3,5,9,7,3,0,1,2,5,16
P072,2,1,5,3,3,0,1,0,0,2,0
P073,2,0,1,5,4,1,0,0,0,4,8
P074,0,1,0,0,0,0,1,1,2,0,1
P075,2,0,2,2,6,0,0,0,0,0,3
P076,1,0,1,3,3,3,0,0,3,2,0
P077,0,0,0,0,1,1,0,0,1,0,4
P078,2,1,3,3,3,0,1,2,0,4,0
P079,0,0,0,0,0,0,0,0,1,0,16
P080,0,1,1,2,2,0,1,0,0,0,0
P081,0,1,2,3,0,4,0,1,2,0,4
P082,3,3,2,6,2,2,2,1,2,6,17
P083,0,0,0,0,0,0,0,0,0,0,2
P084,1,8,6,11,1,0,0,2,0,15,12
P085,0,2,3,2,3,2,0,1,1,4,18
P086,4,1,4,0,1,3,1,2,0,2,6
P087,3,0,0,0,0,3,0,0,0,0,0
P088,2,0,3,1,5,0,3,0,0,4,10
P089,1,0,0,6,7,6,5,2,1,8,16
