restart,iteration,operator,current_cost,restart_best_cost,global_best_cost,temperature,pack_types_current,pack_types_best,shortage_units_best,overstock_units_best,elapsed_seconds
1,1,mutate_pack_content,768924,768924,768924,5000,502,502,5588,39,0.153254
1,250,split_pack,646144,645783,642474,4414.55,545,539,493,2156,7.44884
1,500,remove_pack,637324,637324,571007,3895.71,593,593,1660,3072,15.9975
1,750,reallocate,529787,529542,501289,3437.84,617,618,1487,4383,25.3344
1,1000,mutate_pack_content,495944,494858,454980,3033.79,649,644,1445,5514,34.1324
1,1250,merge_packs,470265,470265,428421,2677.23,694,694,1427,6097,44.0908
1,1500,mutate_pack_content,436467,436303,402866,2362.57,743,744,1162,6780,53.7603
1,1750,add_curve_pack,412178,412178,385828,2084.9,786,786,897,6985,63.1892
1,2000,add_curve_pack,401164,401127,367179,1839.86,824,823,666,6949,73.2012
1,2250,mutate_pack_content,391324,390818,360900,1623.62,869,869,640,7058,83.6555
1,2500,split_pack,380835,380017,346502,1432.79,912,909,448,7262,94.9726
1,2750,mutate_pack_content,374479,374374,335405,1264.4,949,947,538,8048,106.267
1,3000,split_pack,374919,372597,330908,1115.79,983,952,530,8189,117.315
1,3250,reallocate,370775,370296,322356,984.651,1025,1020,597,8741,128.907
1,3500,mutate_pack_content,369805,369000,314582,868.924,1054,1046,474,8412,141.057
1,3750,remove_pack,363500,363488,312710,766.799,1101,1100,686,8280,153.24
1,4000,merge_packs,361044,360656,309334,676.676,1150,1137,551,8436,166.474
1,4250,remove_pack,356294,356294,308105,597.146,1200,1201,479,8482,179.731
1,4500,merge_packs,354349,354291,308105,526.963,1259,1255,472,8586,193.292
1,4750,split_pack,349605,349253,305965,465.029,1275,1271,381,8587,208.715
1,5000,merge_packs,345620,344772,304379,410.374,1308,1296,433,8453,223.637
1,5250,reallocate,340834,340384,303121,362.142,1365,1364,370,8237,238.79
1,5500,remove_pack,339974,339322,303121,319.579,1393,1371,367,8106,253.82
1,5750,split_pack,338475,337642,303121,282.019,1436,1420,399,7847,269.449
1,6000,split_pack,335746,334780,303121,248.873,1471,1464,345,7682,287.082
1,6250,merge_packs,332538,332132,301284,219.623,1494,1493,270,7880,303.68
1,6500,remove_pack,328859,328859,300586,193.81,1537,1537,279,7771,320.631
1,6750,remove_pack,323003,322883,298994,171.032,1565,1561,272,7865,337.683
1,7000,add_curve_pack,321277,321096,297495,150.93,1611,1612,261,8037,354.815
1,7250,add_curve_pack,319575,319480,295619,133.191,1643,1640,340,7868,372.606
1,7500,add_curve_pack,315289,315289,292277,117.537,1664,1661,358,7970,391.298
1,7750,mutate_pack_content,314058,313790,290254,103.723,1678,1678,343,7862,409.912
1,8000,split_pack,308888,308888,288301,91.5324,1717,1717,341,7850,428.147
1,8250,mutate_pack_content,305973,305973,286704,80.7745,1754,1754,311,7791,447.589
1,8500,merge_packs,305416,305292,285325,71.281,1791,1779,307,7726,466.436
1,8750,split_pack,303895,303895,284676,62.9033,1834,1833,305,7768,486.268
1,9000,reallocate,301524,301524,283493,55.5103,1864,1864,305,7681,506.524
1,9250,mutate_pack_content,299998,299880,282178,48.9861,1889,1886,281,7647,526.824
1,9500,merge_packs,298054,298054,280654,43.2287,1915,1913,256,7708,548.961
1,9750,remove_pack,296448,296445,279582,38.148,1953,1956,233,7788,569.638
1,10000,add_curve_pack,295806,295778,278330,33.6645,1976,1971,230,7738,591.284
1,10250,mutate_pack_content,295407,295407,278073,29.7079,2007,2005,244,7689,612.913
1,10500,reallocate,294452,294437,277314,26.2163,2030,2027,253,7590,635.03
1,10750,mutate_pack_content,293234,293234,276865,23.1351,2037,2037,243,7551,657.37
1,11000,add_curve_pack,291900,291900,276253,20.416,2053,2050,239,7509,679.559
1,11250,reallocate,289035,289035,273240,18.0165,2067,2067,230,7564,702.459
1,11500,mutate_pack_content,288613,288613,272134,15.899,2079,2079,215,7554,726.076
1,11750,reallocate,287646,287644,271839,14.0304,2115,2114,203,7516,749.805
