sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
093KT7ZK38_L,8,11,21,31,33,20,12,5,6,33,92
093KT7ZK38_M,27,20,30,54,62,39,19,9,22,58,125
093KT7ZK38_S,32,30,35,62,79,47,29,14,23,111,142
093KT7ZK38_XL,7,9,5,10,12,11,10,1,4,13,52
093KT7ZK38_XS,34,37,29,80,88,48,23,12,29,79,193
093KT7ZK38_XXS,23,22,31,50,59,34,27,7,15,50,113
0Z6K6Y21KR_L,3,2,3,3,3,2,2,2,4,5,11
0Z6K6Y21KR_M,2,6,5,5,4,4,6,4,3,8,8
0Z6K6Y21KR_S,7,8,10,18,11,12,16,3,4,26,14
0Z6K6Y21KR_XL,2,1,4,2,4,4,1,1,1,2,4
0Z6K6Y21KR_XS,8,9,14,17,13,11,16,4,7,26,26
0Z6K6Y21KR_XXS,6,2,7,17,6,8,8,1,2,17,11
1KZZ8PMFB1_L,8,10,12,13,26,13,9,2,5,19,28
1KZZ8PMFB1_M,5,9,8,8,12,8,8,2,5,11,34
1KZZ8PMFB1_S,4,5,6,8,8,5,7,3,1,11,9
1KZZ8PMFB1_XL,4,8,13,16,13,8,6,2,2,14,21
1KZZ8PMFB1_XS,1,0,2,4,6,6,2,1,2,5,3
1KZZ8PMFB1_XXL,5,2,4,6,7,6,5,2,2,6,13
1S7GY8JV18_L,50,35,69,98,147,61,54,29,11,114,165
1S7GY8JV18_M,51,78,131,143,119,103,56,18,31,157,250
1S7GY8JV18_S,36,42,75,65,72,52,55,25,18,101,152
1S7GY8JV18_XL,21,15,29,43,50,32,19,6,15,55,121
1S7GY8JV18_XS,20,22,49,55,61,29,20,7,12,53,106
1S7GY8JV18_XXL,16,10,39,56,54,31,18,8,8,53,98
20RE1NI7XN_L,28,46,83,88,112,56,33,18,22,102,122
20RE1NI7XN_M,55,53,76,98,140,89,48,33,39,125,194
20RE1NI7XN_S,24,32,38,30,64,59,30,15,32,64,132
20RE1NI7XN_XL,16,16,36,33,25,25,18,9,8,48,66
20RE1NI7XN_XS,17,13,35,23,40,30,16,10,17,45,101
20RE1NI7XN_XXL,9,15,23,26,20,21,9,6,12,44,40
29NEO5JDJT_L,20,23,44,67,53,33,21,15,16,45,134
29NEO5JDJT_M,42,21,65,87,72,64,41,17,24,66,133
29NEO5JDJT_S,27,15,27,34,51,30,28,4,11,21,80
29NEO5JDJT_XL,27,9,13,25,44,23,25,7,7,22,75
29NEO5JDJT_XS,6,9,16,11,10,11,9,3,13,21,55
29NEO5JDJT_XXL,19,7,16,18,13,11,10,6,5,23,35
50WUQDWI2V_L,8,7,12,21,17,10,10,4,4,20,30
50WUQDWI2V_M,11,14,14,31,27,21,12,5,5,29,50
50WUQDWI2V_S,21,23,50,94,54,44,23,12,17,60,103
50WUQDWI2V_XL,4,10,11,17,11,14,8,2,3,14,36
50WUQDWI2V_XS,48,27,43,65,58,55,40,9,14,62,119
50WUQDWI2V_XXS,13,24,27,42,44,20,25,6,13,28,121
83N1Y7P1Q5_L,21,19,40,43,58,48,43,10,15,47,95
83N1Y7P1Q5_M,18,18,28,36,49,46,35,7,11,45,86
83N1Y7P1Q5_S,8,4,10,12,18,13,14,7,7,16,41
83N1Y7P1Q5_XL,15,15,24,31,30,27,35,10,12,50,62
83N1Y7P1Q5_XS,4,4,8,8,10,8,7,2,3,9,18
83N1Y7P1Q5_XXL,5,8,12,16,19,10,13,5,6,17,23
8D2X9QGLQF_L,9,7,11,17,13,7,10,3,5,16,43
8D2X9QGLQF_M,7,7,11,16,12,7,7,0,4,16,26
8D2X9QGLQF_S,2,4,6,8,6,4,2,1,5,5,10
8D2X9QGLQF_XL,4,4,7,6,7,8,4,2,3,8,12
8D2X9QGLQF_XS,5,1,1,6,4,2,4,1,2,2,7
8D2X9QGLQF_XXL,2,2,3,3,5,1,3,1,1,2,9
8WVHOXLVJ2_L,2,2,2,4,4,3,6,1,2,4,15
8WVHOXLVJ2_M,2,3,4,11,12,4,7,3,3,11,18
8WVHOXLVJ2_S,8,9,10,24,33,16,11,3,6,28,31
8WVHOXLVJ2_XL,1,2,3,2,7,3,1,0,0,7,7
8WVHOXLVJ2_XS,7,7,16,25,29,14,13,4,4,21,40
8WVHOXLVJ2_XXS,6,8,4,6,21,9,8,5,4,9,22
ARCCMK4UZC_onesize,24,19,30,25,68,22,26,8,20,60,76
AU6KWT18AC_L,11,10,12,15,16,7,8,1,4,21,34
AU6KWT18AC_M,13,10,15,30,15,13,13,5,8,16,61
AU6KWT18AC_S,32,37,44,58,98,50,21,8,16,57,135
AU6KWT18AC_XL,7,7,6,10,31,12,7,4,6,14,31
AU6KWT18AC_XS,58,41,57,95,106,43,38,15,27,91,222
AU6KWT18AC_XXS,38,28,23,45,69,38,23,8,14,46,121
AVGFALJGZU_L,2,7,3,12,2,6,3,5,2,6,9
AVGFALJGZU_M,3,3,4,4,5,1,7,3,2,9,10
AVGFALJGZU_S,5,16,15,22,12,10,9,3,4,15,23
AVGFALJGZU_XL,1,1,0,3,5,1,1,2,0,5,6
AVGFALJGZU_XS,8,14,15,33,17,16,9,3,2,26,32
AVGFALJGZU_XXS,5,14,11,21,17,11,7,2,3,11,27
B5K8O3NA22_L,20,25,27,54,44,37,26,9,17,45,147
B5K8O3NA22_M,28,25,29,71,52,41,28,13,18,88,122
B5K8O3NA22_S,13,15,11,29,31,13,18,6,9,29,116
B5K8O3NA22_XL,7,13,10,21,22,16,13,4,6,19,62
B5K8O3NA22_XS,6,11,15,20,14,13,11,3,5,33,27
B5K8O3NA22_XXL,5,10,6,18,14,6,9,1,3,19,20
B5ZJF102L8_onesize,29,49,54,87,126,39,26,17,26,78,124
B8OG8GFQDG_L,2,1,5,8,4,3,3,1,2,3,8
B8OG8GFQDG_M,4,2,2,7,4,5,8,1,1,7,15
B8OG8GFQDG_S,4,11,8,17,15,5,12,1,3,20,28
B8OG8GFQDG_XL,0,2,2,5,4,3,1,1,1,3,7
B8OG8GFQDG_XS,11,9,17,21,20,16,15,2,7,23,32
B8OG8GFQDG_XXS,7,9,8,17,16,17,9,2,3,15,46
BH075SYWYT_L,5,5,12,9,9,6,6,2,3,8,25
BH075SYWYT_M,16,7,13,21,24,19,11,3,4,19,46
BH075SYWYT_S,11,21,39,79,61,29,26,9,7,62,72
BH075SYWYT_XL,5,4,6,14,6,10,3,3,2,12,15
BH075SYWYT_XS,23,27,40,61,36,50,20,9,13,57,99
BH075SYWYT_XXS,17,15,13,40,24,21,27,9,4,30,27
D9J7V1UG3B_L,36,34,59,67,69,39,35,17,14,81,238
D9J7V1UG3B_M,41,53,70,85,114,56,31,25,15,87,208
D9J7V1UG3B_S,22,19,37,50,44,48,15,11,14,60,106
D9J7V1UG3B_XL,10,17,17,26,25,25,18,4,9,15,48
D9J7V1UG3B_XS,10,16,25,27,30,20,9,3,8,21,75
D9J7V1UG3B_XXL,4,3,10,16,21,10,9,4,2,15,33
DVAZLH292T_L,3,3,3,3,3,2,5,3,3,3,11
DVAZLH292T_M,4,5,7,9,9,4,6,4,2,6,11
DVAZLH292T_S,7,5,8,14,14,14,14,3,3,15,25
DVAZLH292T_XL,1,2,2,2,4,2,2,1,2,3,7
DVAZLH292T_XS,5,2,9,11,19,11,11,1,4,7,19
DVAZLH292T_XXS,6,4,6,12,12,6,6,1,2,8,15
DY2XGBW1QT_L,23,17,46,62,65,62,37,17,19,70,153
DY2XGBW1QT_M,30,25,36,58,79,45,49,15,20,109,167
DY2XGBW1QT_S,19,21,17,29,29,23,10,7,7,24,89
DY2XGBW1QT_XL,12,9,14,18,28,17,10,9,5,20,53
DY2XGBW1QT_XS,6,11,7,15,14,24,9,2,5,21,39
DY2XGBW1QT_XXL,12,4,13,15,14,14,11,3,6,18,35
EC1T9WA177_L,14,12,15,20,18,21,9,4,7,23,36
EC1T9WA177_M,9,10,9,26,18,14,6,5,9,16,40
EC1T9WA177_S,3,8,6,9,9,7,6,1,1,10,18
EC1T9WA177_XL,7,5,5,15,22,5,9,5,6,13,17
EC1T9WA177_XS,2,1,2,3,5,3,3,0,1,8,10
EC1T9WA177_XXL,2,4,4,5,6,4,2,1,2,4,13
F58Y8I60TY_L,2,2,4,7,3,7,3,5,2,6,6
F58Y8I60TY_M,3,6,7,11,6,6,4,5,2,7,11
F58Y8I60TY_S,6,8,8,11,16,8,5,4,3,7,15
F58Y8I60TY_XL,1,2,2,6,1,3,1,1,1,1,3
F58Y8I60TY_XS,9,5,10,27,12,18,9,9,10,18,35
F58Y8I60TY_XXS,6,10,10,20,11,5,5,5,3,11,17
FBE5E6Q4S6_L,37,28,37,64,57,48,26,14,13,80,89
FBE5E6Q4S6_M,45,47,71,94,87,24,57,11,27,102,242
FBE5E6Q4S6_S,18,23,28,32,33,15,20,7,10,44,61
FBE5E6Q4S6_XL,23,12,13,30,33,17,16,9,5,36,40
FBE5E6Q4S6_XS,16,19,16,19,20,14,15,4,5,18,44
FBE5E6Q4S6_XXL,5,10,10,9,12,12,11,4,4,21,33
I8RO5VPQIV_L,27,22,27,39,53,36,27,10,8,40,72
I8RO5VPQIV_M,35,26,31,62,49,38,30,11,16,40,104
I8RO5VPQIV_S,19,13,21,33,32,20,14,6,7,17,90
I8RO5VPQIV_XL,11,11,14,27,17,17,8,5,4,21,36
I8RO5VPQIV_XS,9,11,13,29,20,12,8,5,3,18,48
I8RO5VPQIV_XXL,7,10,9,17,15,10,8,2,7,9,32
J7DERD76U8_onesize,20,48,49,81,120,25,25,11,26,51,85
KBG0WAZV9P_onesize,22,22,42,33,36,26,30,11,15,42,95
KBX5F1FCPW_onesize,29,20,26,44,50,45,27,4,14,47,112
KU65DK7JCX_L,8,5,16,16,27,10,5,3,6,23,30
KU65DK7JCX_M,24,20,30,34,35,30,17,15,11,28,64
KU65DK7JCX_S,35,18,39,40,49,53,38,11,12,88,70
KU65DK7JCX_XL,9,7,6,9,10,9,5,2,2,10,22
KU65DK7JCX_XS,32,39,24,34,35,29,20,13,17,25,83
KU65DK7JCX_XXS,24,20,22,43,35,21,18,6,17,50,40
KX2DPVZSC6_L,37,49,37,85,55,41,23,11,30,59,105
KX2DPVZSC6_M,21,28,43,53,55,31,25,10,12,39,80
KX2DPVZSC6_S,10,19,27,27,27,20,16,3,8,25,69
KX2DPVZSC6_XL,19,19,32,54,53,26,20,7,14,43,109
KX2DPVZSC6_XS,10,9,12,12,14,10,8,4,2,12,32
KX2DPVZSC6_XXL,12,15,11,24,17,11,10,9,12,18,40
LBQKVWQEL3_L,7,10,16,17,13,13,11,6,5,18,28
LBQKVWQEL3_M,17,13,21,21,21,22,18,7,6,18,50
LBQKVWQEL3_S,35,24,46,45,83,48,33,16,21,81,148
LBQKVWQEL3_XL,6,7,16,11,12,9,13,4,4,16,43
LBQKVWQEL3_XS,35,31,43,80,88,46,34,11,24,87,156
LBQKVWQEL3_XXS,23,20,36,49,65,38,22,9,17,42,87
LK5NB8UR9Y_L,34,50,50,131,141,84,56,15,28,85,240
LK5NB8UR9Y_M,58,71,64,162,154,77,60,30,32,115,316
LK5NB8UR9Y_S,45,22,54,100,65,50,33,15,18,54,122
LK5NB8UR9Y_XL,19,24,27,70,71,22,24,11,8,51,67
LK5NB8UR9Y_XS,12,10,29,34,36,19,14,1,11,31,86
LK5NB8UR9Y_XXL,11,10,15,52,44,21,15,6,5,29,83
LLP7L9LQTC_L,19,20,28,53,40,43,28,5,10,46,99
LLP7L9LQTC_M,31,49,30,86,79,33,33,14,13,82,127
LLP7L9LQTC_S,9,17,21,26,28,28,21,6,7,38,69
LLP7L9LQTC_XL,7,13,13,17,21,15,13,3,5,11,36
LLP7L9LQTC_XS,8,10,9,19,17,12,9,2,3,19,40
LLP7L9LQTC_XXL,4,5,7,13,12,8,11,2,3,8,20
LVTGQBBF4L_L,41,74,89,103,130,70,64,32,18,88,200
LVTGQBBF4L_M,65,98,118,164,161,86,67,30,42,116,273
LVTGQBBF4L_S,46,33,45,67,76,46,43,16,20,68,125
LVTGQBBF4L_XL,21,43,30,48,49,23,28,16,16,53,83
LVTGQBBF4L_XS,14,25,25,34,30,21,26,10,6,26,57
LVTGQBBF4L_XXL,12,20,19,45,26,18,19,9,7,23,73
MI29EELZW7_L,2,1,3,5,5,2,2,0,1,2,5
MI29EELZW7_M,4,4,6,10,10,4,4,2,2,4,6
MI29EELZW7_S,7,11,7,21,15,13,10,3,3,17,18
MI29EELZW7_XL,2,5,0,7,8,0,0,0,0,5,5
MI29EELZW7_XS,10,11,9,21,17,19,10,6,5,29,24
MI29EELZW7_XXS,7,3,10,19,11,8,10,2,2,19,34
OK2HOMDWXP_L,6,4,11,13,8,7,6,3,3,9,20
OK2HOMDWXP_M,8,6,17,27,23,12,11,7,2,20,36
OK2HOMDWXP_S,25,16,51,56,46,19,22,10,11,48,52
OK2HOMDWXP_XL,5,6,9,11,9,8,8,3,3,4,14
OK2HOMDWXP_XS,28,25,50,50,65,62,44,8,22,88,114
OK2HOMDWXP_XXS,10,15,21,61,52,26,21,9,17,34,89
PQ8JXR05Z9_L,15,20,20,43,32,30,18,8,13,28,76
PQ8JXR05Z9_M,18,22,39,43,49,26,22,16,10,39,99
PQ8JXR05Z9_S,7,17,12,29,33,22,20,8,9,21,58
PQ8JXR05Z9_XL,8,5,7,18,14,11,9,3,7,10,19
PQ8JXR05Z9_XS,11,11,8,21,12,8,6,2,4,8,34
PQ8JXR05Z9_XXL,5,9,4,15,13,8,8,2,4,8,27
PUZ9FHPM0L_L,32,23,29,58,56,35,32,7,12,25,117
PUZ9FHPM0L_M,18,13,24,22,47,25,22,5,10,31,67
PUZ9FHPM0L_S,11,8,18,14,16,14,7,2,3,20,19
PUZ9FHPM0L_XL,14,9,14,44,31,5,9,4,6,26,55
PUZ9FHPM0L_XS,4,5,6,11,9,7,3,3,2,8,18
PUZ9FHPM0L_XXL,4,4,9,8,7,7,5,3,3,11,23
Q1NB6EV307_L,16,22,41,27,51,17,18,10,9,49,71
Q1NB6EV307_M,4,15,15,36,24,19,18,5,7,22,89
Q1NB6EV307_S,7,9,12,21,25,13,9,4,4,22,48
Q1NB6EV307_XL,5,12,20,24,25,19,11,5,5,22,50
Q1NB6EV307_XS,4,9,10,9,14,7,5,4,2,12,17
Q1NB6EV307_XXL,3,6,7,9,14,9,5,3,2,11,22
QSCW4SWQBC_L,55,77,116,110,154,88,73,25,27,139,184
QSCW4SWQBC_M,66,67,103,110,116,66,77,25,36,97,275
QSCW4SWQBC_S,26,29,88,62,54,44,28,13,19,88,110
QSCW4SWQBC_XL,15,31,31,39,64,50,21,8,8,51,79
QSCW4SWQBC_XS,24,22,21,26,40,47,20,5,5,33,49
QSCW4SWQBC_XXL,10,11,29,30,25,20,6,6,13,24,63
R1GQQ0CSBL_L,25,48,44,66,56,29,18,10,14,86,133
R1GQQ0CSBL_M,24,33,34,52,58,27,27,6,13,46,85
R1GQQ0CSBL_S,10,21,20,28,27,18,12,4,5,33,70
R1GQQ0CSBL_XL,21,17,20,31,37,13,22,6,8,31,56
R1GQQ0CSBL_XS,5,6,12,16,14,8,5,2,1,7,31
R1GQQ0CSBL_XXL,7,9,18,19,16,9,12,2,7,18,41
SUSBYBGRMB_L,25,23,32,70,24,25,18,8,16,62,101
SUSBYBGRMB_M,30,17,33,43,30,31,21,8,16,43,57
SUSBYBGRMB_S,8,10,17,26,14,18,11,3,8,23,27
SUSBYBGRMB_XL,11,22,21,38,15,17,16,5,12,23,109
SUSBYBGRMB_XS,7,5,8,13,10,6,5,3,4,10,26
SUSBYBGRMB_XXL,10,5,8,15,10,9,8,3,6,16,24
TU089AL40Z_L,0,3,5,6,8,4,3,0,4,7,14
TU089AL40Z_M,3,7,12,15,15,9,7,3,6,9,24
