pack_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
P001,6,0,0,2,0,0,1,0,2,0,1
P002,1,1,1,1,2,0,1,0,0,0,2
P003,2,1,0,1,1,0,0,0,0,0,10
P004,1,1,1,0,0,0,2,0,0,0,4
P005,0,0,1,0,2,1,0,0,1,0,1
P006,0,1,0,2,2,4,1,1,1,0,0
P007,0,0,0,1,0,0,0,1,0,0,0
P008,1,2,2,3,0,1,1,0,0,2,3
P009,1,1,0,0,0,0,0,2,1,0,0
P010,1,0,1,1,1,0,1,0,0,1,2
P011,0,0,3,0,0,1,0,1,0,0,0
P012,2,0,1,0,2,0,0,1,2,1,2
P013,0,1,0,1,1,0,0,0,0,0,0
P014,0,0,0,1,0,0,0,0,0,1,3
P015,0,0,0,0,0,2,0,1,0,0,1
P016,0,0,4,0,0,0,0,0,0,0,0
P017,1,0,1,0,1,0,1,1,1,1,4
P018,2,2,4,8,5,2,2,1,2,0,14
P019,0,0,0,4,1,5,1,0,2,0,0
P020,17,4,9,19,40,19,23,0,4,19,64
P021,0,1,1,0,0,1,0,0,3,2,4
P022,5,1,0,0,1,1,0,3,0,1,0
P023,1,0,0,0,0,0,0,1,0,0,0
P024,0,0,0,1,0,0,0,0,0,2,0
P025,5,0,0,0,1,2,2,0,0,0,1
P026,0,0,0,1,0,1,0,0,0,5,3
P027,0,0,0,0,0,1,0,1,0,2,3
P028,0,0,0,0,0,0,0,0,0,5,3
P029,0,0,0,1,1,1,0,0,0,1,0
P030,1,0,0,0,1,0,1,0,2,7,7
P031,0,0,1,0,1,0,1,0,1,0,9
P032,0,0,1,0,0,0,2,0,0,2,2
P033,0,1,4,0,0,0,0,0,1,0,0
P034,0,2,0,0,0,1,0,1,0,0,3
P035,6,4,7,6,17,5,6,2,5,15,17
P036,0,0,1,0,0,0,0,0,0,0,1
P037,0,0,3,1,0,0,0,0,0,0,0
P038,1,0,0,0,0,2,0,0,1,0,0
P039,1,4,2,7,4,1,4,0,1,5,6
P040,0,0,0,2,0,2,0,0,1,0,0
P041,0,0,0,0,0,0,0,0,1,0,0
P042,0,0,0,1,2,0,2,0,0,3,3
P043,0,0,2,0,0,0,0,0,0,2,5
P044,1,8,3,7,9,1,4,1,3,0,45
P045,1,4,5,6,6,3,3,1,1,6,5
P046,1,0,0,1,0,2,1,0,0,0,0
P047,0,2,3,3,1,1,1,0,2,0,2
P048,2,0,3,3,7,2,4,1,0,4,6
P049,0,0,0,0,0,1,0,0,0,1,0
P050,2,1,3,5,2,0,2,0,1,0,1
P051,0,0,0,0,1,4,0,0,0,0,2
P052,1,1,1,0,1,0,1,0,0,0,0
P053,1,0,0,0,0,0,2,0,1,0,1
P054,0,0,4,6,6,1,2,0,0,5,0
