restart,iteration,operator,current_cost,restart_best_cost,global_best_cost,temperature,pack_types_current,pack_types_best,shortage_units_best,overstock_units_best,elapsed_seconds
1,1,mutate_pack_content,768924,768924,768924,5000,502,502,5588,39,0.26183
1,250,split_pack,646144,645783,645783,4414.55,545,539,493,2156,15.3558
1,500,remove_pack,637324,637324,570542,3895.71,593,593,1660,3072,29.4787
1,750,reallocate,529787,529542,506389,3437.84,617,618,1487,4383,45.6678
1,1000,mutate_pack_content,495944,494858,463135,3033.79,649,644,1445,5514,61.7491
1,1250,merge_packs,470265,470265,428421,2677.23,694,694,1427,6097,79.6968
1,1500,mutate_pack_content,436467,436303,414038,2362.57,743,744,1162,6780,97.5499
1,1750,add_curve_pack,412178,412178,385828,2084.9,786,786,897,6985,113.997
1,2000,add_curve_pack,401164,401127,371768,1839.86,824,823,666,6949,130.985
1,2250,mutate_pack_content,391324,390818,363369,1623.62,869,869,640,7058,149.215
1,2500,split_pack,380835,380017,359534,1432.79,912,909,448,7262,169.42
1,2750,mutate_pack_content,374479,374374,350996,1264.4,949,947,538,8048,189.232
1,3000,split_pack,374919,372597,346079,1115.79,983,952,530,8189,209.367
1,3250,reallocate,370775,370296,335725,984.651,1025,1020,597,8741,230.147
1,3500,mutate_pack_content,369805,369000,328633,868.924,1054,1046,474,8412,251.241
1,3750,remove_pack,363500,363488,327468,766.799,1101,1100,686,8280,274.031
1,4000,merge_packs,361044,360656,325235,676.676,1150,1137,551,8436,300.656
1,4250,remove_pack,356294,356294,323392,597.146,1200,1201,479,8482,323.61
1,4500,merge_packs,354349,354291,321514,526.963,1259,1255,472,8586,346.868
1,4750,split_pack,349605,349253,319619,465.029,1275,1271,381,8587,373.416
1,5000,merge_packs,345620,344772,316504,410.374,1308,1296,433,8453,400.589
2,1,merge_packs,725153,725153,719032,5000,495,495,2210,601,0.5347
2,250,add_curve_pack,673403,673403,646002,4414.55,537,537,2466,1920,13.8886
2,500,reallocate,587811,587811,570542,3895.71,588,588,2364,3578,29.6715
2,750,remove_pack,509122,507431,507431,3437.84,630,631,1585,5123,45.2075
2,1000,mutate_pack_content,463137,463096,463096,3033.79,679,679,1401,5467,61.9558
2,1250,merge_packs,428421,428421,428421,2677.23,713,713,1204,5493,79.31
2,1500,remove_pack,414690,414690,414690,2362.57,756,756,1107,6238,96.512
2,1750,remove_pack,394936,394936,385828,2084.9,795,795,963,6989,114.381
2,2000,mutate_pack_content,382660,382660,370254,1839.86,847,847,794,7221,132.805
2,2250,mutate_pack_content,364719,364710,362853,1623.62,881,881,529,7043,152.763
2,2500,remove_pack,360120,359502,358532,1432.79,907,902,507,7211,173.342
2,2750,add_curve_pack,355087,355087,349820,1264.4,948,948,363,7285,192.722
2,3000,add_curve_pack,344750,344750,344750,1115.79,977,977,283,7202,213.09
2,3250,mutate_pack_content,335117,334367,334367,984.651,1016,1011,275,7487,234.486
2,3500,split_pack,328708,328633,328633,868.924,1066,1044,219,7592,257.002
2,3750,mutate_pack_content,327864,326890,326890,766.799,1104,1094,220,7434,281.645
2,4000,add_curve_pack,325309,324762,324762,676.676,1155,1152,226,7373,306.191
2,4250,reallocate,324755,323392,323392,597.146,1194,1184,248,7339,330.41
2,4500,mutate_pack_content,323254,321462,321462,526.963,1239,1227,198,7538,354.646
2,4750,merge_packs,322455,321462,318755,465.029,1299,1227,198,7538,381.897
2,5000,add_curve_pack,318004,317097,315733,410.374,1334,1324,205,7486,407.78
3,1,split_pack,734225,734225,717854,5000,492,492,1761,869,0.554612
3,250,merge_packs,663672,660379,645544,4414.55,541,529,994,2343,16.6291
3,500,remove_pack,570195,569808,569808,3895.71,591,589,1347,3622,31.3834
3,750,remove_pack,521936,521936,503062,3437.84,618,618,1872,4655,46.4958
3,1000,reallocate,486748,486748,462847,3033.79,660,660,1871,5252,62.456
3,1250,mutate_pack_content,464919,464919,428421,2677.23,697,697,2085,5378,79.6771
3,1500,merge_packs,420375,420375,414038,2362.57,741,741,1134,6190,97.557
3,1750,merge_packs,387173,385828,385828,2084.9,778,767,1191,7671,116.349
3,2000,split_pack,369476,369018,369018,1839.86,824,819,915,8633,134.828
3,2250,merge_packs,362633,362633,362633,1623.62,857,857,706,9126,153.998
3,2500,reallocate,358075,358075,358075,1432.79,900,900,675,8912,174.124
3,2750,merge_packs,349893,349820,349820,1264.4,939,936,536,8749,193.084
3,3000,split_pack,345697,345697,344750,1115.79,987,987,517,8467,213.115
3,3250,add_curve_pack,346918,344896,334367,984.651,1042,988,508,8462,234.343
3,3500,add_curve_pack,340772,340525,328633,868.924,1067,1059,349,8916,255.903
3,3750,add_curve_pack,338027,338027,326890,766.799,1113,1113,316,8999,280.187
3,4000,mutate_pack_content,334861,334861,324762,676.676,1146,1146,268,8774,305.173
3,4250,remove_pack,330280,330192,323392,597.146,1183,1185,325,8520,328.626
3,4500,split_pack,327001,325739,321462,526.963,1240,1222,366,8255,352.845
3,4750,remove_pack,326427,325739,319019,465.029,1273,1222,366,8255,380.33
3,5000,mutate_pack_content,323056,323056,315733,410.374,1304,1304,232,8374,406.031
4,1,merge_packs,719032,719032,719032,5000,497,497,920,1127,0.471939
4,250,remove_pack,666262,665859,646044,4414.55,535,531,1042,2390,13.5817
4,500,merge_packs,612061,612061,575113,3895.71,575,574,2288,3317,27.8863
4,750,mutate_pack_content,573845,571511,508836,3437.84,618,616,2189,3962,43.3213
4,1000,remove_pack,503656,503656,463610,3033.79,671,671,1072,4873,60.8205
4,1250,merge_packs,481019,481019,436536,2677.23,710,710,1139,4871,77.5152
4,1500,mutate_pack_content,461618,461570,416058,2362.57,765,764,957,7208,95.6323
4,1750,mutate_pack_content,454160,454160,386025,2084.9,814,814,911,7353,112.221
4,2000,add_curve_pack,443598,440881,370254,1839.86,854,845,1032,7203,132.336
4,2250,merge_packs,425204,425204,362853,1623.62,908,908,944,6942,151.974
4,2500,remove_pack,405829,405746,358321,1432.79,954,954,766,7121,173.524
4,2750,mutate_pack_content,396884,396611,349018,1264.4,985,985,849,7064,194.695
4,3000,add_curve_pack,378965,378965,344136,1115.79,1039,1039,808,7316,216.594
